NOVA_RSI2_OS,NOVA_SMA_TREND,NOVA_SMA_PULL,symbol,net,trades,win_pct,gross,costs,risk_total
5,100,3,BTCUSDT,-924.35,388,10.82,83.25,1007.6,0.0
5,100,5,BTCUSDT,-925.92,389,10.8,84.27,1010.2,0.0
5,100,10,BTCUSDT,-925.92,389,10.8,84.27,1010.2,0.0
5,200,3,BTCUSDT,-1145.14,515,12.04,192.37,1337.51,0.0
5,200,5,BTCUSDT,-1146.72,516,12.02,193.39,1340.11,0.0
5,200,10,BTCUSDT,-1146.72,516,12.02,193.39,1340.11,0.0
10,100,3,BTCUSDT,-2029.87,783,10.73,3.29,2033.16,0.0
10,100,5,BTCUSDT,-2027.75,785,10.83,10.62,2038.36,0.0
10,100,10,BTCUSDT,-2026.2,784,10.84,9.56,2035.77,0.0
10,200,3,BTCUSDT,-2391.54,985,11.27,166.35,2557.89,0.0
10,200,5,BTCUSDT,-2389.42,987,11.35,173.68,2563.09,0.0
10,200,10,BTCUSDT,-2387.87,986,11.36,172.63,2560.5,0.0
15,100,3,BTCUSDT,-3059.8,1210,11.49,82.22,3142.02,0.0
15,100,5,BTCUSDT,-3057.68,1212,11.55,89.55,3147.23,0.0
15,100,10,BTCUSDT,-3043.7,1193,11.32,54.14,3097.84,0.0
15,200,3,BTCUSDT,-3424.21,1446,12.1,330.94,3755.15,0.0
15,200,5,BTCUSDT,-3422.08,1448,12.15,338.27,3760.35,0.0
15,200,10,BTCUSDT,-3417.47,1429,11.9,293.49,3710.96,0.0
