NOVA_RSI2_OS,NOVA_SMA_TREND,NOVA_SMA_PULL,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
5,100,3,LINKUSDT,F_001,2026-06-01T19:05:00+00:00,2026-06-01T21:15:00+00:00,9.03473,8.991169,1000.0,-4.8215,,stop,26
5,100,3,LINKUSDT,F_001,2026-06-01T21:10:00+00:00,2026-06-01T21:40:00+00:00,9.02672,8.978318,1000.0,-5.362,,stop,6
5,100,3,LINKUSDT,F_001,2026-06-03T08:10:00+00:00,2026-06-03T09:15:00+00:00,8.538085,8.484898,1000.0,-6.2295,,stop,13
5,100,3,LINKUSDT,F_001,2026-06-03T11:40:00+00:00,2026-06-03T11:50:00+00:00,8.572129,8.51904,1000.0,-6.1932,,stop,2
5,100,3,LINKUSDT,F_001,2026-06-03T11:55:00+00:00,2026-06-03T12:15:00+00:00,8.536082,8.480615,1000.0,-6.498,,stop,4
5,100,3,LINKUSDT,F_001,2026-06-03T22:30:00+00:00,2026-06-04T00:25:00+00:00,8.38789,8.294807,1000.0,-11.0973,,stop,23
5,100,3,LINKUSDT,F_001,2026-06-04T13:15:00+00:00,2026-06-04T13:25:00+00:00,8.059464,7.955251,1000.0,-12.9304,,stop,2
5,100,3,LINKUSDT,F_001,2026-06-04T15:45:00+00:00,2026-06-04T17:30:00+00:00,8.063469,7.982792,1000.0,-10.0052,,stop,21
5,100,3,LINKUSDT,F_001,2026-06-04T15:55:00+00:00,2026-06-04T17:35:00+00:00,8.054457,7.977502,1000.0,-9.5544,,stop,20
5,100,3,LINKUSDT,F_001,2026-06-04T19:55:00+00:00,2026-06-04T20:05:00+00:00,8.067474,8.003627,1000.0,-7.9141,,stop,2
5,100,3,LINKUSDT,F_001,2026-06-05T22:05:00+00:00,2026-06-05T23:15:00+00:00,7.457682,7.378792,1000.0,-10.5784,,stop,14
5,100,3,LINKUSDT,F_001,2026-06-05T22:15:00+00:00,2026-06-05T23:20:00+00:00,7.438658,7.361076,1000.0,-10.4296,,stop,13
5,100,3,LINKUSDT,F_001,2026-06-06T09:50:00+00:00,2026-06-06T10:00:00+00:00,7.350543,7.284204,1000.0,-9.025,,stop,2
5,100,3,LINKUSDT,F_001,2026-06-07T10:55:00+00:00,2026-06-07T12:10:00+00:00,7.714015,7.657619,1000.0,-7.3109,,stop,15
5,100,3,LINKUSDT,F_001,2026-06-07T17:50:00+00:00,2026-06-07T18:50:00+00:00,7.750062,7.700182,1000.0,-6.4361,,stop,12
5,100,3,LINKUSDT,F_001,2026-06-08T01:10:00+00:00,2026-06-08T01:15:00+00:00,7.940309,7.857938,1000.0,-10.3738,,stop,1
5,100,3,LINKUSDT,F_001,2026-06-08T01:20:00+00:00,2026-06-08T04:20:00+00:00,7.880231,7.795084,1000.0,-10.8051,,stop,36
