NOVA_ZP,NOVA_ZTH,NOVA_WICK,symbol,net,trades,win_pct,gross,costs,risk_total
20,-1.5,0.5,BNBUSDT,-515.39,199,16.08,1.34,516.73,0.0
20,-1.5,0.6,BNBUSDT,-438.26,170,16.47,3.17,441.43,0.0
20,-2.0,0.5,BNBUSDT,-151.71,34,2.94,-63.5,88.2,0.0
20,-2.0,0.6,BNBUSDT,-119.88,29,6.9,-44.64,75.24,0.0
20,-2.5,0.5,BNBUSDT,0.0,0,0.0,0.0,0.0,0.0
20,-2.5,0.6,BNBUSDT,0.0,0,0.0,0.0,0.0,0.0
30,-1.5,0.5,BNBUSDT,-654.72,270,18.15,46.42,701.15,0.0
30,-1.5,0.6,BNBUSDT,-586.08,239,17.99,34.56,620.64,0.0
30,-2.0,0.5,BNBUSDT,-226.11,78,15.38,-23.6,202.51,0.0
30,-2.0,0.6,BNBUSDT,-196.6,71,16.9,-12.26,184.34,0.0
30,-2.5,0.5,BNBUSDT,-51.0,13,7.69,-17.26,33.73,0.0
30,-2.5,0.6,BNBUSDT,-42.69,12,8.33,-11.54,31.14,0.0
50,-1.5,0.5,BNBUSDT,-738.3,300,16.67,40.74,779.04,0.0
50,-1.5,0.6,BNBUSDT,-679.21,271,15.87,24.51,703.72,0.0
50,-2.0,0.5,BNBUSDT,-308.38,125,18.4,16.22,324.6,0.0
50,-2.0,0.6,BNBUSDT,-264.54,111,18.92,23.72,288.26,0.0
50,-2.5,0.5,BNBUSDT,-83.75,34,23.53,4.54,88.29,0.0
50,-2.5,0.6,BNBUSDT,-86.04,32,21.88,-2.95,83.09,0.0
