NOVA_ZP,NOVA_ZTH,NOVA_WICK,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
20,-1.5,0.5,BNBUSDT,F_015,2026-06-11T12:30:00+00:00,2026-06-11T17:20:00+00:00,599.227985,596.280383,1000.0,-4.919,,stop,58
20,-1.5,0.5,BNBUSDT,F_015,2026-06-12T06:40:00+00:00,2026-06-12T08:05:00+00:00,598.366867,601.409731,1000.0,5.0853,,tp,17
20,-1.5,0.5,BNBUSDT,F_015,2026-06-13T03:00:00+00:00,2026-06-13T03:20:00+00:00,604.504836,602.484872,1000.0,-3.3415,,stop,4
20,-1.5,0.5,BNBUSDT,F_015,2026-06-13T03:40:00+00:00,2026-06-13T03:55:00+00:00,602.301976,599.630014,1000.0,-4.4363,,stop,3
20,-1.5,0.5,BNBUSDT,F_015,2026-06-13T18:00:00+00:00,2026-06-13T21:40:00+00:00,607.879217,609.716982,1000.0,3.0232,,tp,44
20,-1.5,0.5,BNBUSDT,F_015,2026-06-14T15:00:00+00:00,2026-06-14T17:35:00+00:00,606.637605,604.176867,1000.0,-4.0564,,stop,31
20,-1.5,0.5,BNBUSDT,F_015,2026-06-14T17:45:00+00:00,2026-06-14T17:45:00+00:00,606.08689,603.839448,1000.0,-3.7081,,stop,0
20,-1.5,0.5,BNBUSDT,F_015,2026-06-14T19:55:00+00:00,2026-06-14T20:05:00+00:00,604.054251,602.042006,1000.0,-3.3312,,stop,2
20,-1.5,0.5,BNBUSDT,F_015,2026-06-15T01:10:00+00:00,2026-06-15T11:20:00+00:00,615.088577,619.168325,1000.0,6.6328,,tp,122
20,-1.5,0.5,BNBUSDT,F_015,2026-06-15T17:25:00+00:00,2026-06-15T17:30:00+00:00,626.743709,623.402231,1000.0,-5.3315,,stop,1
20,-1.5,0.5,BNBUSDT,F_015,2026-06-15T19:25:00+00:00,2026-06-15T21:05:00+00:00,620.966208,617.672189,1000.0,-5.3047,,stop,20
20,-1.5,0.5,BNBUSDT,F_015,2026-06-15T21:10:00+00:00,2026-06-15T21:30:00+00:00,619.814713,617.328284,1000.0,-4.0116,,stop,4
20,-1.5,0.5,BNBUSDT,F_015,2026-06-15T22:35:00+00:00,2026-06-15T22:45:00+00:00,618.382854,615.558729,1000.0,-4.567,,stop,2
20,-1.5,0.5,BNBUSDT,F_015,2026-06-15T23:05:00+00:00,2026-06-16T02:00:00+00:00,616.950995,613.934698,1000.0,-4.889,,stop,35
20,-1.5,0.5,BNBUSDT,F_015,2026-06-16T02:35:00+00:00,2026-06-16T07:15:00+00:00,613.09599,616.436437,1000.0,5.4485,,tp,56
20,-1.5,0.5,BNBUSDT,F_015,2026-06-16T13:20:00+00:00,2026-06-16T13:25:00+00:00,612.314976,608.828183,1000.0,-5.6944,,stop,1
20,-1.5,0.5,BNBUSDT,F_015,2026-06-16T13:35:00+00:00,2026-06-17T08:30:00+00:00,606.357241,601.317368,1000.0,-8.3117,,stop,227
