NOVA_ZP,NOVA_ZTH,NOVA_WICK,symbol,net,trades,win_pct,gross,costs,risk_total
20,-1.5,0.5,SOLUSDT,-501.7,198,19.7,12.45,514.15,0.0
20,-1.5,0.6,SOLUSDT,-476.12,175,18.29,-21.74,454.38,0.0
20,-2.0,0.5,SOLUSDT,-161.54,35,14.29,-70.75,90.79,0.0
20,-2.0,0.6,SOLUSDT,-158.35,29,10.34,-83.16,75.19,0.0
20,-2.5,0.5,SOLUSDT,2.99,2,50.0,8.19,5.2,0.0
20,-2.5,0.6,SOLUSDT,2.99,2,50.0,8.19,5.2,0.0
30,-1.5,0.5,SOLUSDT,-424.68,231,24.68,175.37,600.05,0.0
30,-1.5,0.6,SOLUSDT,-383.45,208,24.04,156.85,540.3,0.0
30,-2.0,0.5,SOLUSDT,-244.81,68,17.65,-68.33,176.48,0.0
30,-2.0,0.6,SOLUSDT,-229.84,60,16.67,-74.14,155.7,0.0
30,-2.5,0.5,SOLUSDT,-54.05,13,15.38,-20.32,33.73,0.0
30,-2.5,0.6,SOLUSDT,-54.65,10,10.0,-28.72,25.93,0.0
50,-1.5,0.5,SOLUSDT,-579.39,269,25.65,119.26,698.65,0.0
50,-1.5,0.6,SOLUSDT,-556.6,250,25.6,92.67,649.28,0.0
50,-2.0,0.5,SOLUSDT,-293.07,102,23.53,-28.25,264.82,0.0
50,-2.0,0.6,SOLUSDT,-290.24,98,22.45,-35.82,254.42,0.0
50,-2.5,0.5,SOLUSDT,-87.89,33,27.27,-2.21,85.69,0.0
50,-2.5,0.6,SOLUSDT,-85.04,30,26.67,-7.15,77.89,0.0
