NOVA_BODY,NOVA_RNG_ATR,NOVA_LB,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
0.4,0.6,10,BTCUSDT,F_126,2026-06-01T02:40:00+00:00,2026-06-01T04:20:00+00:00,73667.913951,73363.511526,1000.0,-4.1321,,stop,20
0.4,0.6,10,BTCUSDT,F_126,2026-06-01T03:05:00+00:00,2026-06-01T03:15:00+00:00,74067.472703,73733.472988,1000.0,-4.5094,,stop,2
0.4,0.6,10,BTCUSDT,F_126,2026-06-01T09:00:00+00:00,2026-06-01T09:50:00+00:00,72997.413432,72708.04137,1000.0,-3.9641,,stop,10
0.4,0.6,10,BTCUSDT,F_126,2026-06-01T16:45:00+00:00,2026-06-01T21:15:00+00:00,71436.7472,71054.768619,1000.0,-5.3471,,stop,54
0.4,0.6,10,BTCUSDT,F_126,2026-06-01T17:00:00+00:00,2026-06-01T21:05:00+00:00,71657.043213,71287.871204,1000.0,-5.1519,,stop,49
0.4,0.6,10,BTCUSDT,F_126,2026-06-01T19:35:00+00:00,2026-06-01T19:40:00+00:00,71739.980892,71468.908942,1000.0,-3.7785,,stop,1
0.4,0.6,10,BTCUSDT,F_126,2026-06-01T22:30:00+00:00,2026-06-01T22:35:00+00:00,71376.959577,71050.303951,1000.0,-4.5765,,stop,1
0.4,0.6,10,BTCUSDT,F_126,2026-06-01T22:50:00+00:00,2026-06-02T00:20:00+00:00,71470.7914,71105.014557,1000.0,-5.1179,,stop,18
0.4,0.6,10,BTCUSDT,F_126,2026-06-01T23:40:00+00:00,2026-06-02T00:00:00+00:00,71602.963,71274.191655,1000.0,-4.5916,,stop,4
0.4,0.6,10,BTCUSDT,F_126,2026-06-02T01:15:00+00:00,2026-06-02T01:15:00+00:00,71462.770987,71195.260957,1000.0,-3.7433,,stop,0
0.4,0.6,10,BTCUSDT,F_126,2026-06-02T03:05:00+00:00,2026-06-02T05:00:00+00:00,71047.391695,70536.220961,1000.0,-7.1948,,stop,23
0.4,0.6,10,BTCUSDT,F_126,2026-06-02T10:10:00+00:00,2026-06-02T11:15:00+00:00,69726.5268,69339.920424,1000.0,-5.5446,,stop,13
0.4,0.6,10,BTCUSDT,F_126,2026-06-02T16:15:00+00:00,2026-06-02T16:55:00+00:00,68016.756985,67452.393302,1000.0,-8.2974,,stop,8
0.4,0.6,10,BTCUSDT,F_126,2026-06-02T20:50:00+00:00,2026-06-02T22:15:00+00:00,67577.737,67043.889349,1000.0,-7.8998,,stop,17
0.4,0.6,10,BTCUSDT,F_126,2026-06-02T21:30:00+00:00,2026-06-02T21:50:00+00:00,67976.244387,67517.360423,1000.0,-6.7507,,stop,4
0.4,0.6,10,BTCUSDT,F_126,2026-06-03T00:20:00+00:00,2026-06-03T00:30:00+00:00,67172.931436,66654.834501,1000.0,-7.7129,,stop,2
0.4,0.6,10,BTCUSDT,F_126,2026-06-03T05:05:00+00:00,2026-06-03T13:45:00+00:00,67100.377238,66557.753815,1000.0,-8.0867,,stop,104
0.4,0.6,10,BTCUSDT,F_126,2026-06-03T06:35:00+00:00,2026-06-03T06:45:00+00:00,67552.574331,67143.360057,1000.0,-6.0577,,stop,2
0.4,0.6,10,BTCUSDT,F_126,2026-06-03T10:10:00+00:00,2026-06-03T10:15:00+00:00,67527.682013,67148.252799,1000.0,-5.6189,,stop,1
0.4,0.6,10,BTCUSDT,F_126,2026-06-03T17:35:00+00:00,2026-06-03T17:50:00+00:00,66250.023213,65767.006243,1000.0,-7.2908,,stop,3
0.4,0.6,10,BTCUSDT,F_126,2026-06-03T21:35:00+00:00,2026-06-03T22:15:00+00:00,65677.660107,65200.954248,1000.0,-7.2583,,stop,8
0.4,0.6,10,BTCUSDT,F_126,2026-06-04T02:35:00+00:00,2026-06-04T10:30:00+00:00,63358.869593,62372.177359,1000.0,-15.5731,,stop,95
0.4,0.6,10,BTCUSDT,F_126,2026-06-04T03:05:00+00:00,2026-06-04T09:25:00+00:00,63796.868252,62808.930357,1000.0,-15.4857,,stop,76
0.4,0.6,10,BTCUSDT,F_126,2026-06-04T04:15:00+00:00,2026-06-04T05:00:00+00:00,64714.019,64162.386465,1000.0,-8.5242,,stop,9
0.4,0.6,10,BTCUSDT,F_126,2026-06-04T12:25:00+00:00,2026-06-04T14:10:00+00:00,63376.602616,64365.992192,1000.0,15.6113,,tp,21
0.4,0.6,10,BTCUSDT,F_126,2026-06-04T12:40:00+00:00,2026-06-04T13:20:00+00:00,63768.801813,63078.25905,1000.0,-10.8288,,stop,8
0.4,0.6,10,BTCUSDT,F_126,2026-06-04T13:40:00+00:00,2026-06-04T16:30:00+00:00,64233.395,63519.459358,1000.0,-11.1147,,stop,34
0.4,0.6,10,BTCUSDT,F_126,2026-06-04T18:30:00+00:00,2026-06-04T20:00:00+00:00,63979.325138,63415.092492,1000.0,-8.819,,stop,18
0.4,0.6,10,BTCUSDT,F_126,2026-06-04T21:05:00+00:00,2026-06-04T21:20:00+00:00,63835.57851,63430.239006,1000.0,-6.3497,,stop,3
0.4,0.6,10,BTCUSDT,F_126,2026-06-04T22:50:00+00:00,2026-06-05T01:00:00+00:00,63698.710813,63223.333493,1000.0,-7.4629,,stop,26
0.4,0.6,10,BTCUSDT,F_126,2026-06-04T23:05:00+00:00,2026-06-04T23:15:00+00:00,63920.328542,63481.000105,1000.0,-6.8731,,stop,2
0.4,0.6,10,BTCUSDT,F_126,2026-06-04T23:55:00+00:00,2026-06-05T00:10:00+00:00,63945.010587,63581.278761,1000.0,-5.6882,,stop,3
0.4,0.6,10,BTCUSDT,F_126,2026-06-05T04:10:00+00:00,2026-06-05T05:55:00+00:00,63004.729809,62483.013301,1000.0,-8.2806,,stop,21
0.4,0.6,10,BTCUSDT,F_126,2026-06-05T04:55:00+00:00,2026-06-05T05:40:00+00:00,63400.994284,62868.976799,1000.0,-8.3913,,stop,9
0.4,0.6,10,BTCUSDT,F_126,2026-06-05T07:30:00+00:00,2026-06-05T13:45:00+00:00,62333.868822,61478.796638,1000.0,-13.7176,,stop,75
0.4,0.6,10,BTCUSDT,F_126,2026-06-05T07:40:00+00:00,2026-06-05T11:40:00+00:00,62849.5984,62072.22661,1000.0,-12.3688,,stop,48
0.4,0.6,10,BTCUSDT,F_126,2026-06-05T08:00:00+00:00,2026-06-05T08:35:00+00:00,63198.040787,62495.17987,1000.0,-11.1216,,stop,7
0.4,0.6,10,BTCUSDT,F_126,2026-06-05T09:15:00+00:00,2026-06-05T10:05:00+00:00,63181.679545,62658.640139,1000.0,-8.2783,,stop,10
0.4,0.6,10,BTCUSDT,F_126,2026-06-05T16:25:00+00:00,2026-06-05T18:20:00+00:00,61302.549848,60325.216413,1000.0,-15.9428,,stop,23
0.4,0.6,10,BTCUSDT,F_126,2026-06-05T19:50:00+00:00,2026-06-05T21:00:00+00:00,60293.760124,61842.186347,1000.0,25.6814,,tp,14
