NOVA_BODY,NOVA_RNG_ATR,NOVA_LB,symbol,net,trades,win_pct,gross,costs,risk_total
0.4,0.6,10,BTCUSDT,-3543.76,1381,11.3,42.23,3585.99,0.0
0.4,0.6,20,BTCUSDT,-2348.01,917,12.0,33.14,2381.15,0.0
0.4,0.6,50,BTCUSDT,-1371.55,516,11.82,-31.74,1339.82,0.0
0.4,0.8,10,BTCUSDT,-3224.84,1291,11.77,127.57,3352.41,0.0
0.4,0.8,20,BTCUSDT,-2225.11,873,12.03,41.8,2266.91,0.0
0.4,0.8,50,BTCUSDT,-1330.17,497,11.67,-39.7,1290.47,0.0
0.4,1.0,10,BTCUSDT,-2888.55,1163,11.52,131.49,3020.04,0.0
0.4,1.0,20,BTCUSDT,-2044.32,809,11.99,56.43,2100.74,0.0
0.4,1.0,50,BTCUSDT,-1217.34,469,12.15,0.47,1217.82,0.0
0.5,0.6,10,BTCUSDT,-3263.0,1280,11.48,60.76,3323.76,0.0
0.5,0.6,20,BTCUSDT,-2198.7,845,11.83,-4.56,2194.14,0.0
0.5,0.6,50,BTCUSDT,-1298.96,476,11.55,-63.05,1235.91,0.0
0.5,0.8,10,BTCUSDT,-2971.91,1200,11.92,144.23,3116.14,0.0
0.5,0.8,20,BTCUSDT,-2070.59,809,12.11,30.12,2100.71,0.0
0.5,0.8,50,BTCUSDT,-1239.03,461,11.71,-42.05,1196.99,0.0
0.5,1.0,10,BTCUSDT,-2702.26,1083,11.54,110.03,2812.29,0.0
0.5,1.0,20,BTCUSDT,-1910.42,748,12.03,31.9,1942.32,0.0
0.5,1.0,50,BTCUSDT,-1152.54,434,11.98,-25.64,1126.9,0.0
0.6,0.6,10,BTCUSDT,-2854.65,1148,11.85,126.44,2981.09,0.0
0.6,0.6,20,BTCUSDT,-1950.87,756,12.17,12.19,1963.06,0.0
0.6,0.6,50,BTCUSDT,-1156.66,423,11.82,-58.36,1098.3,0.0
0.6,0.8,10,BTCUSDT,-2620.15,1080,12.31,184.45,2804.59,0.0
0.6,0.8,20,BTCUSDT,-1846.78,721,12.34,25.42,1872.2,0.0
0.6,0.8,50,BTCUSDT,-1117.85,410,11.95,-53.31,1064.55,0.0
0.6,1.0,10,BTCUSDT,-2368.02,974,12.11,161.3,2529.32,0.0
0.6,1.0,20,BTCUSDT,-1675.8,665,12.63,51.02,1726.82,0.0
0.6,1.0,50,BTCUSDT,-1032.6,387,12.4,-27.74,1004.86,0.0
0.4,0.6,10,BNBUSDT,-3581.87,1333,13.5,-120.73,3461.14,0.0
0.4,0.6,20,BNBUSDT,-2484.47,912,13.49,-116.5,2367.97,0.0
0.4,0.6,50,BNBUSDT,-1401.83,520,15.0,-51.65,1350.18,0.0
