NOVA_EXIT,NOVA_TRIG,NOVA_LOCK,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-01T16:56:00+00:00,2026-06-01T17:45:00+00:00,80.374351,81.094505,1000.0,8.96,,tp,49
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-01T17:06:00+00:00,2026-06-01T23:18:00+00:00,80.674741,81.451573,1000.0,9.6292,,tp,372
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-01T17:46:00+00:00,2026-06-01T18:12:00+00:00,81.125326,80.51766,1000.0,-7.4905,,stop,26
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-01T19:41:00+00:00,2026-06-01T21:05:00+00:00,81.285534,80.841732,1000.0,-5.4598,,stop,84
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-01T22:51:00+00:00,2026-06-02T01:02:00+00:00,81.30556,80.730474,1000.0,-7.0731,,stop,131
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-01T23:21:00+00:00,2026-06-01T23:31:00+00:00,81.60595,81.043314,1000.0,-6.8946,,stop,10
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-02T03:56:00+00:00,2026-06-02T04:08:00+00:00,81.055235,80.586051,1000.0,-5.7884,,stop,12
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-03T05:06:00+00:00,2026-06-03T14:21:00+00:00,74.666941,73.887905,1000.0,-10.4335,,stop,555
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-03T06:36:00+00:00,2026-06-03T06:57:00+00:00,75.267721,74.746139,1000.0,-6.9297,,stop,21
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-03T10:11:00+00:00,2026-06-03T11:50:00+00:00,75.558098,74.99191,1000.0,-7.4934,,stop,99
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-03T17:36:00+00:00,2026-06-03T17:48:00+00:00,74.106213,73.353586,1000.0,-10.1561,,stop,12
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-03T21:51:00+00:00,2026-06-03T22:37:00+00:00,72.834562,71.919516,1000.0,-12.5633,,stop,46
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-04T03:06:00+00:00,2026-06-04T07:24:00+00:00,70.922079,69.376058,1000.0,-21.7989,,stop,258
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-04T04:16:00+00:00,2026-06-04T04:32:00+00:00,71.743145,71.109154,1000.0,-8.837,,stop,16
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-04T12:06:00+00:00,2026-06-04T13:38:00+00:00,68.839375,70.379192,1000.0,22.3683,,tp,92
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-04T12:36:00+00:00,2026-06-04T17:32:00+00:00,69.79061,68.779651,1000.0,-14.4856,,stop,296
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-04T12:51:00+00:00,2026-06-04T13:19:00+00:00,70.311286,69.313918,1000.0,-14.185,,stop,28
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-04T13:41:00+00:00,2026-06-04T14:36:00+00:00,70.561611,69.628119,1000.0,-13.2295,,stop,55
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-04T23:06:00+00:00,2026-06-04T23:18:00+00:00,68.869414,68.170677,1000.0,-10.1458,,stop,12
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-05T00:31:00+00:00,2026-06-05T00:53:00+00:00,69.119739,68.503426,1000.0,-8.9166,,stop,22
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-05T09:16:00+00:00,2026-06-05T12:03:00+00:00,66.356151,65.53941,1000.0,-12.3084,,stop,167
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-05T16:56:00+00:00,2026-06-05T18:19:00+00:00,65.855501,64.578582,1000.0,-19.3897,,stop,83
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-05T21:41:00+00:00,2026-06-05T22:03:00+00:00,65.234695,64.500735,1000.0,-11.2511,,stop,22
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-06T06:06:00+00:00,2026-06-06T10:19:00+00:00,62.961744,61.794164,1000.0,-18.5443,,stop,253
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-06T08:31:00+00:00,2026-06-06T09:47:00+00:00,63.452381,62.846289,1000.0,-9.5519,,stop,76
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-06T12:51:00+00:00,2026-06-06T13:30:00+00:00,62.971757,62.323488,1000.0,-10.2946,,stop,39
std,0.0025,0.0015,SOLUSDT,F_197,2026-06-06T21:16:00+00:00,2026-06-06T22:00:00+00:00,62.240808,61.768975,1000.0,-7.5808,,stop,44
