NOVA_EXIT,NOVA_TRIG,NOVA_LOCK,symbol,net,trades,win_pct,gross,costs,risk_total
std,0.0025,0.0015,BTCUSDT,-2022.18,792,12.75,34.39,2056.57,0.0
std,0.0025,0.0045,BTCUSDT,-2022.18,792,12.75,34.39,2056.57,0.0
std,0.004,0.0015,BTCUSDT,-2022.18,792,12.75,34.39,2056.57,0.0
std,0.004,0.0045,BTCUSDT,-2022.18,792,12.75,34.39,2056.57,0.0
std,0.005,0.0015,BTCUSDT,-2022.18,792,12.75,34.39,2056.57,0.0
std,0.005,0.0045,BTCUSDT,-2022.18,792,12.75,34.39,2056.57,0.0
dual,0.0025,0.0015,BTCUSDT,-1954.01,816,23.9,165.05,2119.06,0.0
dual,0.0025,0.0045,BTCUSDT,-1623.75,845,24.73,571.14,2194.89,0.0
dual,0.004,0.0015,BTCUSDT,-2008.38,804,17.66,79.41,2087.79,0.0
dual,0.004,0.0045,BTCUSDT,-1938.28,815,18.16,178.2,2116.48,0.0
dual,0.005,0.0015,BTCUSDT,-1985.82,798,15.41,86.4,2072.22,0.0
dual,0.005,0.0045,BTCUSDT,-1977.76,801,15.48,102.27,2080.03,0.0
std,0.0025,0.0015,BNBUSDT,-2093.25,770,13.51,-93.97,1999.28,0.0
std,0.0025,0.0045,BNBUSDT,-2093.25,770,13.51,-93.97,1999.28,0.0
std,0.004,0.0015,BNBUSDT,-2093.25,770,13.51,-93.97,1999.28,0.0
std,0.004,0.0045,BNBUSDT,-2093.25,770,13.51,-93.97,1999.28,0.0
std,0.005,0.0015,BNBUSDT,-2093.25,770,13.51,-93.97,1999.28,0.0
std,0.005,0.0045,BNBUSDT,-2093.25,770,13.51,-93.97,1999.28,0.0
dual,0.0025,0.0015,BNBUSDT,-1947.82,802,26.06,134.85,2082.67,0.0
dual,0.0025,0.0045,BNBUSDT,-1657.84,824,26.21,482.41,2140.24,0.0
dual,0.004,0.0015,BNBUSDT,-1950.85,785,19.87,87.61,2038.46,0.0
dual,0.004,0.0045,BNBUSDT,-1888.14,793,20.3,171.21,2059.35,0.0
dual,0.005,0.0015,BNBUSDT,-1937.68,780,17.31,87.8,2025.48,0.0
dual,0.005,0.0045,BNBUSDT,-1934.32,780,17.31,91.16,2025.49,0.0
std,0.0025,0.0015,LINKUSDT,-1704.15,665,23.61,22.64,1726.78,0.0
std,0.0025,0.0045,LINKUSDT,-1704.15,665,23.61,22.64,1726.78,0.0
std,0.004,0.0015,LINKUSDT,-1704.15,665,23.61,22.64,1726.78,0.0
std,0.004,0.0045,LINKUSDT,-1704.15,665,23.61,22.64,1726.78,0.0
std,0.005,0.0015,LINKUSDT,-1704.15,665,23.61,22.64,1726.78,0.0
std,0.005,0.0045,LINKUSDT,-1704.15,665,23.61,22.64,1726.78,0.0
dual,0.0025,0.0015,LINKUSDT,-1577.79,746,47.18,359.76,1937.55,0.0
dual,0.0025,0.0045,LINKUSDT,-1118.62,778,46.27,902.73,2021.35,0.0
dual,0.004,0.0015,LINKUSDT,-1474.88,717,39.75,387.41,1862.28,0.0
dual,0.004,0.0045,LINKUSDT,-1400.79,732,39.21,500.58,1901.38,0.0
dual,0.005,0.0015,LINKUSDT,-1506.53,705,35.46,324.51,1831.04,0.0
dual,0.005,0.0045,LINKUSDT,-1503.25,710,35.35,340.8,1844.05,0.0
std,0.0025,0.0015,SOLUSDT,-1915.43,674,20.92,-165.52,1749.91,0.0
std,0.0025,0.0045,SOLUSDT,-1915.43,674,20.92,-165.52,1749.91,0.0
std,0.004,0.0015,SOLUSDT,-1915.43,674,20.92,-165.52,1749.91,0.0
std,0.004,0.0045,SOLUSDT,-1915.43,674,20.92,-165.52,1749.91,0.0
std,0.005,0.0015,SOLUSDT,-1915.43,674,20.92,-165.52,1749.91,0.0
std,0.005,0.0045,SOLUSDT,-1915.43,674,20.92,-165.52,1749.91,0.0
dual,0.0025,0.0015,SOLUSDT,-1739.1,755,43.44,221.64,1960.74,0.0
dual,0.0025,0.0045,SOLUSDT,-1271.44,783,44.19,762.71,2034.15,0.0
dual,0.004,0.0015,SOLUSDT,-1730.49,725,35.59,152.26,1882.75,0.0
dual,0.004,0.0045,SOLUSDT,-1690.01,739,35.99,229.19,1919.2,0.0
dual,0.005,0.0015,SOLUSDT,-1756.44,714,31.79,97.68,1854.12,0.0
dual,0.005,0.0045,SOLUSDT,-1756.16,718,31.89,108.36,1864.52,0.0
