NOVA_COOL_S,NOVA_MAX_PER,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
120.0,2,BTCUSDT,F_205,2026-06-01T00:28:00+00:00,2026-06-01T00:31:00+00:00,73964.599141,73792.496881,1000.0,-2.3268,,stop,3
120.0,2,BTCUSDT,F_205,2026-06-01T00:30:00+00:00,2026-06-01T00:31:00+00:00,74056.148,73885.100912,1000.0,-2.3097,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T01:41:00+00:00,2026-06-01T01:42:00+00:00,73747.737587,73611.926088,1000.0,-1.8416,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T02:15:00+00:00,2026-06-01T02:16:00+00:00,73644.062985,73465.393655,1000.0,-2.4261,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T02:40:00+00:00,2026-06-01T02:41:00+00:00,73667.913951,73528.91622,1000.0,-1.8868,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T02:42:00+00:00,2026-06-01T02:43:00+00:00,73707.565431,73707.669304,1000.0,0.0014,,tp,1
120.0,2,BTCUSDT,F_205,2026-06-01T03:04:00+00:00,2026-06-01T03:05:00+00:00,74002.498346,73839.295169,1000.0,-2.2054,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T04:53:00+00:00,2026-06-01T04:54:00+00:00,73606.894729,73455.234338,1000.0,-2.0604,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T04:57:00+00:00,2026-06-01T04:58:00+00:00,73665.641,73509.46145,1000.0,-2.1201,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T05:48:00+00:00,2026-06-01T05:49:00+00:00,73553.064841,73421.251542,1000.0,-1.7921,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T08:23:00+00:00,2026-06-01T08:24:00+00:00,72957.151159,72807.672266,1000.0,-2.0489,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T08:57:00+00:00,2026-06-01T08:58:00+00:00,72968.455836,72827.261444,1000.0,-1.935,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T09:01:00+00:00,2026-06-01T09:02:00+00:00,73019.942682,72887.602601,1000.0,-1.8124,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T09:04:00+00:00,2026-06-01T09:05:00+00:00,73074.884013,72938.098202,1000.0,-1.8719,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T09:06:00+00:00,2026-06-01T09:07:00+00:00,73098.70494,72958.725137,1000.0,-1.9149,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T09:21:00+00:00,2026-06-01T09:22:00+00:00,73126.531067,72997.573552,1000.0,-1.7635,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T09:27:00+00:00,2026-06-01T09:28:00+00:00,73145.786066,73001.559077,1000.0,-1.9718,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T10:53:00+00:00,2026-06-01T10:54:00+00:00,72867.6049,72721.83631,1000.0,-2.0005,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T11:43:00+00:00,2026-06-01T11:44:00+00:00,72820.553813,72678.483084,1000.0,-1.951,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T12:37:00+00:00,2026-06-01T12:38:00+00:00,72401.689997,72245.73543,1000.0,-2.154,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T15:02:00+00:00,2026-06-01T15:03:00+00:00,71726.062822,71509.590774,1000.0,-3.018,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T16:30:00+00:00,2026-06-01T16:31:00+00:00,71184.409587,70995.308405,1000.0,-2.6565,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T16:33:00+00:00,2026-06-01T16:36:00+00:00,71226.4742,71039.763722,1000.0,-2.6214,,stop,3
120.0,2,BTCUSDT,F_205,2026-06-01T16:39:00+00:00,2026-06-01T16:40:00+00:00,71348.612774,71132.79263,1000.0,-3.0249,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T16:41:00+00:00,2026-06-01T17:15:00+00:00,71395.453588,71560.015902,1000.0,2.3049,,tp,34
120.0,2,BTCUSDT,F_205,2026-06-01T16:48:00+00:00,2026-06-01T16:49:00+00:00,71506.8382,71310.20569,1000.0,-2.7498,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T16:56:00+00:00,2026-06-01T17:18:00+00:00,71548.902813,71379.831101,1000.0,-2.363,,stop,22
120.0,2,BTCUSDT,F_205,2026-06-01T17:30:00+00:00,2026-06-01T17:31:00+00:00,71826.573316,71639.152618,1000.0,-2.6094,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T18:33:00+00:00,2026-06-01T18:34:00+00:00,71736.896888,71575.704495,1000.0,-2.247,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T19:27:00+00:00,2026-06-01T19:28:00+00:00,71585.570419,71449.165597,1000.0,-1.9055,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T19:30:00+00:00,2026-06-01T19:31:00+00:00,71714.718093,71565.237895,1000.0,-2.0844,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T20:20:00+00:00,2026-06-01T20:21:00+00:00,71709.180904,71571.929139,1000.0,-1.914,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T20:22:00+00:00,2026-06-01T20:23:00+00:00,71744.066196,71601.841209,1000.0,-1.9824,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T22:19:00+00:00,2026-06-01T22:23:00+00:00,71242.505013,71058.598589,1000.0,-2.5814,,stop,4
120.0,2,BTCUSDT,F_205,2026-06-01T22:26:00+00:00,2026-06-01T22:33:00+00:00,71342.104324,71172.589519,1000.0,-2.3761,,stop,7
120.0,2,BTCUSDT,F_205,2026-06-01T22:33:00+00:00,2026-06-01T22:34:00+00:00,71450.254737,71288.145229,1000.0,-2.2688,,stop,1
120.0,2,BTCUSDT,F_205,2026-06-01T22:49:00+00:00,2026-06-01T22:50:00+00:00,71468.778787,71288.204915,1000.0,-2.5266,,stop,1
