symbol,NOVA_BODY_RATIO,NOVA_RANGE_ATR,NOVA_LOOKBACK,net,trades,win_pct,pf
ETHUSDT,0.4,0.6,10,-1622.0284691120764,461,30.8,0.7330555699290783
ETHUSDT,0.4,0.6,20,-1358.5625479800624,317,29.34,0.6851681221767074
ETHUSDT,0.4,0.6,50,-687.9359738395952,210,30.48,0.7545221142022693
ETHUSDT,0.4,0.8,10,-1580.9926903272165,445,30.56,0.7296515446093845
ETHUSDT,0.4,0.8,20,-1398.6674573704265,314,28.66,0.6725803012692121
ETHUSDT,0.4,0.8,50,-603.8492088447292,206,31.07,0.7771008269605482
ETHUSDT,0.4,1.0,10,-1283.4167988806971,406,30.54,0.7511792571635696
ETHUSDT,0.4,1.0,20,-1027.8918875824716,291,30.24,0.728355213226809
ETHUSDT,0.4,1.0,50,-433.5529580798109,197,31.98,0.826282429777647
ETHUSDT,0.5,0.6,10,-1604.7148250814448,414,30.19,0.7094797430417913
ETHUSDT,0.5,0.6,20,-1164.904316584295,290,29.31,0.7027204222294692
ETHUSDT,0.5,0.6,50,-535.584477356561,191,30.89,0.786908660999786
ETHUSDT,0.5,0.8,10,-1653.8494413105432,404,29.46,0.6938581698386324
ETHUSDT,0.5,0.8,20,-1141.13746845879,285,29.12,0.7028627049689922
ETHUSDT,0.5,0.8,50,-461.18103871623487,187,31.55,0.8101916831600734
ETHUSDT,0.5,1.0,10,-1504.5955443174807,373,28.69,0.6907671193602367
ETHUSDT,0.5,1.0,20,-1093.5518851697043,269,29.0,0.6943620604309504
ETHUSDT,0.5,1.0,50,-446.2297123991457,182,31.32,0.8091323256125904
ETHUSDT,0.6,0.6,10,-1205.6055049863835,338,31.36,0.7313703943390184
ETHUSDT,0.6,0.6,20,-835.0654500676518,239,30.54,0.7393005615547582
ETHUSDT,0.6,0.6,50,-361.3541794195063,162,32.1,0.8292299028213559
ETHUSDT,0.6,0.8,10,-1209.2809916439119,332,31.02,0.7254315899754797
ETHUSDT,0.6,0.8,20,-818.6703814841759,237,30.38,0.7417735708830594
ETHUSDT,0.6,0.8,50,-428.7600082786705,162,31.48,0.7992912454607343
ETHUSDT,0.6,1.0,10,-991.9816411340239,309,31.07,0.751077142603523
ETHUSDT,0.6,1.0,20,-654.6727024194581,225,31.11,0.7757312133976385
ETHUSDT,0.6,1.0,50,-342.9347709018865,157,31.85,0.8299918221637496
