symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
GRAMUSDT,F_126,2025-01-01T19:00:00+00:00,2025-01-02T09:00:00+00:00,5.520167,5.675921,1000,28.2156,,tp,14
GRAMUSDT,F_126,2025-01-02T05:00:00+00:00,2025-01-03T16:00:00+00:00,5.643327,5.796068,1000,27.0658,,tp,35
GRAMUSDT,F_126,2025-01-03T14:00:00+00:00,2025-01-05T08:00:00+00:00,5.726435,5.638096,1000,-15.4265,,stop,42
GRAMUSDT,F_126,2025-01-06T17:00:00+00:00,2025-01-06T21:00:00+00:00,5.78451,5.685681,1000,-17.0852,,stop,4
GRAMUSDT,F_126,2025-01-08T15:00:00+00:00,2025-01-08T17:00:00+00:00,5.336929,5.191885,1000,-27.1774,,stop,2
GRAMUSDT,F_126,2025-01-10T18:00:00+00:00,2025-01-13T02:00:00+00:00,5.319907,5.202991,1000,-21.977,,stop,56
GRAMUSDT,F_126,2025-01-13T21:00:00+00:00,2025-01-18T00:00:00+00:00,5.304887,5.630415,1000,61.3638,,tp,99
GRAMUSDT,F_126,2025-01-15T09:00:00+00:00,2025-01-15T11:00:00+00:00,5.421038,5.344795,1000,-14.0643,,stop,2
GRAMUSDT,F_126,2025-01-15T20:00:00+00:00,2025-01-18T05:00:00+00:00,5.479114,5.374832,1000,-19.0327,,stop,57
GRAMUSDT,F_126,2025-01-16T06:00:00+00:00,2025-01-18T05:00:00+00:00,5.53819,5.436542,1000,-18.354,,stop,47
GRAMUSDT,F_126,2025-01-17T11:00:00+00:00,2025-01-17T14:00:00+00:00,5.6223,5.533668,1000,-15.7643,,stop,3
GRAMUSDT,F_126,2025-01-18T01:00:00+00:00,2025-01-18T03:00:00+00:00,5.655342,5.555967,1000,-17.5719,,stop,2
GRAMUSDT,F_126,2025-01-19T02:00:00+00:00,2025-01-19T04:00:00+00:00,5.347943,5.229279,1000,-22.1887,,stop,2
GRAMUSDT,F_126,2025-01-21T13:00:00+00:00,2025-01-26T23:00:00+00:00,5.107631,4.971588,1000,-26.6352,,stop,130
GRAMUSDT,F_126,2025-01-22T13:00:00+00:00,2025-01-23T02:00:00+00:00,5.258828,5.171382,1000,-16.6284,,stop,13
GRAMUSDT,F_126,2025-01-24T11:00:00+00:00,2025-01-24T20:00:00+00:00,5.186734,5.0854,1000,-19.5371,,stop,9
GRAMUSDT,F_126,2025-01-25T15:00:00+00:00,2025-01-26T09:00:00+00:00,5.105629,5.038213,1000,-13.2041,,stop,18
GRAMUSDT,F_126,2025-01-27T14:00:00+00:00,2025-01-28T21:00:00+00:00,4.9294,4.779464,1000,-30.4166,,stop,31
GRAMUSDT,F_126,2025-01-27T22:00:00+00:00,2025-01-28T16:00:00+00:00,5.004497,4.869017,1000,-27.0718,,stop,18
GRAMUSDT,F_126,2025-01-31T10:00:00+00:00,2025-01-31T21:00:00+00:00,4.884341,4.811364,1000,-14.9411,,stop,11
GRAMUSDT,F_126,2025-01-31T16:00:00+00:00,2025-01-31T18:00:00+00:00,4.948425,4.877076,1000,-14.4184,,stop,2
GRAMUSDT,F_126,2025-02-02T16:00:00+00:00,2025-02-02T16:00:00+00:00,4.666058,4.527022,1000,-29.7972,,stop,0
GRAMUSDT,F_126,2025-02-03T16:00:00+00:00,2025-02-04T05:00:00+00:00,4.038243,3.678455,1000,-89.0952,,stop,13
GRAMUSDT,F_126,2025-02-05T14:00:00+00:00,2025-02-05T16:00:00+00:00,3.903067,3.813817,1000,-22.8667,,stop,2
GRAMUSDT,F_126,2025-02-06T05:00:00+00:00,2025-02-06T15:00:00+00:00,3.893054,3.774142,1000,-30.5449,,stop,10
