symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
LINKUSDT,F_127,2025-01-01T21:00:00+00:00,2025-01-03T15:00:00+00:00,21.848366,23.106859,1000,57.6013,,tp,42
LINKUSDT,F_127,2025-01-02T11:00:00+00:00,2025-01-02T16:00:00+00:00,22.769562,22.072259,1000,-30.6243,,stop,5
LINKUSDT,F_127,2025-01-03T12:00:00+00:00,2025-01-03T17:00:00+00:00,22.699471,23.765678,1000,46.9706,,tp,5
LINKUSDT,F_127,2025-01-03T16:00:00+00:00,2025-01-07T14:00:00+00:00,23.500511,22.800831,1000,-29.773,,stop,94
LINKUSDT,F_127,2025-01-11T21:00:00+00:00,2025-01-12T01:00:00+00:00,20.476585,20.050485,1000,-20.8091,,stop,4
LINKUSDT,F_127,2025-01-14T10:00:00+00:00,2025-01-15T14:00:00+00:00,20.216247,21.456888,1000,61.3685,,tp,28
LINKUSDT,F_127,2025-01-15T14:00:00+00:00,2025-01-16T12:00:00+00:00,21.297651,22.651023,1000,63.5456,,tp,22
LINKUSDT,F_127,2025-01-16T00:00:00+00:00,2025-01-16T08:00:00+00:00,22.12873,21.376619,1000,-33.988,,stop,8
LINKUSDT,F_127,2025-01-16T13:00:00+00:00,2025-01-17T16:00:00+00:00,22.989848,24.555028,1000,68.0813,,tp,27
LINKUSDT,F_127,2025-01-17T10:00:00+00:00,2025-01-18T05:00:00+00:00,24.341603,23.505292,1000,-34.3573,,stop,19
LINKUSDT,F_127,2025-01-17T21:00:00+00:00,2025-01-18T05:00:00+00:00,24.902331,24.105239,1000,-32.0087,,stop,8
LINKUSDT,F_127,2025-01-19T15:00:00+00:00,2025-01-19T22:00:00+00:00,25.513124,24.114591,1000,-54.8162,,stop,7
LINKUSDT,F_127,2025-01-21T19:00:00+00:00,2025-01-22T07:00:00+00:00,27.045113,25.675976,1000,-50.6242,,stop,12
LINKUSDT,F_127,2025-01-23T15:00:00+00:00,2025-01-23T19:00:00+00:00,25.703371,24.738312,1000,-37.546,,stop,4
LINKUSDT,F_127,2025-01-26T04:00:00+00:00,2025-01-26T23:00:00+00:00,25.603241,24.942203,1000,-25.8185,,stop,19
LINKUSDT,F_127,2025-01-31T12:00:00+00:00,2025-01-31T18:00:00+00:00,25.703371,24.905238,1000,-31.0517,,stop,6
LINKUSDT,F_127,2025-02-03T20:00:00+00:00,2025-02-04T05:00:00+00:00,21.92847,20.252108,1000,-76.4468,,stop,9
LINKUSDT,F_127,2025-02-07T14:00:00+00:00,2025-02-07T16:00:00+00:00,19.615467,18.956506,1000,-33.594,,stop,2
LINKUSDT,F_127,2025-02-09T04:00:00+00:00,2025-02-09T13:00:00+00:00,18.944596,18.392084,1000,-29.1646,,stop,9
LINKUSDT,F_127,2025-02-10T14:00:00+00:00,2025-02-11T19:00:00+00:00,19.064752,18.273822,1000,-41.4865,,stop,29
LINKUSDT,F_127,2025-02-11T05:00:00+00:00,2025-02-11T13:00:00+00:00,19.615467,19.039255,1000,-29.3754,,stop,8
LINKUSDT,F_127,2025-02-12T23:00:00+00:00,2025-02-13T14:00:00+00:00,19.234973,18.356792,1000,-45.6554,,stop,15
LINKUSDT,F_127,2025-02-14T04:00:00+00:00,2025-02-17T05:00:00+00:00,18.974635,18.460605,1000,-27.0904,,stop,73
LINKUSDT,F_127,2025-02-20T03:00:00+00:00,2025-02-21T17:00:00+00:00,18.253699,17.739179,1000,-28.1871,,stop,38
LINKUSDT,F_127,2025-02-21T14:00:00+00:00,2025-02-21T15:00:00+00:00,19.0247,18.607621,1000,-21.923,,stop,1
LINKUSDT,F_127,2025-02-22T18:00:00+00:00,2025-02-23T01:00:00+00:00,17.983348,17.676054,1000,-17.0877,,stop,7
LINKUSDT,F_127,2025-02-23T08:00:00+00:00,2025-02-23T11:00:00+00:00,18.143556,17.840333,1000,-16.7124,,stop,3
LINKUSDT,F_127,2025-03-01T22:00:00+00:00,2025-03-02T00:00:00+00:00,15.059552,14.633361,1000,-28.3004,,stop,2
LINKUSDT,F_127,2025-03-02T16:00:00+00:00,2025-03-02T16:00:00+00:00,15.289851,16.13171,1000,55.06,,tp,0
LINKUSDT,F_127,2025-03-02T17:00:00+00:00,2025-03-03T09:00:00+00:00,16.62158,15.95367,1000,-40.1833,,stop,16
LINKUSDT,F_127,2025-03-04T22:00:00+00:00,2025-03-06T01:00:00+00:00,14.979448,16.826117,1000,123.2802,,tp,27
LINKUSDT,F_127,2025-03-05T09:00:00+00:00,2025-03-06T07:00:00+00:00,15.900644,17.349489,1000,91.1186,,tp,22
LINKUSDT,F_127,2025-03-06T03:00:00+00:00,2025-03-07T00:00:00+00:00,17.182308,16.503682,1000,-39.4956,,stop,21
LINKUSDT,F_127,2025-03-11T19:00:00+00:00,2025-03-12T04:00:00+00:00,13.537576,12.736711,1000,-59.1587,,stop,9
LINKUSDT,F_127,2025-03-12T13:00:00+00:00,2025-03-12T14:00:00+00:00,13.747849,13.132184,1000,-44.7827,,stop,1
LINKUSDT,F_127,2025-03-17T19:00:00+00:00,2025-03-18T11:00:00+00:00,14.128343,13.701936,1000,-30.181,,stop,16
LINKUSDT,F_127,2025-03-19T11:00:00+00:00,2025-03-19T22:00:00+00:00,14.168395,14.837652,1000,47.2359,,tp,11
LINKUSDT,F_127,2025-03-22T10:00:00+00:00,2025-03-24T04:00:00+00:00,14.238486,14.699352,1000,32.3676,,tp,42
LINKUSDT,F_127,2025-03-24T05:00:00+00:00,2025-03-26T05:00:00+00:00,14.91937,15.684668,1000,51.2956,,tp,48
LINKUSDT,F_127,2025-03-24T09:00:00+00:00,2025-03-28T04:00:00+00:00,15.269825,14.82624,1000,-29.0498,,stop,91
LINKUSDT,F_127,2025-03-26T08:00:00+00:00,2025-03-26T13:00:00+00:00,15.940696,15.546174,1000,-24.7494,,stop,5
LINKUSDT,F_127,2025-04-01T03:00:00+00:00,2025-04-02T07:00:00+00:00,13.757862,13.377591,1000,-27.6402,,stop,28
LINKUSDT,F_127,2025-04-01T16:00:00+00:00,2025-04-02T00:00:00+00:00,14.328603,13.93047,1000,-27.7859,,stop,8
LINKUSDT,F_127,2025-04-04T08:00:00+00:00,2025-04-04T10:00:00+00:00,13.097004,12.724726,1000,-28.4247,,stop,2
LINKUSDT,F_127,2025-04-09T18:00:00+00:00,2025-04-10T15:00:00+00:00,12.61638,11.973651,1000,-50.944,,stop,21
LINKUSDT,F_127,2025-04-11T18:00:00+00:00,2025-04-15T14:00:00+00:00,12.766575,12.3933,1000,-29.2385,,stop,92
LINKUSDT,F_127,2025-04-12T15:00:00+00:00,2025-04-12T17:00:00+00:00,13.257212,12.954635,1000,-22.8236,,stop,2
LINKUSDT,F_127,2025-04-19T06:00:00+00:00,2025-04-19T16:00:00+00:00,12.866705,12.685906,1000,-14.0517,,stop,10
LINKUSDT,F_127,2025-04-20T15:00:00+00:00,2025-04-21T08:00:00+00:00,13.177108,13.667888,1000,37.2449,,tp,17
LINKUSDT,F_127,2025-04-20T20:00:00+00:00,2025-04-21T16:00:00+00:00,13.427433,13.117501,1000,-23.082,,stop,20
LINKUSDT,F_127,2025-04-22T15:00:00+00:00,2025-04-23T04:00:00+00:00,13.837966,14.539041,1000,50.6631,,tp,13
LINKUSDT,F_127,2025-04-23T05:00:00+00:00,2025-04-24T07:00:00+00:00,14.729123,14.273401,1000,-30.9402,,stop,26
LINKUSDT,F_127,2025-04-23T13:00:00+00:00,2025-04-23T15:00:00+00:00,15.189721,14.714853,1000,-31.2625,,stop,2
LINKUSDT,F_127,2025-04-28T04:00:00+00:00,2025-04-28T15:00:00+00:00,14.869305,14.463335,1000,-27.3025,,stop,11
LINKUSDT,F_127,2025-04-29T01:00:00+00:00,2025-04-29T17:00:00+00:00,15.209747,14.791921,1000,-27.4709,,stop,16
LINKUSDT,F_127,2025-05-01T09:00:00+00:00,2025-05-02T07:00:00+00:00,14.91937,14.603218,1000,-21.1907,,stop,22
LINKUSDT,F_127,2025-05-06T23:00:00+00:00,2025-05-08T03:00:00+00:00,13.737836,14.436187,1000,50.8342,,tp,28
LINKUSDT,F_127,2025-05-08T03:00:00+00:00,2025-05-08T10:00:00+00:00,14.268525,14.911971,1000,45.0955,,tp,7
LINKUSDT,F_127,2025-05-08T08:00:00+00:00,2025-05-08T15:00:00+00:00,14.709097,15.363384,1000,44.4818,,tp,7
LINKUSDT,F_127,2025-05-08T16:00:00+00:00,2025-05-09T07:00:00+00:00,15.249799,15.971866,1000,47.3493,,tp,15
LINKUSDT,F_127,2025-05-08T21:00:00+00:00,2025-05-10T16:00:00+00:00,15.860592,16.710269,1000,53.5716,,tp,43
LINKUSDT,F_127,2025-05-10T17:00:00+00:00,2025-05-11T07:00:00+00:00,16.931983,16.424889,1000,-29.9489,,stop,14
LINKUSDT,F_127,2025-05-10T23:00:00+00:00,2025-05-11T00:00:00+00:00,17.402594,16.843526,1000,-32.1256,,stop,1
LINKUSDT,F_127,2025-05-13T19:00:00+00:00,2025-05-14T08:00:00+00:00,17.492711,16.999155,1000,-28.215,,stop,13
LINKUSDT,F_127,2025-05-18T06:00:00+00:00,2025-05-18T19:00:00+00:00,15.700384,15.307601,1000,-25.0174,,stop,13
LINKUSDT,F_127,2025-05-18T15:00:00+00:00,2025-05-18T18:00:00+00:00,16.150969,15.780428,1000,-22.9424,,stop,3
LINKUSDT,F_127,2025-05-20T02:00:00+00:00,2025-05-20T11:00:00+00:00,16.110917,15.590623,1000,-32.2945,,stop,9
LINKUSDT,F_127,2025-05-22T09:00:00+00:00,2025-05-23T12:00:00+00:00,16.581528,16.059195,1000,-31.5009,,stop,27
LINKUSDT,F_127,2025-05-23T03:00:00+00:00,2025-05-23T06:00:00+00:00,17.002074,16.567651,1000,-25.5512,,stop,3
LINKUSDT,F_127,2025-05-25T23:00:00+00:00,2025-05-27T01:00:00+00:00,15.550189,15.180429,1000,-23.7785,,stop,26
LINKUSDT,F_127,2025-05-29T03:00:00+00:00,2025-05-29T04:00:00+00:00,16.191021,15.69773,1000,-30.4669,,stop,1
LINKUSDT,F_127,2025-06-02T23:00:00+00:00,2025-06-04T20:00:00+00:00,14.038226,13.726073,1000,-22.2359,,stop,45
LINKUSDT,F_127,2025-06-07T01:00:00+00:00,2025-06-09T22:00:00+00:00,13.71781,14.350559,1000,46.1261,,tp,69
LINKUSDT,F_127,2025-06-07T07:00:00+00:00,2025-06-07T16:00:00+00:00,14.078278,13.778914,1000,-21.2643,,stop,9
LINKUSDT,F_127,2025-06-09T22:00:00+00:00,2025-06-10T11:00:00+00:00,14.31859,14.904903,1000,40.9477,,tp,13
LINKUSDT,F_127,2025-06-10T02:00:00+00:00,2025-06-10T05:00:00+00:00,14.61898,14.318913,1000,-20.5259,,stop,3
LINKUSDT,F_127,2025-06-10T12:00:00+00:00,2025-06-11T22:00:00+00:00,15.189721,14.784762,1000,-26.6601,,stop,34
LINKUSDT,F_127,2025-06-16T02:00:00+00:00,2025-06-16T18:00:00+00:00,13.437446,13.962129,1000,39.0463,,tp,16
LINKUSDT,F_127,2025-06-16T14:00:00+00:00,2025-06-16T23:00:00+00:00,13.807927,13.536022,1000,-19.692,,stop,9
LINKUSDT,F_127,2025-06-19T10:00:00+00:00,2025-06-19T12:00:00+00:00,13.377368,13.077488,1000,-22.417,,stop,2
LINKUSDT,F_127,2025-06-23T13:00:00+00:00,2025-06-23T13:00:00+00:00,11.975548,11.713158,1000,-21.9105,,stop,0
LINKUSDT,F_127,2025-06-23T21:00:00+00:00,2025-06-24T06:00:00+00:00,12.406107,13.280249,1000,70.4606,,tp,9
LINKUSDT,F_127,2025-06-24T06:00:00+00:00,2025-06-27T18:00:00+00:00,13.247199,12.739188,1000,-38.3486,,stop,84
LINKUSDT,F_127,2025-06-28T16:00:00+00:00,2025-06-29T22:00:00+00:00,13.297264,13.599562,1000,22.7338,,tp,30
LINKUSDT,F_127,2025-06-29T23:00:00+00:00,2025-06-30T02:00:00+00:00,13.797914,13.560263,1000,-17.2237,,stop,3
