symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
XLMUSDT,F_127,2025-01-03T03:00:00+00:00,2025-01-07T15:00:00+00:00,0.453689,0.431656,1000,-48.5648,,stop,108
XLMUSDT,F_127,2025-01-06T15:00:00+00:00,2025-01-06T22:00:00+00:00,0.459597,0.444675,1000,-32.4669,,stop,7
XLMUSDT,F_127,2025-01-10T18:00:00+00:00,2025-01-11T21:00:00+00:00,0.416941,0.45435,1000,89.7214,,tp,27
XLMUSDT,F_127,2025-01-11T21:00:00+00:00,2025-01-12T00:00:00+00:00,0.45429,0.433911,1000,-44.8593,,stop,3
XLMUSDT,F_127,2025-01-14T18:00:00+00:00,2025-01-15T01:00:00+00:00,0.431861,0.457323,1000,58.9585,,tp,7
XLMUSDT,F_127,2025-01-15T02:00:00+00:00,2025-01-15T23:00:00+00:00,0.460698,0.494825,1000,74.0774,,tp,21
XLMUSDT,F_127,2025-01-16T13:00:00+00:00,2025-01-16T14:00:00+00:00,0.513367,0.489529,1000,-46.4331,,stop,1
XLMUSDT,F_127,2025-01-19T00:00:00+00:00,2025-01-19T05:00:00+00:00,0.491438,0.47171,1000,-40.144,,stop,5
XLMUSDT,F_127,2025-01-28T13:00:00+00:00,2025-01-28T16:00:00+00:00,0.417842,0.407298,1000,-25.2355,,stop,3
XLMUSDT,F_127,2025-01-30T15:00:00+00:00,2025-01-30T15:00:00+00:00,0.412335,0.427664,1000,37.1761,,tp,0
XLMUSDT,F_127,2025-01-30T16:00:00+00:00,2025-01-31T01:00:00+00:00,0.435265,0.423656,1000,-26.6702,,stop,9
XLMUSDT,F_127,2025-02-07T14:00:00+00:00,2025-02-07T20:00:00+00:00,0.340542,0.328172,1000,-36.3245,,stop,6
XLMUSDT,F_127,2025-02-09T04:00:00+00:00,2025-02-09T09:00:00+00:00,0.33874,0.329753,1000,-26.5289,,stop,5
XLMUSDT,F_127,2025-02-11T05:00:00+00:00,2025-02-11T19:00:00+00:00,0.325723,0.316454,1000,-28.4569,,stop,14
XLMUSDT,F_127,2025-02-14T09:00:00+00:00,2025-02-16T14:00:00+00:00,0.353159,0.341015,1000,-34.3865,,stop,53
XLMUSDT,F_127,2025-02-19T12:00:00+00:00,2025-02-19T12:00:00+00:00,0.33884,0.330709,1000,-23.9951,,stop,0
XLMUSDT,F_127,2025-02-22T18:00:00+00:00,2025-02-22T22:00:00+00:00,0.33894,0.333663,1000,-15.5697,,stop,4
XLMUSDT,F_127,2025-03-01T22:00:00+00:00,2025-03-02T15:00:00+00:00,0.317112,0.341382,1000,76.5343,,tp,17
XLMUSDT,F_127,2025-03-02T16:00:00+00:00,2025-03-02T16:00:00+00:00,0.336337,0.364548,1000,83.8778,,tp,0
XLMUSDT,F_127,2025-03-02T17:00:00+00:00,2025-03-02T18:00:00+00:00,0.359667,0.340923,1000,-52.1143,,stop,1
XLMUSDT,F_127,2025-03-11T19:00:00+00:00,2025-03-12T15:00:00+00:00,0.260238,0.247772,1000,-47.8999,,stop,20
XLMUSDT,F_127,2025-03-13T10:00:00+00:00,2025-03-13T13:00:00+00:00,0.276159,0.292007,1000,57.389,,tp,3
XLMUSDT,F_127,2025-03-19T01:00:00+00:00,2025-03-19T13:00:00+00:00,0.27696,0.29198,1000,54.2315,,tp,12
XLMUSDT,F_127,2025-03-19T14:00:00+00:00,2025-03-20T04:00:00+00:00,0.293882,0.283427,1000,-35.5744,,stop,14
XLMUSDT,F_127,2025-03-23T14:00:00+00:00,2025-03-24T10:00:00+00:00,0.281966,0.290274,1000,29.4641,,tp,20
XLMUSDT,F_127,2025-04-01T09:00:00+00:00,2025-04-02T02:00:00+00:00,0.273355,0.267992,1000,-19.6197,,stop,17
XLMUSDT,F_127,2025-04-04T08:00:00+00:00,2025-04-04T10:00:00+00:00,0.263843,0.258392,1000,-20.6587,,stop,2
XLMUSDT,F_127,2025-04-09T18:00:00+00:00,2025-04-10T03:00:00+00:00,0.244217,0.232928,1000,-46.2249,,stop,9
XLMUSDT,F_127,2025-04-12T14:00:00+00:00,2025-04-13T19:00:00+00:00,0.244918,0.239877,1000,-20.5817,,stop,29
XLMUSDT,F_127,2025-04-13T10:00:00+00:00,2025-04-13T13:00:00+00:00,0.250826,0.245149,1000,-22.6303,,stop,3
XLMUSDT,F_127,2025-04-17T17:00:00+00:00,2025-04-21T01:00:00+00:00,0.241514,0.249788,1000,34.2625,,tp,80
XLMUSDT,F_127,2025-04-22T22:00:00+00:00,2025-04-24T03:00:00+00:00,0.267047,0.259851,1000,-26.9443,,stop,29
XLMUSDT,F_127,2025-04-26T07:00:00+00:00,2025-04-26T11:00:00+00:00,0.297186,0.289737,1000,-25.0637,,stop,4
XLMUSDT,F_127,2025-05-01T11:00:00+00:00,2025-05-01T20:00:00+00:00,0.279162,0.274576,1000,-16.4277,,stop,9
XLMUSDT,F_127,2025-05-08T03:00:00+00:00,2025-05-08T15:00:00+00:00,0.266446,0.276058,1000,36.0752,,tp,12
XLMUSDT,F_127,2025-05-08T16:00:00+00:00,2025-05-09T00:00:00+00:00,0.280564,0.291784,1000,39.9915,,tp,8
XLMUSDT,F_127,2025-05-08T21:00:00+00:00,2025-05-09T08:00:00+00:00,0.289476,0.303395,1000,48.0847,,tp,11
XLMUSDT,F_127,2025-05-11T00:00:00+00:00,2025-05-11T00:00:00+00:00,0.322018,0.312797,1000,-28.6364,,stop,0
XLMUSDT,F_127,2025-05-12T13:00:00+00:00,2025-05-12T14:00:00+00:00,0.328026,0.316114,1000,-36.3126,,stop,1
XLMUSDT,F_127,2025-05-21T17:00:00+00:00,2025-05-21T17:00:00+00:00,0.296285,0.289793,1000,-21.9097,,stop,0
XLMUSDT,F_127,2025-05-23T03:00:00+00:00,2025-05-23T05:00:00+00:00,0.310103,0.304021,1000,-19.6111,,stop,2
XLMUSDT,F_127,2025-05-25T23:00:00+00:00,2025-05-27T01:00:00+00:00,0.287874,0.282763,1000,-17.7541,,stop,26
