symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ETHUSDT,F_192,2025-01-02T09:00:00+00:00,2025-01-03T14:00:00+00:00,3442.389296,3524.353102,1000,23.8102,,tp,29
ETHUSDT,F_192,2025-01-03T17:00:00+00:00,2025-01-06T05:00:00+00:00,3588.939564,3684.132529,1000,26.524,,tp,60
ETHUSDT,F_192,2025-01-03T20:00:00+00:00,2025-01-06T16:00:00+00:00,3627.529666,3735.090585,1000,29.6513,,tp,68
ETHUSDT,F_192,2025-01-06T16:00:00+00:00,2025-01-06T17:00:00+00:00,3719.278785,3657.256734,1000,-16.6758,,stop,1
ETHUSDT,F_192,2025-01-13T01:00:00+00:00,2025-01-13T01:00:00+00:00,3312.851115,3259.960507,1000,-15.9653,,stop,0
ETHUSDT,F_192,2025-01-14T07:00:00+00:00,2025-01-15T14:00:00+00:00,3188.049083,3319.356873,1000,41.1875,,tp,31
ETHUSDT,F_192,2025-01-15T19:00:00+00:00,2025-01-16T08:00:00+00:00,3376.704016,3303.244209,1000,-21.7549,,stop,13
ETHUSDT,F_192,2025-01-17T09:00:00+00:00,2025-01-18T04:00:00+00:00,3411.759529,3346.925719,1000,-19.003,,stop,19
ETHUSDT,F_192,2025-01-19T15:00:00+00:00,2025-01-19T21:00:00+00:00,3385.545495,3263.946841,1000,-35.917,,stop,6
ETHUSDT,F_192,2025-01-21T18:00:00+00:00,2025-01-22T08:00:00+00:00,3355.3563,3275.130231,1000,-23.9099,,stop,14
ETHUSDT,F_192,2025-01-26T05:00:00+00:00,2025-01-26T09:00:00+00:00,3356.627951,3316.814765,1000,-11.8611,,stop,4
ETHUSDT,F_192,2025-01-30T04:00:00+00:00,2025-01-31T15:00:00+00:00,3205.66195,3386.593647,1000,56.4413,,tp,35
ETHUSDT,F_192,2025-02-06T07:00:00+00:00,2025-02-06T12:00:00+00:00,2856.889134,2770.313039,1000,-30.3043,,stop,5
ETHUSDT,F_192,2025-02-10T14:00:00+00:00,2025-02-11T18:00:00+00:00,2681.251101,2612.986939,1000,-25.4598,,stop,28
ETHUSDT,F_192,2025-02-12T18:00:00+00:00,2025-02-17T14:00:00+00:00,2676.4749,2815.498559,1000,51.9428,,tp,116
ETHUSDT,F_192,2025-02-17T09:00:00+00:00,2025-02-17T14:00:00+00:00,2718.118967,2804.536895,1000,31.7933,,tp,5
