symbol,NOVA_BODY_RATIO,NOVA_RANGE_ATR,NOVA_LOOKBACK,net,trades,win_pct,pf
RENDERUSDT,0.4,0.6,10,-132.50280245606035,32,34.38,0.9174399151609751
RENDERUSDT,0.4,0.6,20,61.4642912904236,22,36.36,1.060962427235283
RENDERUSDT,0.4,0.6,50,122.32510099353374,15,40.0,1.1723143541698087
RENDERUSDT,0.4,0.8,10,-263.03651789985656,31,32.26,0.8376012856293301
RENDERUSDT,0.4,0.8,20,110.4494302370208,21,38.1,1.1151417788153621
RENDERUSDT,0.4,0.8,50,122.32510099353374,15,40.0,1.1723143541698087
RENDERUSDT,0.4,1.0,10,-182.65830849891682,30,33.33,0.8820575611706641
RENDERUSDT,0.4,1.0,20,190.8276396379606,20,40.0,1.214833419486671
RENDERUSDT,0.4,1.0,50,122.32510099353374,15,40.0,1.1723143541698087
RENDERUSDT,0.5,0.6,10,-119.86204960075514,29,34.48,0.9188921221312542
RENDERUSDT,0.5,0.6,20,1.3088356118072255,20,35.0,1.001372070128982
RENDERUSDT,0.5,0.6,50,206.51503213701517,14,42.86,1.3232320417926187
RENDERUSDT,0.5,0.8,10,-250.3957650445515,28,32.14,0.8322396705320945
RENDERUSDT,0.5,0.8,20,50.29397455840444,19,36.84,1.0555778792195945
RENDERUSDT,0.5,0.8,50,206.51503213701517,14,42.86,1.3232320417926187
RENDERUSDT,0.5,1.0,10,-165.8139293315324,27,33.33,0.883360373279293
RENDERUSDT,0.5,1.0,20,134.87581027142346,18,38.89,1.1617333583862743
RENDERUSDT,0.5,1.0,50,206.51503213701517,14,42.86,1.3232320417926187
RENDERUSDT,0.6,0.6,10,73.66960026023867,25,36.0,1.0630454924121227
RENDERUSDT,0.6,0.6,20,146.1353381369472,15,40.0,1.233243719342977
RENDERUSDT,0.6,0.6,50,444.8941365946725,9,55.56,2.586567729663685
RENDERUSDT,0.6,0.8,10,-162.8123215954255,24,33.33,0.8668142218274639
RENDERUSDT,0.6,0.8,20,195.12047708354436,14,42.86,1.3378418259297384
RENDERUSDT,0.6,0.8,50,444.8941365946725,9,55.56,2.586567729663685
RENDERUSDT,0.6,1.0,10,-269.33344670514134,23,30.43,0.7796764745087733
RENDERUSDT,0.6,1.0,20,88.59935197382852,13,38.46,1.1534055640619083
RENDERUSDT,0.6,1.0,50,444.8941365946725,9,55.56,2.586567729663685
