symbol,NOVA_BODY_RATIO,NOVA_RANGE_ATR,NOVA_LOOKBACK,net,trades,win_pct,pf
BTCUSDT,0.4,0.6,10,509.4692841817798,115,43.48,1.2511435327510259
BTCUSDT,0.4,0.6,20,400.0473921562187,82,43.9,1.2841183571070036
BTCUSDT,0.4,0.6,50,267.98522443442306,57,42.11,1.2684468168739234
BTCUSDT,0.4,0.8,10,618.4606849325476,111,45.05,1.33032501141248
BTCUSDT,0.4,0.8,20,444.5343339442704,80,45.0,1.3349310096862164
BTCUSDT,0.4,0.8,50,312.47216622247487,55,43.64,1.3405723772062512
BTCUSDT,0.4,1.0,10,564.2013046873337,108,44.44,1.3078561323445055
BTCUSDT,0.4,1.0,20,492.07409981903874,79,45.57,1.3824266816909425
BTCUSDT,0.4,1.0,50,312.8490218888373,53,43.4,1.3567407641475995
BTCUSDT,0.5,0.6,10,463.2307136934106,105,43.81,1.2487397187829659
BTCUSDT,0.5,0.6,20,377.916613608638,74,44.59,1.2969426843051461
BTCUSDT,0.5,0.6,50,390.543458974156,50,46.0,1.4712083722447855
BTCUSDT,0.5,0.8,10,573.0701889966291,102,45.1,1.3290771115730156
BTCUSDT,0.5,0.8,20,416.24703342457934,73,45.21,1.3372164206560644
BTCUSDT,0.5,0.8,50,428.87387879009725,49,46.94,1.5425471481233914
BTCUSDT,0.5,1.0,10,561.8890450213461,98,44.9,1.3363061724729104
BTCUSDT,0.5,1.0,20,487.97845348493547,71,46.48,1.4172027506740037
BTCUSDT,0.5,1.0,50,429.2507344564598,47,46.81,1.5723681902640232
BTCUSDT,0.6,0.6,10,176.38079441854387,87,41.38,1.109038933892604
BTCUSDT,0.6,0.6,20,317.61773041396833,64,45.31,1.2932837754732653
BTCUSDT,0.6,0.6,50,175.66248514596847,42,42.86,1.2352761799193182
BTCUSDT,0.6,0.8,10,222.17929398796167,86,41.86,1.141353760228476
BTCUSDT,0.6,0.8,20,334.1509154414601,63,46.03,1.3133338018544254
BTCUSDT,0.6,0.8,50,175.66248514596847,42,42.86,1.2352761799193182
BTCUSDT,0.6,1.0,10,195.02302086083148,84,41.67,1.1253539428331496
BTCUSDT,0.6,1.0,20,340.64809865482323,63,46.03,1.319271750350518
BTCUSDT,0.6,1.0,50,171.7992809480853,40,42.5,1.2418563892722576
ETHUSDT,0.4,0.6,10,250.79964168034604,117,38.46,1.0976013537207905
ETHUSDT,0.4,0.6,20,53.19750016721469,89,37.08,1.0267595423625953
ETHUSDT,0.4,0.6,50,484.8664545337509,59,45.76,1.400011535394561
ETHUSDT,0.4,0.8,10,232.58160772074092,115,38.26,1.0919062708889735
ETHUSDT,0.4,0.8,20,103.46132858410445,88,37.5,1.053393371085487
ETHUSDT,0.4,0.8,50,535.1302829506407,58,46.55,1.4605777777305158
ETHUSDT,0.4,1.0,10,140.6414413453013,102,38.24,1.0638886216459116
ETHUSDT,0.4,1.0,20,88.81638726084131,83,37.35,1.05084129561587
ETHUSDT,0.4,1.0,50,470.8534482072344,54,46.3,1.4536744387700726
ETHUSDT,0.5,0.6,10,-20.226100006632738,104,36.54,0.9912811664656574
ETHUSDT,0.5,0.6,20,-69.99584675888389,81,35.8,0.9613213290998066
ETHUSDT,0.5,0.6,50,199.62486399591796,51,43.14,1.1806567429900745
ETHUSDT,0.5,0.8,10,6.394451291471842,103,36.89,1.0027884443717379
ETHUSDT,0.5,0.8,20,-69.99584675888389,81,35.8,0.9613213290998066
ETHUSDT,0.5,0.8,50,199.62486399591796,51,43.14,1.1806567429900745
ETHUSDT,0.5,1.0,10,-94.17021001548504,95,35.79,0.9550081063808501
ETHUSDT,0.5,1.0,20,-42.66771639311989,79,35.44,0.9747195164875797
ETHUSDT,0.5,1.0,50,203.01951904497145,49,42.86,1.2007748168566614
ETHUSDT,0.6,0.6,10,-168.0491838521467,87,34.48,0.916594735619018
ETHUSDT,0.6,0.6,20,-297.79287514741395,71,32.39,0.8188437910288716
ETHUSDT,0.6,0.6,50,203.36894162109036,46,43.48,1.2068111157515464
ETHUSDT,0.6,0.8,10,-141.428632554042,86,34.88,0.9288670839671441
ETHUSDT,0.6,0.8,20,-297.79287514741395,71,32.39,0.8188437910288716
ETHUSDT,0.6,0.8,50,203.36894162109036,46,43.48,1.2068111157515464
ETHUSDT,0.6,1.0,10,-279.9720019246346,84,33.33,0.8564120775235998
ETHUSDT,0.6,1.0,20,-254.22588158509564,71,32.39,0.8407230575224138
ETHUSDT,0.6,1.0,50,245.86139444035166,46,43.48,1.2613146270904687
SOLUSDT,0.4,0.6,10,1204.8106515545408,122,40.16,1.2800820228549379
SOLUSDT,0.4,0.6,20,1728.899149979096,92,44.57,1.5859069437396558
SOLUSDT,0.4,0.6,50,1417.2635691288147,69,43.48,1.660508029656114
SOLUSDT,0.4,0.8,10,1394.4972857727055,116,41.38,1.3483748051335755
SOLUSDT,0.4,0.8,20,1601.9571474759168,92,43.48,1.5356807847191674
SOLUSDT,0.4,0.8,50,1425.6942854525478,69,43.48,1.6670580504312527
SOLUSDT,0.4,1.0,10,2004.6014861066385,100,45.0,1.6715402437819766
SOLUSDT,0.4,1.0,20,2115.2280113754778,82,47.56,1.8929214024286738
SOLUSDT,0.4,1.0,50,1605.9655932011292,66,45.45,1.8206198155686586
SOLUSDT,0.5,0.6,10,1404.493906133827,110,41.82,1.3672870133575257
SOLUSDT,0.5,0.6,20,2382.867055395344,81,50.62,2.0338339093876523
SOLUSDT,0.5,0.6,50,1831.5470454544918,62,48.39,2.0529295969057437
SOLUSDT,0.5,0.8,10,1601.8514950726021,104,43.27,1.4550007351103376
SOLUSDT,0.5,0.8,20,2255.9250528921652,81,49.38,1.9621862895408202
SOLUSDT,0.5,0.8,50,1839.977761778225,62,48.39,2.062927980572673
SOLUSDT,0.5,1.0,10,2195.6038669457234,92,46.74,1.8254413722256777
SOLUSDT,0.5,1.0,20,2623.480563967445,74,52.7,2.4039250710701534
SOLUSDT,0.5,1.0,50,1974.5270441094247,60,50.0,2.236787023989544
SOLUSDT,0.6,0.6,10,824.7432890148898,90,41.11,1.251624175212109
SOLUSDT,0.6,0.6,20,1280.9206756462545,70,45.71,1.5644456214010058
SOLUSDT,0.6,0.6,50,1391.9281695189202,51,49.02,1.9571514080610148
SOLUSDT,0.6,0.8,10,933.6814585134107,88,42.05,1.2953565063280306
SOLUSDT,0.6,0.8,20,1153.9786731430759,70,44.29,1.4997652350599968
SOLUSDT,0.6,0.8,50,1400.3588858426533,51,49.02,1.968563829369538
SOLUSDT,0.6,1.0,10,1544.646776585768,77,46.75,1.6523185619687706
SOLUSDT,0.6,1.0,20,1666.0323176549202,63,49.21,1.930261155551548
SOLUSDT,0.6,1.0,50,1580.6301935912347,48,52.08,2.2489785565843388
XLMUSDT,0.4,0.6,10,15.503540427112995,108,29.63,1.0051571706621907
XLMUSDT,0.4,0.6,20,525.2807985495022,79,32.91,1.241697823609114
XLMUSDT,0.4,0.6,50,835.9149452874495,44,31.82,1.6306685000160734
XLMUSDT,0.4,0.8,10,306.08702956651877,99,31.31,1.1140002143148395
XLMUSDT,0.4,0.8,20,595.0886699167083,77,33.77,1.2816259612824121
XLMUSDT,0.4,0.8,50,715.7536268053601,44,29.55,1.5250638151777818
