symbol,NOVA_EXIT,NOVA_TRIG,NOVA_LOCK,net,trades,win_pct,pf
BTCUSDT,std,0.0025,0.0015,416.24703342457934,73,45.21,1.3372164206560644
BTCUSDT,std,0.0025,0.0045,416.24703342457934,73,45.21,1.3372164206560644
BTCUSDT,std,0.004,0.0015,416.24703342457934,73,45.21,1.3372164206560644
BTCUSDT,std,0.004,0.0045,416.24703342457934,73,45.21,1.3372164206560644
BTCUSDT,std,0.005,0.0015,416.24703342457934,73,45.21,1.3372164206560644
BTCUSDT,std,0.005,0.0045,416.24703342457934,73,45.21,1.3372164206560644
BTCUSDT,dual,0.0025,0.0015,659.9569631856708,98,89.8,3.457600495176668
BTCUSDT,dual,0.0025,0.0045,720.1944178951732,98,89.8,3.6819175442879537
BTCUSDT,dual,0.004,0.0015,731.5647507237572,94,88.3,3.37085036428224
BTCUSDT,dual,0.004,0.0045,753.558658523221,94,88.3,3.442128079982403
BTCUSDT,dual,0.005,0.0015,782.1070705984267,92,88.04,3.534647591209836
BTCUSDT,dual,0.005,0.0045,787.5350683963475,92,88.04,3.5522386117501124
ETHUSDT,std,0.0025,0.0015,-69.99584675888389,81,35.8,0.9613213290998066
ETHUSDT,std,0.0025,0.0045,-69.99584675888389,81,35.8,0.9613213290998066
ETHUSDT,std,0.004,0.0015,-69.99584675888389,81,35.8,0.9613213290998066
ETHUSDT,std,0.004,0.0045,-69.99584675888389,81,35.8,0.9613213290998066
ETHUSDT,std,0.005,0.0015,-69.99584675888389,81,35.8,0.9613213290998066
ETHUSDT,std,0.005,0.0045,-69.99584675888389,81,35.8,0.9613213290998066
ETHUSDT,dual,0.0025,0.0015,548.4839735215671,103,89.32,2.440518718723988
ETHUSDT,dual,0.0025,0.0045,609.6695176218727,103,89.32,2.601214246481896
ETHUSDT,dual,0.004,0.0015,619.1664931387198,97,87.63,2.4962033652961937
ETHUSDT,dual,0.004,0.0045,641.6812315633769,97,87.63,2.550609777421257
ETHUSDT,dual,0.005,0.0015,677.2276381206168,96,86.46,2.5265114314560995
ETHUSDT,dual,0.005,0.0045,684.3145479669739,96,86.46,2.5424857483404257
SOLUSDT,std,0.0025,0.0015,2255.9250528921652,81,49.38,1.9621862895408202
SOLUSDT,std,0.0025,0.0045,2255.9250528921652,81,49.38,1.9621862895408202
SOLUSDT,std,0.004,0.0015,2255.9250528921652,81,49.38,1.9621862895408202
SOLUSDT,std,0.004,0.0045,2255.9250528921652,81,49.38,1.9621862895408202
SOLUSDT,std,0.005,0.0015,2255.9250528921652,81,49.38,1.9621862895408202
SOLUSDT,std,0.005,0.0045,2255.9250528921652,81,49.38,1.9621862895408202
SOLUSDT,dual,0.0025,0.0015,1300.5819454870177,114,93.86,4.102436978939475
SOLUSDT,dual,0.0025,0.0045,1336.6051179751914,114,93.86,4.188367452458524
SOLUSDT,dual,0.004,0.0015,1276.1799992583215,111,91.89,3.3318208486696173
SOLUSDT,dual,0.004,0.0045,1288.4879698286275,111,91.89,3.354309825457633
SOLUSDT,dual,0.005,0.0015,1228.0594372483677,111,90.99,3.0189576355278573
SOLUSDT,dual,0.005,0.0045,1231.423726044963,111,90.99,3.0244886027986477
XLMUSDT,std,0.0025,0.0015,198.8258696967378,65,33.85,1.105373635049278
XLMUSDT,std,0.0025,0.0045,198.8258696967378,65,33.85,1.105373635049278
XLMUSDT,std,0.004,0.0015,198.8258696967378,65,33.85,1.105373635049278
XLMUSDT,std,0.004,0.0045,198.8258696967378,65,33.85,1.105373635049278
XLMUSDT,std,0.005,0.0015,198.8258696967378,65,33.85,1.105373635049278
XLMUSDT,std,0.005,0.0045,198.8258696967378,65,33.85,1.105373635049278
XLMUSDT,dual,0.0025,0.0015,532.7399615986084,86,81.4,2.005444683364931
XLMUSDT,dual,0.0025,0.0045,574.552067863695,86,81.4,2.084357028927241
XLMUSDT,dual,0.004,0.0015,424.3279439258309,84,76.19,1.6339886514234903
XLMUSDT,dual,0.004,0.0045,437.83542406683256,84,76.19,1.6541701861098324
XLMUSDT,dual,0.005,0.0015,461.5020006199729,82,75.61,1.7035333853497125
XLMUSDT,dual,0.005,0.0045,465.5401759614833,82,75.61,1.709689352528256
LINKUSDT,std,0.0025,0.0015,1065.7998327224,75,42.67,1.4989276744244164
LINKUSDT,std,0.0025,0.0045,1065.7998327224,75,42.67,1.4989276744244164
LINKUSDT,std,0.004,0.0015,1065.7998327224,75,42.67,1.4989276744244164
LINKUSDT,std,0.004,0.0045,1065.7998327224,75,42.67,1.4989276744244164
LINKUSDT,std,0.005,0.0015,1065.7998327224,75,42.67,1.4989276744244164
LINKUSDT,std,0.005,0.0045,1065.7998327224,75,42.67,1.4989276744244164
LINKUSDT,dual,0.0025,0.0015,1431.917638085546,96,94.79,6.738749260485572
LINKUSDT,dual,0.0025,0.0045,1469.502769947974,96,94.79,6.889380583086736
LINKUSDT,dual,0.004,0.0015,1388.4629532726378,96,92.71,5.388427094690675
LINKUSDT,dual,0.004,0.0045,1413.6005660791352,96,92.71,5.467877958594435
LINKUSDT,dual,0.005,0.0015,1411.224328220252,93,92.47,5.3116531540919
LINKUSDT,dual,0.005,0.0045,1419.3099633468642,93,92.47,5.336356848252601
GRAMUSDT,std,0.0025,0.0015,-403.8216922020733,17,17.65,0.37289782044036707
GRAMUSDT,std,0.0025,0.0045,-403.8216922020733,17,17.65,0.37289782044036707
GRAMUSDT,std,0.004,0.0015,-403.8216922020733,17,17.65,0.37289782044036707
GRAMUSDT,std,0.004,0.0045,-403.8216922020733,17,17.65,0.37289782044036707
GRAMUSDT,std,0.005,0.0015,-403.8216922020733,17,17.65,0.37289782044036707
GRAMUSDT,std,0.005,0.0045,-403.8216922020733,17,17.65,0.37289782044036707
GRAMUSDT,dual,0.0025,0.0015,191.8163162080641,21,90.48,2.659481200922742
GRAMUSDT,dual,0.0025,0.0045,203.03619621147348,21,90.48,2.7565489598618225
GRAMUSDT,dual,0.004,0.0015,146.53874901691674,20,80.0,1.7278968951366118
GRAMUSDT,dual,0.004,0.0045,148.95167718847537,20,80.0,1.739882550371477
GRAMUSDT,dual,0.005,0.0015,149.9962292838861,20,80.0,1.7450711181199987
GRAMUSDT,dual,0.005,0.0045,150.6741667831224,20,80.0,1.748438613776276
RENDERUSDT,std,0.0025,0.0015,50.29397455840444,19,36.84,1.0555778792195945
RENDERUSDT,std,0.0025,0.0045,50.29397455840444,19,36.84,1.0555778792195945
RENDERUSDT,std,0.004,0.0015,50.29397455840444,19,36.84,1.0555778792195945
RENDERUSDT,std,0.004,0.0045,50.29397455840444,19,36.84,1.0555778792195945
RENDERUSDT,std,0.005,0.0015,50.29397455840444,19,36.84,1.0555778792195945
RENDERUSDT,std,0.005,0.0045,50.29397455840444,19,36.84,1.0555778792195945
RENDERUSDT,dual,0.0025,0.0015,288.5679168508799,24,91.67,2.490170911931156
RENDERUSDT,dual,0.0025,0.0045,300.4731409506101,24,91.67,2.551649744529887
RENDERUSDT,dual,0.004,0.0015,337.11033469764857,23,91.3,2.740844998847904
RENDERUSDT,dual,0.004,0.0045,342.4877703335836,23,91.3,2.768614191809135
RENDERUSDT,dual,0.005,0.0015,281.30687844630734,23,86.96,2.0465329389852527
RENDERUSDT,dual,0.005,0.0045,282.6287675802387,23,86.96,2.0514507018497317
FILUSDT,std,0.0025,0.0015,-228.4732818041724,63,33.33,0.9052570973179878
FILUSDT,std,0.0025,0.0045,-228.4732818041724,63,33.33,0.9052570973179878
FILUSDT,std,0.004,0.0015,-228.4732818041724,63,33.33,0.9052570973179878
FILUSDT,std,0.004,0.0045,-228.4732818041724,63,33.33,0.9052570973179878
FILUSDT,std,0.005,0.0015,-228.4732818041724,63,33.33,0.9052570973179878
FILUSDT,std,0.005,0.0045,-228.4732818041724,63,33.33,0.9052570973179878
FILUSDT,dual,0.0025,0.0015,1294.5225645475095,87,94.25,6.232219139281832
FILUSDT,dual,0.0025,0.0045,1323.8791342240745,87,94.25,6.350872927119877
FILUSDT,dual,0.004,0.0015,1190.5026687009042,87,90.8,4.25747288270619
FILUSDT,dual,0.004,0.0045,1204.983723548946,87,90.8,4.297096181939909
FILUSDT,dual,0.005,0.0015,1254.5901392628564,86,91.86,4.752847206718029
FILUSDT,dual,0.005,0.0045,1264.4279167598227,86,91.86,4.782274885642317
