symbol,NOVA_BODY_RATIO,NOVA_RANGE_ATR,NOVA_LOOKBACK,net,trades,win_pct,pf
ETHUSDT,0.4,0.6,10,-17424.1495989137,6925,19.18,0.3914840029202934
ETHUSDT,0.4,0.6,20,-11943.641044845677,4661,19.46,0.38308575566186137
ETHUSDT,0.4,0.6,50,-6701.100477162837,2676,20.7,0.4204724865575741
ETHUSDT,0.4,0.8,10,-15760.771731876946,6317,19.25,0.3925563981325661
ETHUSDT,0.4,0.8,20,-11207.945983334203,4403,19.42,0.38570779447572
ETHUSDT,0.4,0.8,50,-6487.278412326708,2571,20.58,0.4178959684584156
ETHUSDT,0.4,1.0,10,-13642.519201746523,5474,19.07,0.3883461890591577
ETHUSDT,0.4,1.0,20,-10118.212449811474,3974,19.35,0.3838640208134635
ETHUSDT,0.4,1.0,50,-6044.250033132457,2402,20.69,0.41639081866370364
ETHUSDT,0.5,0.6,10,-16008.204548796735,6331,18.92,0.3860525679031608
ETHUSDT,0.5,0.6,20,-11094.732919299595,4276,19.06,0.3735351785730688
ETHUSDT,0.5,0.6,50,-6259.903876377399,2447,20.39,0.40622313545870287
ETHUSDT,0.5,0.8,10,-14455.475456632152,5783,19.04,0.38832902100615513
ETHUSDT,0.5,0.8,20,-10448.56719430754,4041,18.98,0.3754962905160304
ETHUSDT,0.5,0.8,50,-6099.9591924469205,2352,20.24,0.4013414874440734
ETHUSDT,0.5,1.0,10,-12722.900840608576,5045,18.77,0.3793228501166934
ETHUSDT,0.5,1.0,20,-9519.491896925507,3662,18.9,0.3716697278532079
ETHUSDT,0.5,1.0,50,-5589.354617318423,2201,20.45,0.40976223942234813
ETHUSDT,0.6,0.6,10,-13581.14719271793,5469,19.02,0.39090816884179946
ETHUSDT,0.6,0.6,20,-9216.63042300806,3683,19.49,0.38854479757741556
ETHUSDT,0.6,0.6,50,-5152.401651525864,2112,21.16,0.42577813965403716
ETHUSDT,0.6,0.8,10,-12451.1185320915,5028,19.07,0.3898387307777392
ETHUSDT,0.6,0.8,20,-8742.764794703455,3499,19.52,0.3902385850444854
ETHUSDT,0.6,0.8,50,-4992.476322782483,2031,21.12,0.4239362835830607
ETHUSDT,0.6,1.0,10,-10796.978882775213,4416,19.23,0.3915727879018038
ETHUSDT,0.6,1.0,20,-7870.353173233168,3181,19.71,0.39316882435599776
ETHUSDT,0.6,1.0,50,-4655.652176446452,1915,21.36,0.42819656967754327
