symbol,NOVA_EXIT,NOVA_TRIG,NOVA_LOCK,net,trades,win_pct,pf
BTCUSDT,std,0.0025,0.0015,-11275.925641913567,4434,15.25,0.2994626409246524
BTCUSDT,std,0.0025,0.0045,-11275.925641913567,4434,15.25,0.2994626409246524
BTCUSDT,std,0.004,0.0015,-11275.925641913567,4434,15.25,0.2994626409246524
BTCUSDT,std,0.004,0.0045,-11275.925641913567,4434,15.25,0.2994626409246524
BTCUSDT,std,0.005,0.0015,-11275.925641913567,4434,15.25,0.2994626409246524
BTCUSDT,std,0.005,0.0045,-11275.925641913567,4434,15.25,0.2994626409246524
BTCUSDT,dual,0.0025,0.0015,-10492.302850950913,4449,26.59,0.19027358392943092
BTCUSDT,dual,0.0025,0.0045,-8663.823879349282,4454,26.58,0.3328347559335119
BTCUSDT,dual,0.004,0.0015,-10597.19519021234,4423,21.59,0.24483067943888492
BTCUSDT,dual,0.004,0.0045,-10067.861044609488,4425,21.65,0.28184830933524385
BTCUSDT,dual,0.005,0.0015,-10547.673522032115,4413,19.37,0.2736198043768497
BTCUSDT,dual,0.005,0.0045,-10388.237862788978,4413,19.37,0.2845995626248116
ETHUSDT,std,0.0025,0.0015,-10448.56719430754,4041,18.98,0.3754962905160304
ETHUSDT,std,0.0025,0.0045,-10448.56719430754,4041,18.98,0.3754962905160304
ETHUSDT,std,0.004,0.0015,-10448.56719430754,4041,18.98,0.3754962905160304
ETHUSDT,std,0.004,0.0045,-10448.56719430754,4041,18.98,0.3754962905160304
ETHUSDT,std,0.005,0.0015,-10448.56719430754,4041,18.98,0.3754962905160304
ETHUSDT,std,0.005,0.0045,-10448.56719430754,4041,18.98,0.3754962905160304
ETHUSDT,dual,0.0025,0.0015,-9274.261979648982,4085,34.86,0.25805806937253023
ETHUSDT,dual,0.0025,0.0045,-7168.846989096403,4090,34.91,0.4267010488467729
ETHUSDT,dual,0.004,0.0015,-9417.01969074299,4035,28.82,0.3165986384901753
ETHUSDT,dual,0.004,0.0045,-8751.241027199385,4036,28.82,0.3653361431112281
ETHUSDT,dual,0.005,0.0015,-9438.466773516939,4021,25.96,0.34609172737031074
ETHUSDT,dual,0.005,0.0045,-9248.220740584957,4021,25.96,0.3592722001901401
SOLUSDT,std,0.0025,0.0015,-9744.933798594424,3669,25.65,0.590475197364807
SOLUSDT,std,0.0025,0.0045,-9744.933798594424,3669,25.65,0.590475197364807
SOLUSDT,std,0.004,0.0015,-9744.933798594424,3669,25.65,0.590475197364807
SOLUSDT,std,0.004,0.0045,-9744.933798594424,3669,25.65,0.590475197364807
SOLUSDT,std,0.005,0.0015,-9744.933798594424,3669,25.65,0.590475197364807
SOLUSDT,std,0.005,0.0045,-9744.933798594424,3669,25.65,0.590475197364807
SOLUSDT,dual,0.0025,0.0015,-7411.635467987996,3882,56.75,0.4439071842597717
SOLUSDT,dual,0.0025,0.0045,-4267.107781156752,3892,56.73,0.680994052345202
SOLUSDT,dual,0.004,0.0015,-7736.033784337915,3783,48.56,0.5033727969107469
SOLUSDT,dual,0.004,0.0045,-6827.595923857789,3790,48.52,0.5628939669200949
SOLUSDT,dual,0.005,0.0015,-8001.076785640288,3745,44.33,0.526464371404846
SOLUSDT,dual,0.005,0.0045,-7735.534108773561,3748,44.34,0.5424573174211054
XLMUSDT,std,0.0025,0.0015,-6957.01831968883,2672,22.57,0.5698580960923598
XLMUSDT,std,0.0025,0.0045,-6957.01831968883,2672,22.57,0.5698580960923598
XLMUSDT,std,0.004,0.0015,-6957.01831968883,2672,22.57,0.5698580960923598
XLMUSDT,std,0.004,0.0045,-6957.01831968883,2672,22.57,0.5698580960923598
XLMUSDT,std,0.005,0.0015,-6957.01831968883,2672,22.57,0.5698580960923598
XLMUSDT,std,0.005,0.0045,-6957.01831968883,2672,22.57,0.5698580960923598
XLMUSDT,dual,0.0025,0.0015,-5692.771862475948,2816,48.9,0.4209862360203313
XLMUSDT,dual,0.0025,0.0045,-3526.7823764451555,2822,48.9,0.6422242898867014
XLMUSDT,dual,0.004,0.0015,-5796.439044934417,2748,42.14,0.47207446731190605
XLMUSDT,dual,0.004,0.0045,-5059.84047984955,2754,42.08,0.5409707931010955
XLMUSDT,dual,0.005,0.0015,-5784.97134016327,2722,38.24,0.505471738304577
XLMUSDT,dual,0.005,0.0045,-5598.807998970676,2725,38.24,0.5218183922772904
LINKUSDT,std,0.0025,0.0015,-9080.454945873778,3787,26.43,0.6080999737909131
LINKUSDT,std,0.0025,0.0045,-9080.454945873778,3787,26.43,0.6080999737909131
LINKUSDT,std,0.004,0.0015,-9080.454945873778,3787,26.43,0.6080999737909131
LINKUSDT,std,0.004,0.0045,-9080.454945873778,3787,26.43,0.6080999737909131
LINKUSDT,std,0.005,0.0015,-9080.454945873778,3787,26.43,0.6080999737909131
LINKUSDT,std,0.005,0.0045,-9080.454945873778,3787,26.43,0.6080999737909131
LINKUSDT,dual,0.0025,0.0015,-7747.359618213024,3982,55.4,0.4144835221253449
LINKUSDT,dual,0.0025,0.0045,-4662.365972048237,3997,55.42,0.6491173108457695
LINKUSDT,dual,0.004,0.0015,-7836.942273430363,3889,47.85,0.48989808659091166
LINKUSDT,dual,0.004,0.0045,-6971.165452807757,3897,47.83,0.5475770036599714
LINKUSDT,dual,0.005,0.0015,-8150.944073040465,3863,43.62,0.5108928821352168
LINKUSDT,dual,0.005,0.0045,-7940.965940912269,3868,43.61,0.5241073672761332
GRAMUSDT,std,0.0025,0.0015,-3259.3835030383543,1107,22.49,0.45133832034549304
GRAMUSDT,std,0.0025,0.0045,-3259.3835030383543,1107,22.49,0.45133832034549304
GRAMUSDT,std,0.004,0.0015,-3259.3835030383543,1107,22.49,0.45133832034549304
GRAMUSDT,std,0.004,0.0045,-3259.3835030383543,1107,22.49,0.45133832034549304
GRAMUSDT,std,0.005,0.0015,-3259.3835030383543,1107,22.49,0.45133832034549304
GRAMUSDT,std,0.005,0.0045,-3259.3835030383543,1107,22.49,0.45133832034549304
GRAMUSDT,dual,0.0025,0.0015,-2599.3419480534385,1147,48.56,0.31026861633978986
GRAMUSDT,dual,0.0025,0.0045,-1708.4933411130692,1153,48.74,0.5477096041616933
GRAMUSDT,dual,0.004,0.0015,-2499.8452306091144,1121,41.03,0.41353973490822526
GRAMUSDT,dual,0.004,0.0045,-2245.116767128765,1124,41.19,0.47278597087578444
