symbol,NOVA_EXIT,NOVA_TRIGGER,net,trades,win_pct,pf
GRAMUSDT,std,MSS,39.154342227294464,1,100.0,inf
GRAMUSDT,std,FVG,-764.5548443236238,162,30.86,0.7522388740162717
GRAMUSDT,std,SFP,-11.562228820981849,41,31.71,0.9834164963733326
GRAMUSDT,std,MicroBurst,-875.6739004024314,118,27.12,0.5933472368375855
GRAMUSDT,std,RSI,-146.8090393328031,46,34.78,0.8526691517491113
GRAMUSDT,std,MACD,-118.13372265409228,98,31.63,0.9330931738472134
GRAMUSDT,std,Bollinger,-528.6781886371053,194,28.87,0.833769916670333
GRAMUSDT,std,EMA,112.25841559165147,61,31.15,1.1144520194024568
GRAMUSDT,std,ADX,-513.1875569505405,62,20.97,0.5358998831843675
GRAMUSDT,std,Stochastic,-579.622727627981,97,24.74,0.6815560537614548
GRAMUSDT,std,OBV,-406.09299858001737,143,29.37,0.8351654264892039
GRAMUSDT,std,SuperTrend,0.0,0,0.0,0.0
GRAMUSDT,std,RSI7,-165.06726478566003,47,29.79,0.814272480798226
GRAMUSDT,std,KAMA,-664.6019442268843,74,22.97,0.5426974584699794
GRAMUSDT,std,ELITE8,-820.5491804374178,392,30.36,0.8771746984152202
GRAMUSDT,std,ALL14,-1706.8976104840597,615,30.89,0.8401564965933359
GRAMUSDT,dual,MSS,9.609422820291226,1,100.0,inf
GRAMUSDT,dual,FVG,477.9313492369598,244,84.02,1.551814309480488
GRAMUSDT,dual,SFP,14.995797663410398,48,79.17,1.071228351319149
GRAMUSDT,dual,MicroBurst,636.1882637313496,156,83.97,2.376973537172709
GRAMUSDT,dual,RSI,326.19027623133474,54,90.74,3.4847706537823497
GRAMUSDT,dual,MACD,322.6505538172841,128,86.72,1.850018379984102
GRAMUSDT,dual,Bollinger,163.22065446896653,255,80.0,1.1588109437651515
GRAMUSDT,dual,EMA,163.5246383448761,79,84.81,1.6436910682228225
GRAMUSDT,dual,ADX,-114.82321974690328,69,69.57,0.7298864822046118
GRAMUSDT,dual,Stochastic,-202.55127271443436,117,75.21,0.7027996657514384
GRAMUSDT,dual,OBV,-93.6087483551066,183,76.5,0.896145121616723
GRAMUSDT,dual,SuperTrend,0.0,0,0.0,0.0
GRAMUSDT,dual,RSI7,199.16083371362157,55,87.27,2.234956145928696
GRAMUSDT,dual,KAMA,80.55269005548796,92,82.61,1.2578389378769559
GRAMUSDT,dual,ELITE8,-80.32776125278686,500,78.0,0.9663448218065602
GRAMUSDT,dual,ALL14,458.78120344013894,729,79.56,1.1416625276647356
