symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
GRAMUSDT,F_213,2025-01-01T15:00:00+00:00,2025-01-01T16:00:00+00:00,5.458086,5.47552,1000,3.1941,,stop,1
GRAMUSDT,F_213,2025-01-02T01:00:00+00:00,2025-01-02T02:00:00+00:00,5.569231,5.58702,1000,3.1941,,stop,1
GRAMUSDT,F_213,2025-01-02T10:00:00+00:00,2025-01-02T13:00:00+00:00,5.709413,5.6288,1000,-14.1193,,stop,3
GRAMUSDT,F_213,2025-01-03T12:00:00+00:00,2025-01-03T13:00:00+00:00,5.682378,5.700528,1000,3.1941,,stop,1
GRAMUSDT,F_213,2025-01-04T13:00:00+00:00,2025-01-04T15:00:00+00:00,5.809543,5.724805,1000,-14.5859,,stop,2
GRAMUSDT,F_213,2025-01-06T03:00:00+00:00,2025-01-06T04:00:00+00:00,5.744458,5.762807,1000,3.1941,,stop,1
GRAMUSDT,F_213,2025-01-06T12:00:00+00:00,2025-01-06T15:00:00+00:00,5.718424,5.73669,1000,3.1941,,stop,3
GRAMUSDT,F_213,2025-01-09T16:00:00+00:00,2025-01-09T20:00:00+00:00,5.272846,5.132879,1000,-26.5449,,stop,4
GRAMUSDT,F_213,2025-01-10T18:00:00+00:00,2025-01-10T20:00:00+00:00,5.319907,5.336899,1000,3.1941,,stop,2
GRAMUSDT,F_213,2025-01-11T13:00:00+00:00,2025-01-11T15:00:00+00:00,5.42204,5.439358,1000,3.1942,,stop,2
GRAMUSDT,F_213,2025-01-11T17:00:00+00:00,2025-01-12T05:00:00+00:00,5.46109,5.379231,1000,-14.9895,,stop,12
GRAMUSDT,F_213,2025-01-12T12:00:00+00:00,2025-01-12T13:00:00+00:00,5.38399,5.401187,1000,3.1942,,stop,1
GRAMUSDT,F_213,2025-01-12T16:00:00+00:00,2025-01-12T22:00:00+00:00,5.394003,5.302672,1000,-16.932,,stop,6
GRAMUSDT,F_213,2025-01-13T13:00:00+00:00,2025-01-13T14:00:00+00:00,5.095616,5.156155,1000,11.8806,,stop,1
GRAMUSDT,F_213,2025-01-14T14:00:00+00:00,2025-01-14T15:00:00+00:00,5.351948,5.369043,1000,3.1941,,stop,1
GRAMUSDT,F_213,2025-01-15T09:00:00+00:00,2025-01-15T10:00:00+00:00,5.421038,5.438354,1000,3.1941,,stop,1
GRAMUSDT,F_213,2025-01-15T14:00:00+00:00,2025-01-15T16:00:00+00:00,5.419036,5.436345,1000,3.1942,,stop,2
GRAMUSDT,F_213,2025-01-15T17:00:00+00:00,2025-01-15T20:00:00+00:00,5.434055,5.45595,1000,4.0292,,stop,3
GRAMUSDT,F_213,2025-01-16T13:00:00+00:00,2025-01-16T14:00:00+00:00,5.580245,5.468127,1000,-20.0919,,stop,1
