symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
XLMUSDT,F_213,2025-01-01T16:00:00+00:00,2025-01-01T17:00:00+00:00,0.386001,0.406744,1000,53.739,,stop,1
XLMUSDT,F_213,2025-01-01T19:00:00+00:00,2025-01-01T20:00:00+00:00,0.424051,0.436382,1000,29.0804,,stop,1
XLMUSDT,F_213,2025-01-01T21:00:00+00:00,2025-01-01T22:00:00+00:00,0.428056,0.429978,1000,4.4895,,stop,1
XLMUSDT,F_213,2025-01-02T18:00:00+00:00,2025-01-02T19:00:00+00:00,0.443676,0.445093,1000,3.1942,,stop,1
XLMUSDT,F_213,2025-01-03T00:00:00+00:00,2025-01-03T01:00:00+00:00,0.432662,0.444166,1000,26.589,,stop,1
XLMUSDT,F_213,2025-01-03T03:00:00+00:00,2025-01-03T04:00:00+00:00,0.453689,0.457637,1000,8.7028,,stop,1
XLMUSDT,F_213,2025-01-04T01:00:00+00:00,2025-01-04T02:00:00+00:00,0.453989,0.472307,1000,40.3471,,stop,1
XLMUSDT,F_213,2025-01-04T03:00:00+00:00,2025-01-04T04:00:00+00:00,0.475718,0.477237,1000,3.1941,,stop,1
XLMUSDT,F_213,2025-01-04T19:00:00+00:00,2025-01-04T21:00:00+00:00,0.451286,0.452727,1000,3.1942,,stop,2
XLMUSDT,F_213,2025-01-05T03:00:00+00:00,2025-01-05T05:00:00+00:00,0.44698,0.449214,1000,4.997,,stop,2
XLMUSDT,F_213,2025-01-05T07:00:00+00:00,2025-01-05T08:00:00+00:00,0.448783,0.45041,1000,3.6259,,stop,1
XLMUSDT,F_213,2025-01-05T11:00:00+00:00,2025-01-05T12:00:00+00:00,0.437368,0.438765,1000,3.1941,,stop,1
XLMUSDT,F_213,2025-01-05T14:00:00+00:00,2025-01-05T15:00:00+00:00,0.439671,0.441938,1000,5.1564,,stop,1
XLMUSDT,F_213,2025-01-05T18:00:00+00:00,2025-01-05T19:00:00+00:00,0.437268,0.441172,1000,8.9289,,stop,1
XLMUSDT,F_213,2025-01-05T23:00:00+00:00,2025-01-06T00:00:00+00:00,0.442274,0.443687,1000,3.1941,,stop,1
XLMUSDT,F_213,2025-01-06T02:00:00+00:00,2025-01-06T03:00:00+00:00,0.449183,0.453147,1000,8.8242,,stop,1
XLMUSDT,F_213,2025-01-06T05:00:00+00:00,2025-01-06T12:00:00+00:00,0.450785,0.452403,1000,3.5894,,stop,7
XLMUSDT,F_213,2025-01-06T11:00:00+00:00,2025-01-06T12:00:00+00:00,0.450585,0.452403,1000,4.0354,,stop,1
XLMUSDT,F_213,2025-01-06T15:00:00+00:00,2025-01-06T16:00:00+00:00,0.459597,0.462171,1000,5.6012,,stop,1
XLMUSDT,F_213,2025-01-06T23:00:00+00:00,2025-01-07T06:00:00+00:00,0.447381,0.44881,1000,3.1941,,stop,7
XLMUSDT,F_213,2025-01-07T04:00:00+00:00,2025-01-07T05:00:00+00:00,0.442875,0.44429,1000,3.1941,,stop,1
XLMUSDT,F_213,2025-01-07T06:00:00+00:00,2025-01-07T07:00:00+00:00,0.450285,0.458735,1000,18.767,,stop,1
XLMUSDT,F_213,2025-01-07T09:00:00+00:00,2025-01-07T11:00:00+00:00,0.460498,0.461969,1000,3.1941,,stop,2
XLMUSDT,F_213,2025-01-07T15:00:00+00:00,2025-01-07T15:00:00+00:00,0.453889,0.436236,1000,-38.894,,stop,0
XLMUSDT,F_213,2025-01-07T17:00:00+00:00,2025-01-07T18:00:00+00:00,0.433162,0.434546,1000,3.1941,,stop,1
XLMUSDT,F_213,2025-01-07T19:00:00+00:00,2025-01-07T20:00:00+00:00,0.424952,0.426309,1000,3.1942,,stop,1
XLMUSDT,F_213,2025-01-07T21:00:00+00:00,2025-01-07T22:00:00+00:00,0.420446,0.425405,1000,11.7954,,stop,1
XLMUSDT,F_213,2025-01-07T23:00:00+00:00,2025-01-08T01:00:00+00:00,0.425853,0.431991,1000,14.4145,,stop,2
XLMUSDT,F_213,2025-01-08T05:00:00+00:00,2025-01-08T06:00:00+00:00,0.426954,0.432391,1000,12.7325,,stop,1
XLMUSDT,F_213,2025-01-08T09:00:00+00:00,2025-01-08T10:00:00+00:00,0.429858,0.431231,1000,3.1942,,stop,1
XLMUSDT,F_213,2025-01-08T11:00:00+00:00,2025-01-08T13:00:00+00:00,0.430859,0.437779,1000,16.0605,,stop,2
