symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
FILUSDT,measure,2025-01-03T16:00:00+00:00,2025-01-03 20:00:00+00:00,5.644328,5.740925,1000,17.1139,,stop,1
FILUSDT,measure,2025-01-05T16:00:00+00:00,2025-01-05 20:00:00+00:00,5.631311,5.836723,1000,36.4768,,stop,1
FILUSDT,measure,2025-01-06T00:00:00+00:00,2025-01-06 04:00:00+00:00,5.920687,6.290768,1000,62.5065,,stop,1
FILUSDT,measure,2025-01-06T08:00:00+00:00,2025-01-06 12:00:00+00:00,6.11594,6.135476,1000,3.1941,,stop,1
FILUSDT,measure,2025-01-07T12:00:00+00:00,2025-01-07 12:00:00+00:00,5.990778,5.609761,1000,-63.6005,,stop,0
FILUSDT,measure,2025-01-08T08:00:00+00:00,2025-01-08 12:00:00+00:00,5.250817,5.326796,1000,14.4699,,stop,1
FILUSDT,measure,2025-01-09T00:00:00+00:00,2025-01-09 04:00:00+00:00,5.117644,5.180104,1000,12.2048,,stop,1
FILUSDT,measure,2025-01-09T12:00:00+00:00,2025-01-09 16:00:00+00:00,5.103626,5.179106,1000,14.7895,,stop,1
FILUSDT,measure,2025-01-10T12:00:00+00:00,2025-01-10 16:00:00+00:00,5.177722,5.207771,1000,5.8035,,stop,1
FILUSDT,measure,2025-01-12T00:00:00+00:00,2025-01-12 04:00:00+00:00,5.209764,5.226405,1000,3.1942,,stop,1
FILUSDT,measure,2025-01-13T16:00:00+00:00,2025-01-13 20:00:00+00:00,4.866318,4.881862,1000,3.1941,,stop,1
FILUSDT,measure,2025-01-14T00:00:00+00:00,2025-01-14 04:00:00+00:00,4.927397,4.984516,1000,11.592,,stop,1
FILUSDT,measure,2025-01-14T08:00:00+00:00,2025-01-14 12:00:00+00:00,5.004497,5.128213,1000,24.721,,stop,1
FILUSDT,measure,2025-01-15T16:00:00+00:00,2025-01-15 20:00:00+00:00,5.50715,5.58625,1000,14.3632,,stop,1
FILUSDT,measure,2025-01-16T00:00:00+00:00,2025-01-16 04:00:00+00:00,5.66135,5.679433,1000,3.1941,,stop,1
FILUSDT,measure,2025-01-16T20:00:00+00:00,2025-01-17 04:00:00+00:00,5.76148,5.807784,1000,8.0368,,stop,2
FILUSDT,measure,2025-01-18T12:00:00+00:00,2025-01-18 16:00:00+00:00,5.486123,5.556313,1000,12.7942,,stop,1
FILUSDT,measure,2025-01-19T00:00:00+00:00,2025-01-19 04:00:00+00:00,5.45308,5.603214,1000,27.5321,,stop,1
FILUSDT,measure,2025-01-19T16:00:00+00:00,2025-01-19 20:00:00+00:00,5.41503,5.436016,1000,3.8754,,stop,1
FILUSDT,measure,2025-01-20T04:00:00+00:00,2025-01-20 08:00:00+00:00,5.034536,5.468498,1000,86.1969,,stop,1
FILUSDT,measure,2025-01-20T12:00:00+00:00,2025-01-21 20:00:00+00:00,5.312898,5.331362,1000,3.4754,,stop,8
FILUSDT,measure,2025-01-21T16:00:00+00:00,2025-01-21 20:00:00+00:00,5.141676,5.337773,1000,38.1388,,stop,1
