symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ETHUSDT,F_213_slip,2025-01-02T02:00:00+00:00,2025-01-02T05:00:00+00:00,3397.46572,3407.00218,1000,2.8069,,stop,3
ETHUSDT,F_213_slip,2025-01-02T06:00:00+00:00,2025-01-02T09:00:00+00:00,3426.0496,3427.700956,1000,0.482,,stop,3
ETHUSDT,F_213_slip,2025-01-02T10:00:00+00:00,2025-01-02T15:00:00+00:00,3481.81176,3488.95814,1000,2.0525,,stop,5
ETHUSDT,F_213_slip,2025-01-03T13:00:00+00:00,2025-01-03T14:00:00+00:00,3477.68532,3479.361564,1000,0.482,,stop,1
ETHUSDT,F_213_slip,2025-01-03T15:00:00+00:00,2025-01-03T16:00:00+00:00,3541.29876,3554.572608,1000,3.7483,,stop,1
ETHUSDT,F_213_slip,2025-01-03T20:00:00+00:00,2025-01-04T01:00:00+00:00,3637.31128,3566.775452,1000,-19.3923,,stop,5
ETHUSDT,F_213_slip,2025-01-04T13:00:00+00:00,2025-01-04T15:00:00+00:00,3650.07212,3599.82926,1000,-13.7649,,stop,2
ETHUSDT,F_213_slip,2025-01-04T22:00:00+00:00,2025-01-05T08:00:00+00:00,3672.75248,3607.130299,1000,-17.8673,,stop,10
ETHUSDT,F_213_slip,2025-01-06T16:00:00+00:00,2025-01-06T17:00:00+00:00,3729.3078,3731.105326,1000,0.482,,stop,1
ETHUSDT,F_213_slip,2025-01-08T23:00:00+00:00,2025-01-09T02:00:00+00:00,3346.46252,3348.075515,1000,0.482,,stop,3
ETHUSDT,F_213_slip,2025-01-09T17:00:00+00:00,2025-01-09T19:00:00+00:00,3315.961,3220.090339,1000,-28.9119,,stop,2
ETHUSDT,F_213_slip,2025-01-10T09:00:00+00:00,2025-01-10T11:00:00+00:00,3309.49524,3311.090417,1000,0.482,,stop,2
ETHUSDT,F_213_slip,2025-01-10T19:00:00+00:00,2025-01-11T08:00:00+00:00,3299.81668,3204.750482,1000,-28.8095,,stop,13
ETHUSDT,F_213_slip,2025-01-11T11:00:00+00:00,2025-01-11T12:00:00+00:00,3269.11436,3270.690073,1000,0.482,,stop,1
ETHUSDT,F_213_slip,2025-01-11T22:00:00+00:00,2025-01-11T23:00:00+00:00,3320.3284,3270.323144,1000,-15.0603,,stop,1
ETHUSDT,F_213_slip,2025-01-12T13:00:00+00:00,2025-01-12T15:00:00+00:00,3263.6024,3265.175456,1000,0.482,,stop,2
ETHUSDT,F_213_slip,2025-01-13T22:00:00+00:00,2025-01-13T23:00:00+00:00,3126.84756,3128.354701,1000,0.482,,stop,1
ETHUSDT,F_213_slip,2025-01-14T11:00:00+00:00,2025-01-14T12:00:00+00:00,3248.25124,3178.137635,1000,-21.585,,stop,1
ETHUSDT,F_213_slip,2025-01-14T19:00:00+00:00,2025-01-15T05:00:00+00:00,3237.9,3239.460668,1000,0.482,,stop,10
ETHUSDT,F_213_slip,2025-01-15T15:00:00+00:00,2025-01-15T16:00:00+00:00,3342.80796,3344.419193,1000,0.482,,stop,1
ETHUSDT,F_213_slip,2025-01-15T20:00:00+00:00,2025-01-15T21:00:00+00:00,3448.72996,3452.93529,1000,1.2194,,stop,1
ETHUSDT,F_213_slip,2025-01-16T08:00:00+00:00,2025-01-16T08:00:00+00:00,3397.8372,3318.568188,1000,-23.3293,,stop,0
ETHUSDT,F_213_slip,2025-01-17T02:00:00+00:00,2025-01-17T09:00:00+00:00,3399.8452,3401.483925,1000,0.482,,stop,7
ETHUSDT,F_213_slip,2025-01-17T10:00:00+00:00,2025-01-17T11:00:00+00:00,3417.73648,3419.383829,1000,0.482,,stop,1
ETHUSDT,F_213_slip,2025-01-17T12:00:00+00:00,2025-01-17T16:00:00+00:00,3436.943,3438.599607,1000,0.482,,stop,4
ETHUSDT,F_213_slip,2025-01-17T22:00:00+00:00,2025-01-18T03:00:00+00:00,3487.47432,3399.534428,1000,-25.2159,,stop,5
ETHUSDT,F_213_slip,2025-01-19T01:00:00+00:00,2025-01-19T02:00:00+00:00,3329.5652,3349.784307,1000,6.0726,,stop,1
ETHUSDT,F_213_slip,2025-01-19T03:00:00+00:00,2025-01-19T04:00:00+00:00,3366.8136,3278.642077,1000,-26.1884,,stop,1
ETHUSDT,F_213_slip,2025-01-19T14:00:00+00:00,2025-01-19T15:00:00+00:00,3290.09796,3381.401913,1000,27.7511,,stop,1
ETHUSDT,F_213_slip,2025-01-20T04:00:00+00:00,2025-01-20T05:00:00+00:00,3285.3892,3286.972758,1000,0.482,,stop,1
ETHUSDT,F_213_slip,2025-01-20T08:00:00+00:00,2025-01-20T09:00:00+00:00,3396.11032,3397.747245,1000,0.482,,stop,1
ETHUSDT,F_213_slip,2025-01-21T11:00:00+00:00,2025-01-21T13:00:00+00:00,3316.30236,3317.900818,1000,0.482,,stop,2
ETHUSDT,F_213_slip,2025-01-21T18:00:00+00:00,2025-01-22T07:00:00+00:00,3364.404,3275.287378,1000,-26.4881,,stop,13
ETHUSDT,F_213_slip,2025-01-22T12:00:00+00:00,2025-01-22T13:00:00+00:00,3339.8562,3277.129324,1000,-18.7813,,stop,1
ETHUSDT,F_213_slip,2025-01-23T15:00:00+00:00,2025-01-23T17:00:00+00:00,3288.6522,3290.23733,1000,0.482,,stop,2
ETHUSDT,F_213_slip,2025-01-24T00:00:00+00:00,2025-01-24T06:00:00+00:00,3351.57288,3393.63296,1000,12.5494,,stop,6
ETHUSDT,F_213_slip,2025-01-25T17:00:00+00:00,2025-01-25T23:00:00+00:00,3355.64912,3303.218895,1000,-15.6245,,stop,6
ETHUSDT,F_213_slip,2025-01-26T05:00:00+00:00,2025-01-26T08:00:00+00:00,3365.67908,3316.862632,1000,-14.5042,,stop,3
ETHUSDT,F_213_slip,2025-01-26T19:00:00+00:00,2025-01-26T21:00:00+00:00,3350.51868,3305.25172,1000,-13.5104,,stop,2
ETHUSDT,F_213_slip,2025-01-27T14:00:00+00:00,2025-01-27T15:00:00+00:00,3111.72732,3131.516341,1000,6.3595,,stop,1
ETHUSDT,F_213_slip,2025-01-27T22:00:00+00:00,2025-01-27T23:00:00+00:00,3171.89704,3173.425894,1000,0.482,,stop,1
ETHUSDT,F_213_slip,2025-01-29T02:00:00+00:00,2025-01-29T04:00:00+00:00,3123.22312,3124.728514,1000,0.482,,stop,2
ETHUSDT,F_213_slip,2025-01-29T08:00:00+00:00,2025-01-29T13:00:00+00:00,3169.50752,3090.080416,1000,-25.0598,,stop,5
ETHUSDT,F_213_slip,2025-01-30T03:00:00+00:00,2025-01-30T04:00:00+00:00,3167.98144,3187.217864,1000,6.0721,,stop,1
ETHUSDT,F_213_slip,2025-01-30T05:00:00+00:00,2025-01-30T10:00:00+00:00,3209.61732,3211.164356,1000,0.482,,stop,5
ETHUSDT,F_213_slip,2025-01-30T15:00:00+00:00,2025-01-31T03:00:00+00:00,3284.31492,3214.557906,1000,-21.2394,,stop,12
ETHUSDT,F_213_slip,2025-01-31T07:00:00+00:00,2025-01-31T12:00:00+00:00,3275.99176,3322.535643,1000,14.2076,,stop,5
ETHUSDT,F_213_slip,2025-01-31T13:00:00+00:00,2025-01-31T15:00:00+00:00,3364.1028,3365.724298,1000,0.482,,stop,2
ETHUSDT,F_213_slip,2025-01-31T17:00:00+00:00,2025-01-31T18:00:00+00:00,3416.7124,3329.283213,1000,-25.5887,,stop,1
ETHUSDT,F_213_slip,2025-02-01T02:00:00+00:00,2025-02-01T09:00:00+00:00,3326.37248,3226.666836,1000,-29.9743,,stop,7
ETHUSDT,F_213_slip,2025-02-02T02:00:00+00:00,2025-02-02T03:00:00+00:00,3165.11,3085.11996,1000,-25.2724,,stop,1
ETHUSDT,F_213_slip,2025-02-02T15:00:00+00:00,2025-02-02T16:00:00+00:00,3099.42832,3021.459658,1000,-25.1558,,stop,1
ETHUSDT,F_213_slip,2025-02-03T16:00:00+00:00,2025-02-03T17:00:00+00:00,2711.53292,2717.518471,1000,2.2074,,stop,1
ETHUSDT,F_213_slip,2025-02-03T20:00:00+00:00,2025-02-03T22:00:00+00:00,2775.26684,2806.463072,1000,11.2408,,stop,2
ETHUSDT,F_213_slip,2025-02-03T23:00:00+00:00,2025-02-04T00:00:00+00:00,2881.48,2882.868873,1000,0.482,,stop,1
ETHUSDT,F_213_slip,2025-02-04T12:00:00+00:00,2025-02-04T13:00:00+00:00,2769.02196,2807.468227,1000,13.8844,,stop,1
ETHUSDT,F_213_slip,2025-02-04T14:00:00+00:00,2025-02-04T15:00:00+00:00,2807.05348,2832.646868,1000,9.1175,,stop,1
ETHUSDT,F_213_slip,2025-02-05T01:00:00+00:00,2025-02-05T02:00:00+00:00,2740.3176,2754.503513,1000,5.1767,,stop,1
ETHUSDT,F_213_slip,2025-02-05T07:00:00+00:00,2025-02-05T08:00:00+00:00,2755.69888,2758.183338,1000,0.9016,,stop,1
ETHUSDT,F_213_slip,2025-02-06T06:00:00+00:00,2025-02-06T07:00:00+00:00,2843.48864,2844.859202,1000,0.482,,stop,1
ETHUSDT,F_213_slip,2025-02-08T01:00:00+00:00,2025-02-09T04:00:00+00:00,2657.26672,2685.953916,1000,10.7958,,stop,27
ETHUSDT,F_213_slip,2025-02-09T05:00:00+00:00,2025-02-09T13:00:00+00:00,2683.53136,2625.3606,1000,-21.6769,,stop,8
