symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
GRAMUSDT,F_213_slip,2025-01-01T15:00:00+00:00,2025-01-01T19:00:00+00:00,5.472804,5.48096,1000,1.4903,,stop,4
GRAMUSDT,F_213_slip,2025-01-02T01:00:00+00:00,2025-01-02T04:00:00+00:00,5.584248,5.58694,1000,0.482,,stop,3
GRAMUSDT,F_213_slip,2025-01-02T10:00:00+00:00,2025-01-02T13:00:00+00:00,5.724808,5.628916,1000,-16.7502,,stop,3
GRAMUSDT,F_213_slip,2025-01-03T12:00:00+00:00,2025-01-03T14:00:00+00:00,5.6977,5.700446,1000,0.482,,stop,2
GRAMUSDT,F_213_slip,2025-01-04T13:00:00+00:00,2025-01-04T15:00:00+00:00,5.825208,5.724931,1000,-17.2144,,stop,2
GRAMUSDT,F_213_slip,2025-01-06T03:00:00+00:00,2025-01-06T08:00:00+00:00,5.759948,5.653813,1000,-18.4263,,stop,5
GRAMUSDT,F_213_slip,2025-01-06T12:00:00+00:00,2025-01-06T16:00:00+00:00,5.733844,5.736608,1000,0.482,,stop,4
GRAMUSDT,F_213_slip,2025-01-09T16:00:00+00:00,2025-01-09T19:00:00+00:00,5.287064,5.133163,1000,-29.1089,,stop,3
GRAMUSDT,F_213_slip,2025-01-10T18:00:00+00:00,2025-01-10T20:00:00+00:00,5.334252,5.336823,1000,0.482,,stop,2
GRAMUSDT,F_213_slip,2025-01-11T13:00:00+00:00,2025-01-11T16:00:00+00:00,5.43666,5.43928,1000,0.482,,stop,3
GRAMUSDT,F_213_slip,2025-01-11T17:00:00+00:00,2025-01-11T20:00:00+00:00,5.475816,5.379355,1000,-17.6158,,stop,3
GRAMUSDT,F_213_slip,2025-01-12T12:00:00+00:00,2025-01-12T14:00:00+00:00,5.398508,5.313455,1000,-15.755,,stop,2
GRAMUSDT,F_213_slip,2025-01-12T16:00:00+00:00,2025-01-12T21:00:00+00:00,5.408548,5.302823,1000,-19.5478,,stop,5
GRAMUSDT,F_213_slip,2025-01-13T13:00:00+00:00,2025-01-13T14:00:00+00:00,5.109356,5.142215,1000,6.4311,,stop,1
GRAMUSDT,F_213_slip,2025-01-14T14:00:00+00:00,2025-01-14T15:00:00+00:00,5.36638,5.368967,1000,0.482,,stop,1
GRAMUSDT,F_213_slip,2025-01-15T09:00:00+00:00,2025-01-15T10:00:00+00:00,5.435656,5.344905,1000,-16.6955,,stop,1
GRAMUSDT,F_213_slip,2025-01-15T14:00:00+00:00,2025-01-15T16:00:00+00:00,5.433648,5.436267,1000,0.482,,stop,2
GRAMUSDT,F_213_slip,2025-01-15T17:00:00+00:00,2025-01-15T20:00:00+00:00,5.448708,5.451334,1000,0.482,,stop,3
GRAMUSDT,F_213_slip,2025-01-16T13:00:00+00:00,2025-01-16T14:00:00+00:00,5.595292,5.468331,1000,-22.6907,,stop,1
GRAMUSDT,F_213_slip,2025-01-17T09:00:00+00:00,2025-01-17T11:00:00+00:00,5.593284,5.59598,1000,0.482,,stop,2
GRAMUSDT,F_213_slip,2025-01-18T09:00:00+00:00,2025-01-18T16:00:00+00:00,5.380436,5.216059,1000,-30.5508,,stop,7
GRAMUSDT,F_213_slip,2025-01-19T15:00:00+00:00,2025-01-19T16:00:00+00:00,5.161564,5.164052,1000,0.482,,stop,1
GRAMUSDT,F_213_slip,2025-01-20T08:00:00+00:00,2025-01-20T09:00:00+00:00,5.187668,5.219841,1000,6.2018,,stop,1
GRAMUSDT,F_213_slip,2025-01-21T14:00:00+00:00,2025-01-21T15:00:00+00:00,5.204736,5.24273,1000,7.3,,stop,1
GRAMUSDT,F_213_slip,2025-01-22T13:00:00+00:00,2025-01-22T15:00:00+00:00,5.273008,5.27555,1000,0.482,,stop,2
GRAMUSDT,F_213_slip,2025-01-23T15:00:00+00:00,2025-01-23T17:00:00+00:00,5.191684,5.194186,1000,0.482,,stop,2
GRAMUSDT,F_213_slip,2025-01-23T21:00:00+00:00,2025-01-23T23:00:00+00:00,5.109356,5.111819,1000,0.482,,stop,2
GRAMUSDT,F_213_slip,2025-01-27T08:00:00+00:00,2025-01-27T10:00:00+00:00,4.815184,4.85062,1000,7.3593,,stop,2
GRAMUSDT,F_213_slip,2025-01-27T15:00:00+00:00,2025-01-27T22:00:00+00:00,4.995904,4.998312,1000,0.482,,stop,7
GRAMUSDT,F_213_slip,2025-01-28T23:00:00+00:00,2025-01-29T01:00:00+00:00,4.8192,4.85062,1000,6.5198,,stop,2
GRAMUSDT,F_213_slip,2025-01-29T21:00:00+00:00,2025-01-30T04:00:00+00:00,4.887472,4.889828,1000,0.482,,stop,7
GRAMUSDT,F_213_slip,2025-01-30T14:00:00+00:00,2025-01-31T10:00:00+00:00,4.84932,4.864675,1000,3.1665,,stop,20
GRAMUSDT,F_213_slip,2025-02-02T16:00:00+00:00,2025-02-02T16:00:00+00:00,4.67864,4.527315,1000,-32.3438,,stop,0
GRAMUSDT,F_213_slip,2025-02-03T04:00:00+00:00,2025-02-03T05:00:00+00:00,3.516008,3.559842,1000,12.4669,,stop,1
GRAMUSDT,F_213_slip,2025-02-07T14:00:00+00:00,2025-02-07T15:00:00+00:00,3.844316,3.846169,1000,0.482,,stop,1
GRAMUSDT,F_213_slip,2025-02-08T18:00:00+00:00,2025-02-09T04:00:00+00:00,3.793112,3.798105,1000,1.3162,,stop,10
GRAMUSDT,F_213_slip,2025-02-09T11:00:00+00:00,2025-02-09T13:00:00+00:00,3.829256,3.75176,1000,-20.2378,,stop,2
GRAMUSDT,F_213_slip,2025-02-09T16:00:00+00:00,2025-02-09T18:00:00+00:00,3.836284,3.838133,1000,0.482,,stop,2
GRAMUSDT,F_213_slip,2025-02-10T00:00:00+00:00,2025-02-10T01:00:00+00:00,3.827248,3.829093,1000,0.482,,stop,1
GRAMUSDT,F_213_slip,2025-02-11T06:00:00+00:00,2025-02-11T07:00:00+00:00,3.877448,3.879317,1000,0.482,,stop,1
GRAMUSDT,F_213_slip,2025-02-12T15:00:00+00:00,2025-02-12T17:00:00+00:00,3.70476,3.706546,1000,0.482,,stop,2
GRAMUSDT,F_213_slip,2025-02-13T14:00:00+00:00,2025-02-13T16:00:00+00:00,3.700744,3.74495,1000,11.9451,,stop,2
GRAMUSDT,F_213_slip,2025-02-14T15:00:00+00:00,2025-02-14T15:00:00+00:00,3.863392,3.782202,1000,-21.0151,,stop,0
GRAMUSDT,F_213_slip,2025-02-14T18:00:00+00:00,2025-02-14T22:00:00+00:00,3.897528,3.807238,1000,-23.166,,stop,4
GRAMUSDT,F_213_slip,2025-02-15T20:00:00+00:00,2025-02-16T01:00:00+00:00,3.804156,3.80599,1000,0.482,,stop,5
GRAMUSDT,F_213_slip,2025-02-16T07:00:00+00:00,2025-02-16T12:00:00+00:00,3.817208,3.819048,1000,0.482,,stop,5
GRAMUSDT,F_213_slip,2025-02-17T09:00:00+00:00,2025-02-17T10:00:00+00:00,3.813192,3.81503,1000,0.482,,stop,1
