symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
RENDERUSDT,F_213_slip,2025-01-01T14:00:00+00:00,2025-01-01T15:00:00+00:00,6.804108,6.807388,1000,0.482,,stop,1
RENDERUSDT,F_213_slip,2025-01-01T16:00:00+00:00,2025-01-01T19:00:00+00:00,6.9527,7.025139,1000,10.4189,,stop,3
RENDERUSDT,F_213_slip,2025-01-01T19:00:00+00:00,2025-01-01T20:00:00+00:00,7.074184,7.084295,1000,1.4293,,stop,1
RENDERUSDT,F_213_slip,2025-01-01T22:00:00+00:00,2025-01-02T01:00:00+00:00,7.259924,7.297825,1000,5.2206,,stop,3
RENDERUSDT,F_213_slip,2025-01-02T05:00:00+00:00,2025-01-02T09:00:00+00:00,7.452692,7.572501,1000,16.076,,stop,4
RENDERUSDT,F_213_slip,2025-01-02T10:00:00+00:00,2025-01-02T11:00:00+00:00,7.7559,7.846182,1000,11.6404,,stop,1
RENDERUSDT,F_213_slip,2025-01-02T13:00:00+00:00,2025-01-02T21:00:00+00:00,7.74586,7.749594,1000,0.482,,stop,8
RENDERUSDT,F_213_slip,2025-01-03T06:00:00+00:00,2025-01-03T07:00:00+00:00,7.641444,7.645127,1000,0.482,,stop,1
RENDERUSDT,F_213_slip,2025-01-03T09:00:00+00:00,2025-01-03T10:00:00+00:00,7.567148,7.643161,1000,10.0451,,stop,1
RENDERUSDT,F_213_slip,2025-01-03T11:00:00+00:00,2025-01-03T12:00:00+00:00,7.709716,7.83822,1000,16.6679,,stop,1
RENDERUSDT,F_213_slip,2025-01-03T13:00:00+00:00,2025-01-03T14:00:00+00:00,7.812124,7.815889,1000,0.482,,stop,1
RENDERUSDT,F_213_slip,2025-01-03T16:00:00+00:00,2025-01-03T17:00:00+00:00,8.098264,8.102167,1000,0.482,,stop,1
RENDERUSDT,F_213_slip,2025-01-04T10:00:00+00:00,2025-01-04T12:00:00+00:00,8.034008,8.03788,1000,0.482,,stop,2
RENDERUSDT,F_213_slip,2025-01-04T13:00:00+00:00,2025-01-04T14:00:00+00:00,8.21774,8.221701,1000,0.482,,stop,1
RENDERUSDT,F_213_slip,2025-01-04T15:00:00+00:00,2025-01-04T15:00:00+00:00,8.24786,8.022641,1000,-27.3064,,stop,0
RENDERUSDT,F_213_slip,2025-01-05T11:00:00+00:00,2025-01-05T14:00:00+00:00,8.075172,8.079064,1000,0.482,,stop,3
RENDERUSDT,F_213_slip,2025-01-05T15:00:00+00:00,2025-01-05T16:00:00+00:00,8.068144,8.072033,1000,0.482,,stop,1
RENDERUSDT,F_213_slip,2025-01-05T19:00:00+00:00,2025-01-05T20:00:00+00:00,8.080192,8.084087,1000,0.482,,stop,1
RENDERUSDT,F_213_slip,2025-01-05T21:00:00+00:00,2025-01-05T22:00:00+00:00,8.181596,8.286062,1000,12.7684,,stop,1
RENDERUSDT,F_213_slip,2025-01-06T07:00:00+00:00,2025-01-06T08:00:00+00:00,8.466732,8.470813,1000,0.482,,stop,1
RENDERUSDT,F_213_slip,2025-01-06T10:00:00+00:00,2025-01-06T12:00:00+00:00,8.685604,8.68979,1000,0.482,,stop,2
RENDERUSDT,F_213_slip,2025-01-06T15:00:00+00:00,2025-01-06T16:00:00+00:00,8.844236,8.952848,1000,12.2805,,stop,1
RENDERUSDT,F_213_slip,2025-01-07T00:00:00+00:00,2025-01-07T05:00:00+00:00,8.946644,8.600959,1000,-38.6385,,stop,5
RENDERUSDT,F_213_slip,2025-01-07T07:00:00+00:00,2025-01-07T11:00:00+00:00,8.738816,8.478907,1000,-29.7419,,stop,4
RENDERUSDT,F_213_slip,2025-01-07T12:00:00+00:00,2025-01-07T14:00:00+00:00,8.612312,8.662249,1000,5.7983,,stop,2
RENDERUSDT,F_213_slip,2025-01-07T17:00:00+00:00,2025-01-07T19:00:00+00:00,8.460708,8.144713,1000,-37.3486,,stop,2
RENDERUSDT,F_213_slip,2025-01-07T21:00:00+00:00,2025-01-07T22:00:00+00:00,8.225772,8.233368,1000,0.9235,,stop,1
RENDERUSDT,F_213_slip,2025-01-07T23:00:00+00:00,2025-01-08T05:00:00+00:00,8.24786,7.843503,1000,-49.0257,,stop,6
RENDERUSDT,F_213_slip,2025-01-08T08:00:00+00:00,2025-01-08T09:00:00+00:00,7.877384,8.001434,1000,15.7476,,stop,1
RENDERUSDT,F_213_slip,2025-01-08T18:00:00+00:00,2025-01-08T19:00:00+00:00,7.478796,7.605343,1000,16.9208,,stop,1
RENDERUSDT,F_213_slip,2025-01-08T23:00:00+00:00,2025-01-09T07:00:00+00:00,7.649476,7.248224,1000,-52.4549,,stop,8
RENDERUSDT,F_213_slip,2025-01-09T09:00:00+00:00,2025-01-09T10:00:00+00:00,7.277996,7.327681,1000,6.8268,,stop,1
RENDERUSDT,F_213_slip,2025-01-09T11:00:00+00:00,2025-01-09T12:00:00+00:00,7.260928,7.288067,1000,3.7376,,stop,1
RENDERUSDT,F_213_slip,2025-01-09T15:00:00+00:00,2025-01-09T16:00:00+00:00,7.11334,7.358532,1000,34.4694,,stop,1
RENDERUSDT,F_213_slip,2025-01-09T17:00:00+00:00,2025-01-09T19:00:00+00:00,7.371368,7.000966,1000,-50.2488,,stop,2
RENDERUSDT,F_213_slip,2025-01-09T21:00:00+00:00,2025-01-09T22:00:00+00:00,7.069164,7.072571,1000,0.482,,stop,1
RENDERUSDT,F_213_slip,2025-01-10T03:00:00+00:00,2025-01-10T05:00:00+00:00,7.274984,7.296019,1000,2.8914,,stop,2
RENDERUSDT,F_213_slip,2025-01-10T06:00:00+00:00,2025-01-10T07:00:00+00:00,7.377392,7.465019,1000,11.8778,,stop,1
RENDERUSDT,F_213_slip,2025-01-10T19:00:00+00:00,2025-01-11T22:00:00+00:00,7.410524,7.49189,1000,10.9797,,stop,27
RENDERUSDT,F_213_slip,2025-01-11T05:00:00+00:00,2025-01-11T06:00:00+00:00,7.156512,7.159961,1000,0.482,,stop,1
RENDERUSDT,F_213_slip,2025-01-11T07:00:00+00:00,2025-01-11T11:00:00+00:00,7.162536,7.168786,1000,0.8726,,stop,4
RENDERUSDT,F_213_slip,2025-01-11T11:00:00+00:00,2025-01-11T12:00:00+00:00,7.239844,7.243334,1000,0.482,,stop,1
RENDERUSDT,F_213_slip,2025-01-11T15:00:00+00:00,2025-01-11T19:00:00+00:00,7.215748,7.219226,1000,0.482,,stop,4
RENDERUSDT,F_213_slip,2025-01-11T21:00:00+00:00,2025-01-11T22:00:00+00:00,7.423576,7.49189,1000,9.2023,,stop,1
RENDERUSDT,F_213_slip,2025-01-12T13:00:00+00:00,2025-01-12T14:00:00+00:00,7.221772,7.265979,1000,6.1213,,stop,1
RENDERUSDT,F_213_slip,2025-01-12T16:00:00+00:00,2025-01-12T20:00:00+00:00,7.33924,7.139425,1000,-27.2256,,stop,4
RENDERUSDT,F_213_slip,2025-01-13T00:00:00+00:00,2025-01-13T01:00:00+00:00,7.14848,7.280907,1000,18.5251,,stop,1
RENDERUSDT,F_213_slip,2025-01-13T05:00:00+00:00,2025-01-13T06:00:00+00:00,7.01294,6.744283,1000,-38.3087,,stop,1
RENDERUSDT,F_213_slip,2025-01-13T08:00:00+00:00,2025-01-13T10:00:00+00:00,6.859328,6.575776,1000,-41.3381,,stop,2
RENDERUSDT,F_213_slip,2025-01-13T10:00:00+00:00,2025-01-13T11:00:00+00:00,6.707724,6.412827,1000,-43.9638,,stop,1
RENDERUSDT,F_213_slip,2025-01-13T13:00:00+00:00,2025-01-13T14:00:00+00:00,6.532024,6.638005,1000,16.2249,,stop,1
RENDERUSDT,F_213_slip,2025-01-13T15:00:00+00:00,2025-01-13T16:00:00+00:00,6.719772,6.845008,1000,18.6369,,stop,1
RENDERUSDT,F_213_slip,2025-01-13T17:00:00+00:00,2025-01-13T18:00:00+00:00,6.703708,6.706939,1000,0.482,,stop,1
RENDERUSDT,F_213_slip,2025-01-13T22:00:00+00:00,2025-01-13T23:00:00+00:00,6.948684,6.971972,1000,3.3514,,stop,1
RENDERUSDT,F_213_slip,2025-01-14T10:00:00+00:00,2025-01-14T16:00:00+00:00,7.272976,6.997445,1000,-37.8842,,stop,6
RENDERUSDT,F_213_slip,2025-01-14T23:00:00+00:00,2025-01-15T02:00:00+00:00,7.134424,6.876237,1000,-36.1889,,stop,3
RENDERUSDT,F_213_slip,2025-01-15T04:00:00+00:00,2025-01-15T08:00:00+00:00,6.9778,7.039072,1000,8.781,,stop,4
RENDERUSDT,F_213_slip,2025-01-15T06:00:00+00:00,2025-01-15T08:00:00+00:00,6.990852,7.039072,1000,6.8976,,stop,2
RENDERUSDT,F_213_slip,2025-01-15T13:00:00+00:00,2025-01-15T14:00:00+00:00,6.841256,7.263988,1000,61.7916,,stop,1
RENDERUSDT,F_213_slip,2025-01-15T15:00:00+00:00,2025-01-15T16:00:00+00:00,7.306108,7.351566,1000,6.2219,,stop,1
RENDERUSDT,F_213_slip,2025-01-15T18:00:00+00:00,2025-01-15T19:00:00+00:00,7.317152,7.414264,1000,13.2718,,stop,1
RENDERUSDT,F_213_slip,2025-01-15T20:00:00+00:00,2025-01-15T21:00:00+00:00,7.552088,7.602357,1000,6.6563,,stop,1
RENDERUSDT,F_213_slip,2025-01-16T00:00:00+00:00,2025-01-16T08:00:00+00:00,7.704696,7.367394,1000,-43.7788,,stop,8
RENDERUSDT,F_213_slip,2025-01-16T12:00:00+00:00,2025-01-16T13:00:00+00:00,7.536024,7.611314,1000,9.9907,,stop,1
RENDERUSDT,F_213_slip,2025-01-16T16:00:00+00:00,2025-01-16T17:00:00+00:00,7.471768,7.515775,1000,5.8897,,stop,1
RENDERUSDT,F_213_slip,2025-01-16T18:00:00+00:00,2025-01-16T19:00:00+00:00,7.582208,7.585863,1000,0.482,,stop,1
RENDERUSDT,F_213_slip,2025-01-16T21:00:00+00:00,2025-01-17T02:00:00+00:00,7.654496,7.658185,1000,0.482,,stop,5
RENDERUSDT,F_213_slip,2025-01-17T03:00:00+00:00,2025-01-17T05:00:00+00:00,7.589236,7.603167,1000,1.8357,,stop,2
