symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
SOLUSDT,F_213_blind,2021-09-01T20:00:00+00:00,2021-09-02T07:00:00+00:00,115.129474,116.654632,1000,13.2473,,stop,11
SOLUSDT,F_213_blind,2021-09-02T02:00:00+00:00,2021-09-02T03:00:00+00:00,111.114261,112.164077,1000,9.4481,,stop,1
SOLUSDT,F_213_blind,2021-09-02T05:00:00+00:00,2021-09-02T06:00:00+00:00,114.198265,114.563031,1000,3.1941,,stop,1
SOLUSDT,F_213_blind,2021-09-02T08:00:00+00:00,2021-09-02T09:00:00+00:00,114.618811,117.752323,1000,27.3385,,stop,1
SOLUSDT,F_213_blind,2021-09-02T14:00:00+00:00,2021-09-02T15:00:00+00:00,116.991892,117.365582,1000,3.1941,,stop,1
SOLUSDT,F_213_blind,2021-09-02T16:00:00+00:00,2021-09-02T17:00:00+00:00,122.028431,124.43826,1000,19.7481,,stop,1
SOLUSDT,F_213_blind,2021-09-03T01:00:00+00:00,2021-09-03T02:00:00+00:00,133.803719,134.554851,1000,5.6137,,stop,1
SOLUSDT,F_213_blind,2021-09-03T07:00:00+00:00,2021-09-03T08:00:00+00:00,141.894223,146.072754,1000,29.4482,,stop,1
SOLUSDT,F_213_blind,2021-09-03T21:00:00+00:00,2021-09-03T22:00:00+00:00,142.004366,148.148388,1000,43.2664,,stop,1
SOLUSDT,F_213_blind,2021-09-04T03:00:00+00:00,2021-09-04T04:00:00+00:00,149.824519,150.303081,1000,3.1942,,stop,1
SOLUSDT,F_213_blind,2021-09-04T15:00:00+00:00,2021-09-04T16:00:00+00:00,142.945588,143.402178,1000,3.1941,,stop,1
SOLUSDT,F_213_blind,2021-09-04T18:00:00+00:00,2021-09-04T21:00:00+00:00,140.452351,141.741864,1000,9.1811,,stop,3
SOLUSDT,F_213_blind,2021-09-04T22:00:00+00:00,2021-09-04T23:00:00+00:00,141.143248,141.780945,1000,4.5181,,stop,1
SOLUSDT,F_213_blind,2021-09-05T01:00:00+00:00,2021-09-05T02:00:00+00:00,141.744028,144.685672,1000,20.7532,,stop,1
SOLUSDT,F_213_blind,2021-09-05T03:00:00+00:00,2021-09-05T04:00:00+00:00,142.78538,143.241458,1000,3.1941,,stop,1
SOLUSDT,F_213_blind,2021-09-05T07:00:00+00:00,2021-09-05T08:00:00+00:00,140.051831,140.499178,1000,3.1941,,stop,1
