symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
SOLUSDT,F_213_slip,2025-01-01T15:00:00+00:00,2025-01-01T16:00:00+00:00,191.64352,191.735892,1000,0.482,,stop,1
SOLUSDT,F_213_slip,2025-01-01T18:00:00+00:00,2025-01-01T19:00:00+00:00,191.39252,191.484771,1000,0.482,,stop,1
SOLUSDT,F_213_slip,2025-01-01T20:00:00+00:00,2025-01-01T21:00:00+00:00,193.8724,193.965846,1000,0.482,,stop,1
SOLUSDT,F_213_slip,2025-01-02T01:00:00+00:00,2025-01-02T02:00:00+00:00,197.035,197.280768,1000,1.2473,,stop,1
SOLUSDT,F_213_slip,2025-01-02T03:00:00+00:00,2025-01-02T05:00:00+00:00,200.20764,203.857423,1000,18.23,,stop,2
SOLUSDT,F_213_slip,2025-01-02T05:00:00+00:00,2025-01-02T07:00:00+00:00,205.28788,205.386829,1000,0.482,,stop,2
SOLUSDT,F_213_slip,2025-01-02T07:00:00+00:00,2025-01-02T08:00:00+00:00,206.18144,206.280819,1000,0.482,,stop,1
SOLUSDT,F_213_slip,2025-01-03T01:00:00+00:00,2025-01-03T06:00:00+00:00,207.98864,208.314257,1000,1.5655,,stop,5
SOLUSDT,F_213_slip,2025-01-03T04:00:00+00:00,2025-01-03T06:00:00+00:00,208.8822,208.982881,1000,0.482,,stop,2
SOLUSDT,F_213_slip,2025-01-03T08:00:00+00:00,2025-01-03T09:00:00+00:00,208.7818,208.882433,1000,0.482,,stop,1
SOLUSDT,F_213_slip,2025-01-03T10:00:00+00:00,2025-01-03T12:00:00+00:00,212.03476,214.147825,1000,9.9657,,stop,2
SOLUSDT,F_213_slip,2025-01-03T13:00:00+00:00,2025-01-03T15:00:00+00:00,214.24356,217.65094,1000,15.9042,,stop,2
SOLUSDT,F_213_slip,2025-01-03T16:00:00+00:00,2025-01-03T17:00:00+00:00,218.23948,218.512779,1000,1.2523,,stop,1
SOLUSDT,F_213_slip,2025-01-04T06:00:00+00:00,2025-01-04T10:00:00+00:00,218.09892,213.978141,1000,-18.8941,,stop,4
SOLUSDT,F_213_slip,2025-01-04T12:00:00+00:00,2025-01-04T15:00:00+00:00,217.32584,213.609399,1000,-17.1008,,stop,3
SOLUSDT,F_213_slip,2025-01-04T17:00:00+00:00,2025-01-04T19:00:00+00:00,215.24756,215.351309,1000,0.482,,stop,2
SOLUSDT,F_213_slip,2025-01-04T20:00:00+00:00,2025-01-04T23:00:00+00:00,216.44232,216.546645,1000,0.482,,stop,3
SOLUSDT,F_213_slip,2025-01-05T03:00:00+00:00,2025-01-05T04:00:00+00:00,217.93828,218.043326,1000,0.482,,stop,1
SOLUSDT,F_213_slip,2025-01-05T05:00:00+00:00,2025-01-05T08:00:00+00:00,218.872,215.041238,1000,-17.5023,,stop,3
SOLUSDT,F_213_slip,2025-01-05T11:00:00+00:00,2025-01-05T14:00:00+00:00,214.94636,211.098575,1000,-17.9011,,stop,3
SOLUSDT,F_213_slip,2025-01-05T15:00:00+00:00,2025-01-06T02:00:00+00:00,214.13312,214.236332,1000,0.482,,stop,11
SOLUSDT,F_213_slip,2025-01-05T18:00:00+00:00,2025-01-05T23:00:00+00:00,213.5006,213.603507,1000,0.482,,stop,5
SOLUSDT,F_213_slip,2025-01-05T21:00:00+00:00,2025-01-05T23:00:00+00:00,213.852,213.955077,1000,0.482,,stop,2
SOLUSDT,F_213_slip,2025-01-06T02:00:00+00:00,2025-01-06T03:00:00+00:00,215.52868,215.689796,1000,0.7475,,stop,1
SOLUSDT,F_213_slip,2025-01-06T10:00:00+00:00,2025-01-06T12:00:00+00:00,215.26764,215.371399,1000,0.482,,stop,2
SOLUSDT,F_213_slip,2025-01-06T14:00:00+00:00,2025-01-06T15:00:00+00:00,219.5748,221.074439,1000,6.8297,,stop,1
SOLUSDT,F_213_slip,2025-01-06T16:00:00+00:00,2025-01-06T17:00:00+00:00,222.50648,222.613728,1000,0.482,,stop,1
SOLUSDT,F_213_slip,2025-01-07T06:00:00+00:00,2025-01-07T11:00:00+00:00,217.366,213.061759,1000,-19.8018,,stop,5
SOLUSDT,F_213_slip,2025-01-07T09:00:00+00:00,2025-01-07T10:00:00+00:00,217.47644,213.857574,1000,-16.6403,,stop,1
SOLUSDT,F_213_slip,2025-01-07T13:00:00+00:00,2025-01-07T14:00:00+00:00,214.34396,210.673596,1000,-17.1237,,stop,1
SOLUSDT,F_213_slip,2025-01-07T16:00:00+00:00,2025-01-07T18:00:00+00:00,208.59104,203.967607,1000,-22.1651,,stop,2
SOLUSDT,F_213_slip,2025-01-07T23:00:00+00:00,2025-01-08T03:00:00+00:00,204.5148,198.726701,1000,-28.3016,,stop,4
SOLUSDT,F_213_slip,2025-01-08T04:00:00+00:00,2025-01-08T06:00:00+00:00,199.47472,193.200244,1000,-31.455,,stop,2
SOLUSDT,F_213_slip,2025-01-08T08:00:00+00:00,2025-01-08T09:00:00+00:00,196.49284,196.694303,1000,1.0253,,stop,1
SOLUSDT,F_213_slip,2025-01-08T11:00:00+00:00,2025-01-08T15:00:00+00:00,197.99884,198.094275,1000,0.482,,stop,4
SOLUSDT,F_213_slip,2025-01-08T15:00:00+00:00,2025-01-08T16:00:00+00:00,198.51088,198.606562,1000,0.482,,stop,1
SOLUSDT,F_213_slip,2025-01-08T19:00:00+00:00,2025-01-08T20:00:00+00:00,194.7258,194.835508,1000,0.5634,,stop,1
SOLUSDT,F_213_slip,2025-01-08T21:00:00+00:00,2025-01-08T23:00:00+00:00,196.54304,196.783764,1000,1.2248,,stop,2
SOLUSDT,F_213_slip,2025-01-09T00:00:00+00:00,2025-01-09T02:00:00+00:00,198.26992,198.365486,1000,0.482,,stop,2
