symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
XLMUSDT,F_213_blind,2021-09-01T22:00:00+00:00,2021-09-02T01:00:00+00:00,0.354861,0.355994,1000,3.1941,,stop,3
XLMUSDT,F_213_blind,2021-09-02T02:00:00+00:00,2021-09-02T03:00:00+00:00,0.355762,0.359244,1000,9.7888,,stop,1
XLMUSDT,F_213_blind,2021-09-02T22:00:00+00:00,2021-09-03T00:00:00+00:00,0.362771,0.351884,1000,-30.0096,,stop,2
XLMUSDT,F_213_blind,2021-09-03T03:00:00+00:00,2021-09-03T04:00:00+00:00,0.357464,0.35981,1000,6.5616,,stop,1
XLMUSDT,F_213_blind,2021-09-03T10:00:00+00:00,2021-09-03T11:00:00+00:00,0.364774,0.365939,1000,3.1941,,stop,1
XLMUSDT,F_213_blind,2021-09-03T12:00:00+00:00,2021-09-03T13:00:00+00:00,0.365274,0.366787,1000,4.1402,,stop,1
XLMUSDT,F_213_blind,2021-09-03T14:00:00+00:00,2021-09-03T15:00:00+00:00,0.367978,0.369153,1000,3.1941,,stop,1
XLMUSDT,F_213_blind,2021-09-03T16:00:00+00:00,2021-09-03T17:00:00+00:00,0.371783,0.37297,1000,3.1941,,stop,1
XLMUSDT,F_213_blind,2021-09-03T19:00:00+00:00,2021-09-03T20:00:00+00:00,0.374186,0.376056,1000,4.9977,,stop,1
XLMUSDT,F_213_blind,2021-09-04T03:00:00+00:00,2021-09-04T04:00:00+00:00,0.376389,0.377591,1000,3.1942,,stop,1
XLMUSDT,F_213_blind,2021-09-04T10:00:00+00:00,2021-09-04T11:00:00+00:00,0.380394,0.383793,1000,8.9351,,stop,1
XLMUSDT,F_213_blind,2021-09-04T12:00:00+00:00,2021-09-04T13:00:00+00:00,0.376689,0.380799,1000,10.9108,,stop,1
XLMUSDT,F_213_blind,2021-09-04T18:00:00+00:00,2021-09-04T19:00:00+00:00,0.371783,0.373464,1000,4.5235,,stop,1
XLMUSDT,F_213_blind,2021-09-04T20:00:00+00:00,2021-09-04T22:00:00+00:00,0.374086,0.376455,1000,6.3325,,stop,2
XLMUSDT,F_213_blind,2021-09-05T01:00:00+00:00,2021-09-05T03:00:00+00:00,0.375187,0.376853,1000,4.4408,,stop,2
XLMUSDT,F_213_blind,2021-09-05T05:00:00+00:00,2021-09-05T08:00:00+00:00,0.373485,0.377207,1000,9.9648,,stop,3
