symbol,dropped,net,trades,win_pct,pf,delta_vs_all14
FILUSDT,MSS,5937.685188493907,726,89.81,2.57868741527915,0.0
FILUSDT,FVG,5419.5161560417955,667,89.36,2.5053036989652844,-518.1690324521114
FILUSDT,SFP,5880.572313102137,719,89.85,2.5802034178512314,-57.1128753917701
FILUSDT,MicroBurst,5166.4650341202205,713,89.62,2.37350025068081,-771.2201543736865
FILUSDT,RSI,5750.916323613791,717,89.82,2.5449587095976773,-186.76886488011587
FILUSDT,MACD,5905.780281824868,699,89.84,2.639601550343405,-31.90490666903861
FILUSDT,Bollinger,5843.415948579085,691,89.73,2.6388045888670173,-94.26923991482181
FILUSDT,EMA,5966.9157818988,709,90.27,2.703934160381921,29.230593404892716
FILUSDT,ADX,6049.910098901264,703,89.76,2.643592935354842,112.22491040735713
FILUSDT,Stochastic,5939.769221680522,690,90.14,2.7365733919425113,2.084033186614761
FILUSDT,OBV,5776.960100537321,662,90.03,2.711608928071105,-160.72508795658632
FILUSDT,SuperTrend,5937.685188493907,726,89.81,2.57868741527915,0.0
FILUSDT,RSI7,5922.3695725433545,724,89.78,2.574615362047827,-15.315615950552456
FILUSDT,KAMA,5873.413445262405,712,89.75,2.5996806811478614,-64.27174323150211
