symbol,dropped,net,trades,win_pct,pf,delta_vs_all14
SOLUSDT,MSS,4849.499399803285,763,90.17,2.5431764894399818,-33.81766383713148
SOLUSDT,FVG,4341.555284561433,660,89.85,2.580530381405542,-541.7617790789836
SOLUSDT,SFP,4914.763166807705,759,90.38,2.60687374467344,31.44610316728813
SOLUSDT,MicroBurst,4528.968699128936,721,91.12,2.6537361176761745,-354.3483645114802
SOLUSDT,RSI,4859.031736504512,757,90.49,2.592837779888889,-24.28532713590448
SOLUSDT,MACD,4567.634229448941,730,90.0,2.497693170788866,-315.6828341914752
SOLUSDT,Bollinger,4387.316488489441,731,89.19,2.3551157885461427,-496.00057515097524
SOLUSDT,EMA,4857.21063214435,749,90.25,2.579129913364046,-26.10643149606676
SOLUSDT,ADX,4716.109204260404,734,90.05,2.538258218619143,-167.20785938001245
SOLUSDT,Stochastic,4365.145873393212,718,89.83,2.423134368710469,-518.1711902472043
SOLUSDT,OBV,4321.5694689524935,702,90.31,2.4870358746519505,-561.7475946879231
SOLUSDT,SuperTrend,4883.317063640417,763,90.3,2.5692295846939075,0.0
SOLUSDT,RSI7,4811.497822657299,763,90.17,2.529802692959035,-71.8192409831172
SOLUSDT,KAMA,4624.7921234488385,747,90.09,2.4718394598966076,-258.524940191578
