symbol,dropped,net,trades,win_pct,pf,delta_vs_all14
ATOMUSDT,MSS,4343.972662174989,782,89.77,2.2749324065314918,0.0
ATOMUSDT,FVG,3857.1530868170485,691,89.44,2.2397964655813323,-486.81957535794027
ATOMUSDT,SFP,4392.264570253796,776,89.82,2.3323706942022224,48.291908078806955
ATOMUSDT,MicroBurst,3792.4637321150526,754,89.39,2.1108830430968992,-551.5089300599361
ATOMUSDT,RSI,4268.3840249799205,772,89.64,2.251692348883326,-75.58863719506826
ATOMUSDT,MACD,4039.072234567077,750,89.73,2.230176845654091,-304.90042760791175
ATOMUSDT,Bollinger,4120.780595041001,734,89.78,2.3031426340537267,-223.19206713398762
ATOMUSDT,EMA,4297.238382125836,771,89.75,2.2792453954882657,-46.7342800491524
ATOMUSDT,ADX,4297.278151687844,761,89.62,2.32443527724142,-46.694510487144726
ATOMUSDT,Stochastic,4052.51275544117,747,89.83,2.236606596060472,-291.45990673381857
ATOMUSDT,OBV,3980.065602627992,712,89.47,2.226757665401171,-363.9070595469966
ATOMUSDT,SuperTrend,4343.972662174989,782,89.77,2.2749324065314918,0.0
ATOMUSDT,RSI7,4280.560867673867,781,89.76,2.256321388909362,-63.41179450112213
ATOMUSDT,KAMA,4309.9665696866205,766,89.82,2.29736576947098,-34.00609248836827
