symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ATOMUSDT,F_213_slip,2025-01-03T08:00:00+00:00,2025-01-03T12:00:00+00:00,6.734832,6.998269,1000,39.1156,,stop,1
ATOMUSDT,F_213_slip,2025-01-03T16:00:00+00:00,2025-01-03T20:00:00+00:00,7.328196,7.356653,1000,3.8832,,stop,1
ATOMUSDT,F_213_slip,2025-01-06T04:00:00+00:00,2025-01-06T08:00:00+00:00,7.541044,7.605343,1000,8.5265,,stop,1
ATOMUSDT,F_213_slip,2025-01-06T16:00:00+00:00,2025-01-06T20:00:00+00:00,7.586224,7.589881,1000,0.482,,stop,1
ATOMUSDT,F_213_slip,2025-01-07T08:00:00+00:00,2025-01-07T12:00:00+00:00,7.60028,7.69093,1000,11.9272,,stop,1
ATOMUSDT,F_213_slip,2025-01-08T12:00:00+00:00,2025-01-08T16:00:00+00:00,6.577204,6.619096,1000,6.3693,,stop,1
ATOMUSDT,F_213_slip,2025-01-09T00:00:00+00:00,2025-01-09T04:00:00+00:00,6.486844,6.570332,1000,12.8703,,stop,1
ATOMUSDT,F_213_slip,2025-01-10T08:00:00+00:00,2025-01-10T16:00:00+00:00,6.622384,6.625576,1000,0.482,,stop,2
ATOMUSDT,F_213_slip,2025-01-10T20:00:00+00:00,2025-01-12T00:00:00+00:00,6.693668,6.700608,1000,1.0368,,stop,7
ATOMUSDT,F_213_slip,2025-01-12T00:00:00+00:00,2025-01-12T04:00:00+00:00,6.64648,6.651902,1000,0.8157,,stop,1
ATOMUSDT,F_213_slip,2025-01-12T16:00:00+00:00,2025-01-13T04:00:00+00:00,6.580216,6.672837,1000,14.0757,,stop,3
ATOMUSDT,F_213_slip,2025-01-13T16:00:00+00:00,2025-01-14T00:00:00+00:00,6.217772,6.316555,1000,15.8872,,stop,2
ATOMUSDT,F_213_slip,2025-01-14T04:00:00+00:00,2025-01-14T08:00:00+00:00,6.267972,6.271196,1000,0.5144,,stop,1
ATOMUSDT,F_213_slip,2025-01-15T00:00:00+00:00,2025-01-15T04:00:00+00:00,6.297088,6.300123,1000,0.482,,stop,1
ATOMUSDT,F_213_slip,2025-01-15T16:00:00+00:00,2025-01-15T20:00:00+00:00,6.609332,6.620093,1000,1.6282,,stop,1
ATOMUSDT,F_213_slip,2025-01-16T20:00:00+00:00,2025-01-17T04:00:00+00:00,6.777,6.790069,1000,1.9284,,stop,2
ATOMUSDT,F_213_slip,2025-01-17T12:00:00+00:00,2025-01-17T16:00:00+00:00,6.921576,6.924912,1000,0.482,,stop,1
ATOMUSDT,F_213_slip,2025-01-18T12:00:00+00:00,2025-01-18T16:00:00+00:00,6.712744,6.71598,1000,0.482,,stop,1
ATOMUSDT,F_213_slip,2025-01-19T00:00:00+00:00,2025-01-19T04:00:00+00:00,6.620376,6.739516,1000,17.996,,stop,1
