symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
DOGEUSDT,F_213_slip,2025-01-03T16:00:00+00:00,2025-01-03T20:00:00+00:00,0.367635,0.381063,1000,36.5271,,stop,1
DOGEUSDT,F_213_slip,2025-01-04T04:00:00+00:00,2025-01-04T08:00:00+00:00,0.393688,0.393878,1000,0.482,,stop,1
DOGEUSDT,F_213_slip,2025-01-05T04:00:00+00:00,2025-01-05T08:00:00+00:00,0.390275,0.390463,1000,0.482,,stop,1
DOGEUSDT,F_213_slip,2025-01-05T20:00:00+00:00,2025-01-06T00:00:00+00:00,0.383648,0.383833,1000,0.482,,stop,1
DOGEUSDT,F_213_slip,2025-01-08T04:00:00+00:00,2025-01-08T16:00:00+00:00,0.355828,0.331286,1000,-68.9713,,stop,3
DOGEUSDT,F_213_slip,2025-01-08T12:00:00+00:00,2025-01-08T16:00:00+00:00,0.348097,0.351854,1000,10.7937,,stop,1
DOGEUSDT,F_213_slip,2025-01-09T16:00:00+00:00,2025-01-10T08:00:00+00:00,0.334452,0.337891,1000,10.2822,,stop,4
DOGEUSDT,F_213_slip,2025-01-10T08:00:00+00:00,2025-01-10T12:00:00+00:00,0.336922,0.337085,1000,0.482,,stop,1
DOGEUSDT,F_213_slip,2025-01-10T20:00:00+00:00,2025-01-11T12:00:00+00:00,0.336521,0.337645,1000,3.3398,,stop,4
DOGEUSDT,F_213_slip,2025-01-11T20:00:00+00:00,2025-01-12T00:00:00+00:00,0.339774,0.3465,1000,19.7962,,stop,1
DOGEUSDT,F_213_slip,2025-01-12T16:00:00+00:00,2025-01-13T04:00:00+00:00,0.341812,0.344619,1000,8.2126,,stop,3
DOGEUSDT,F_213_slip,2025-01-13T16:00:00+00:00,2025-01-13T20:00:00+00:00,0.325929,0.326601,1000,2.0639,,stop,1
DOGEUSDT,F_213_slip,2025-01-14T00:00:00+00:00,2025-01-14T04:00:00+00:00,0.339432,0.343763,1000,12.7589,,stop,1
DOGEUSDT,F_213_slip,2025-01-14T12:00:00+00:00,2025-01-14T16:00:00+00:00,0.350366,0.352849,1000,7.0881,,stop,1
DOGEUSDT,F_213_slip,2025-01-15T16:00:00+00:00,2025-01-15T20:00:00+00:00,0.372574,0.375998,1000,9.1884,,stop,1
DOGEUSDT,F_213_slip,2025-01-16T12:00:00+00:00,2025-01-16T16:00:00+00:00,0.37912,0.384925,1000,15.3098,,stop,1
DOGEUSDT,F_213_slip,2025-01-16T20:00:00+00:00,2025-01-17T04:00:00+00:00,0.387986,0.388173,1000,0.482,,stop,2
DOGEUSDT,F_213_slip,2025-01-17T12:00:00+00:00,2025-01-17T16:00:00+00:00,0.413015,0.413215,1000,0.482,,stop,1
DOGEUSDT,F_213_slip,2025-01-19T16:00:00+00:00,2025-01-19T20:00:00+00:00,0.389642,0.396588,1000,17.8269,,stop,1
