symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
IMXUSDT,F_213_blind,2022-01-12T20:00:00+00:00,2022-01-13T00:00:00+00:00,3.674771,3.801005,1000,34.3515,,stop,1
IMXUSDT,F_213_blind,2022-01-13T08:00:00+00:00,2022-01-13T12:00:00+00:00,3.684784,3.703747,1000,5.1463,,stop,1
IMXUSDT,F_213_blind,2022-01-13T16:00:00+00:00,2022-01-13T20:00:00+00:00,3.551611,3.684251,1000,37.3463,,stop,1
IMXUSDT,F_213_blind,2022-01-14T04:00:00+00:00,2022-01-14T08:00:00+00:00,3.52758,3.588452,1000,17.2561,,stop,1
IMXUSDT,F_213_blind,2022-01-14T12:00:00+00:00,2022-01-14T16:00:00+00:00,3.534589,3.582465,1000,13.5449,,stop,1
IMXUSDT,F_213_blind,2022-01-15T00:00:00+00:00,2022-01-15T04:00:00+00:00,3.564628,3.682255,1000,32.9983,,stop,1
IMXUSDT,F_213_blind,2022-01-16T04:00:00+00:00,2022-01-16T08:00:00+00:00,3.9281,4.669179,1000,188.661,,stop,1
IMXUSDT,F_213_blind,2022-01-16T12:00:00+00:00,2022-01-16T16:00:00+00:00,4.041247,4.400744,1000,88.9569,,stop,1
IMXUSDT,F_213_blind,2022-01-16T20:00:00+00:00,2022-01-17T00:00:00+00:00,4.169413,4.182731,1000,3.1941,,stop,1
IMXUSDT,F_213_blind,2022-01-18T20:00:00+00:00,2022-01-19T00:00:00+00:00,3.722833,3.808988,1000,23.1423,,stop,1
IMXUSDT,F_213_blind,2022-01-19T12:00:00+00:00,2022-01-19T16:00:00+00:00,3.652742,3.687244,1000,9.4455,,stop,1
IMXUSDT,F_213_blind,2022-01-19T20:00:00+00:00,2022-01-20T00:00:00+00:00,3.591663,3.603135,1000,3.1941,,stop,1
IMXUSDT,F_213_blind,2022-01-20T04:00:00+00:00,2022-01-20T16:00:00+00:00,3.569635,3.691236,1000,34.0655,,stop,3
IMXUSDT,F_213_blind,2022-01-20T16:00:00+00:00,2022-01-20T20:00:00+00:00,3.6968,3.750112,1000,14.4213,,stop,1
IMXUSDT,F_213_blind,2022-01-21T16:00:00+00:00,2022-01-21T20:00:00+00:00,3.069986,3.213241,1000,46.6633,,stop,1
