symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
PEPEUSDT,F_213_slip,2025-01-03T12:00:00+00:00,2025-01-03T16:00:00+00:00,2.1e-05,2.1e-05,1000,27.614,,stop,1
PEPEUSDT,F_213_slip,2025-01-04T04:00:00+00:00,2025-01-04T08:00:00+00:00,2.1e-05,2.1e-05,1000,0.482,,stop,1
PEPEUSDT,F_213_slip,2025-01-06T16:00:00+00:00,2025-01-06T20:00:00+00:00,2.1e-05,2.1e-05,1000,1.2824,,stop,1
PEPEUSDT,F_213_slip,2025-01-07T20:00:00+00:00,2025-01-08T00:00:00+00:00,1.9e-05,1.9e-05,1000,1.1958,,stop,1
PEPEUSDT,F_213_slip,2025-01-08T08:00:00+00:00,2025-01-08T12:00:00+00:00,1.8e-05,1.9e-05,1000,10.7807,,stop,1
PEPEUSDT,F_213_slip,2025-01-08T16:00:00+00:00,2025-01-09T12:00:00+00:00,1.8e-05,1.7e-05,1000,-74.625,,stop,5
PEPEUSDT,F_213_slip,2025-01-09T00:00:00+00:00,2025-01-09T04:00:00+00:00,1.8e-05,1.8e-05,1000,6.8133,,stop,1
PEPEUSDT,F_213_slip,2025-01-09T12:00:00+00:00,2025-01-09T16:00:00+00:00,1.8e-05,1.8e-05,1000,8.6976,,stop,1
PEPEUSDT,F_213_slip,2025-01-10T00:00:00+00:00,2025-01-10T04:00:00+00:00,1.7e-05,1.7e-05,1000,9.8859,,stop,1
PEPEUSDT,F_213_slip,2025-01-10T08:00:00+00:00,2025-01-10T12:00:00+00:00,1.8e-05,1.8e-05,1000,0.482,,stop,1
PEPEUSDT,F_213_slip,2025-01-10T20:00:00+00:00,2025-01-11T08:00:00+00:00,1.8e-05,1.8e-05,1000,0.482,,stop,3
PEPEUSDT,F_213_slip,2025-01-13T16:00:00+00:00,2025-01-13T20:00:00+00:00,1.7e-05,1.7e-05,1000,0.482,,stop,1
PEPEUSDT,F_213_slip,2025-01-14T00:00:00+00:00,2025-01-14T04:00:00+00:00,1.7e-05,1.7e-05,1000,10.0629,,stop,1
PEPEUSDT,F_213_slip,2025-01-14T08:00:00+00:00,2025-01-14T12:00:00+00:00,1.7e-05,1.8e-05,1000,20.1542,,stop,1
PEPEUSDT,F_213_slip,2025-01-15T16:00:00+00:00,2025-01-15T20:00:00+00:00,1.8e-05,1.9e-05,1000,20.1676,,stop,1
PEPEUSDT,F_213_slip,2025-01-16T00:00:00+00:00,2025-01-16T04:00:00+00:00,1.9e-05,1.9e-05,1000,0.482,,stop,1
PEPEUSDT,F_213_slip,2025-01-16T08:00:00+00:00,2025-01-16T16:00:00+00:00,1.9e-05,1.9e-05,1000,6.1441,,stop,2
PEPEUSDT,F_213_slip,2025-01-17T08:00:00+00:00,2025-01-17T12:00:00+00:00,1.9e-05,2e-05,1000,56.4444,,stop,1
PEPEUSDT,F_213_slip,2025-01-17T16:00:00+00:00,2025-01-17T20:00:00+00:00,2e-05,2e-05,1000,11.1526,,stop,1
PEPEUSDT,F_213_slip,2025-01-19T04:00:00+00:00,2025-01-19T08:00:00+00:00,1.9e-05,1.7e-05,1000,-81.9187,,stop,1
PEPEUSDT,F_213_slip,2025-01-19T16:00:00+00:00,2025-01-19T20:00:00+00:00,1.7e-05,1.8e-05,1000,27.2937,,stop,1
PEPEUSDT,F_213_slip,2025-01-20T08:00:00+00:00,2025-01-20T12:00:00+00:00,1.7e-05,1.7e-05,1000,9.3564,,stop,1
PEPEUSDT,F_213_slip,2025-01-21T16:00:00+00:00,2025-01-21T20:00:00+00:00,1.6e-05,1.6e-05,1000,39.4984,,stop,1
PEPEUSDT,F_213_slip,2025-01-22T04:00:00+00:00,2025-01-24T16:00:00+00:00,1.6e-05,1.6e-05,1000,1.812,,stop,15
PEPEUSDT,F_213_slip,2025-01-23T16:00:00+00:00,2025-01-23T20:00:00+00:00,1.5e-05,1.6e-05,1000,17.3406,,stop,1
PEPEUSDT,F_213_slip,2025-01-24T00:00:00+00:00,2025-01-24T08:00:00+00:00,1.5e-05,1.6e-05,1000,17.1023,,stop,2
PEPEUSDT,F_213_slip,2025-01-25T16:00:00+00:00,2025-01-26T20:00:00+00:00,1.5e-05,1.4e-05,1000,-91.8232,,stop,7
