symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
SHIBUSDT,F_213_blind,2021-09-04T08:00:00+00:00,2021-09-04T12:00:00+00:00,7e-06,7e-06,1000,5.2087,,stop,1
SHIBUSDT,F_213_blind,2021-09-04T16:00:00+00:00,2021-09-05T04:00:00+00:00,8e-06,8e-06,1000,4.699,,stop,3
SHIBUSDT,F_213_blind,2021-09-05T12:00:00+00:00,2021-09-05T16:00:00+00:00,7e-06,7e-06,1000,12.8545,,stop,1
SHIBUSDT,F_213_blind,2021-09-07T20:00:00+00:00,2021-09-08T00:00:00+00:00,6e-06,6e-06,1000,13.2711,,stop,1
SHIBUSDT,F_213_blind,2021-09-08T12:00:00+00:00,2021-09-08T16:00:00+00:00,6e-06,7e-06,1000,269.1813,,stop,1
SHIBUSDT,F_213_blind,2021-09-08T20:00:00+00:00,2021-09-09T04:00:00+00:00,7e-06,7e-06,1000,23.6562,,stop,2
SHIBUSDT,F_213_blind,2021-09-09T20:00:00+00:00,2021-09-10T00:00:00+00:00,7e-06,8e-06,1000,4.7489,,stop,1
SHIBUSDT,F_213_blind,2021-09-10T12:00:00+00:00,2021-09-10T20:00:00+00:00,7e-06,7e-06,1000,24.8779,,stop,2
SHIBUSDT,F_213_blind,2021-09-11T08:00:00+00:00,2021-09-11T12:00:00+00:00,7e-06,7e-06,1000,14.141,,stop,1
SHIBUSDT,F_213_blind,2021-09-11T20:00:00+00:00,2021-09-12T00:00:00+00:00,7e-06,7e-06,1000,3.1941,,stop,1
SHIBUSDT,F_213_blind,2021-09-12T08:00:00+00:00,2021-09-12T12:00:00+00:00,7e-06,7e-06,1000,24.4928,,stop,1
SHIBUSDT,F_213_blind,2021-09-13T00:00:00+00:00,2021-09-13T04:00:00+00:00,7e-06,7e-06,1000,9.6235,,stop,1
SHIBUSDT,F_213_blind,2021-09-13T12:00:00+00:00,2021-09-13T16:00:00+00:00,7e-06,7e-06,1000,28.509,,stop,1
SHIBUSDT,F_213_blind,2021-09-13T20:00:00+00:00,2021-09-14T00:00:00+00:00,6e-06,7e-06,1000,11.9615,,stop,1
SHIBUSDT,F_213_blind,2021-09-14T16:00:00+00:00,2021-09-14T20:00:00+00:00,7e-06,7e-06,1000,4.3897,,stop,1
SHIBUSDT,F_213_blind,2021-09-16T20:00:00+00:00,2021-09-17T00:00:00+00:00,8e-06,9e-06,1000,93.9254,,stop,1
SHIBUSDT,F_213_blind,2021-09-17T04:00:00+00:00,2021-09-17T08:00:00+00:00,9e-06,9e-06,1000,35.8591,,stop,1
SHIBUSDT,F_213_blind,2021-09-19T16:00:00+00:00,2021-09-19T20:00:00+00:00,8e-06,8e-06,1000,109.1041,,stop,1
SHIBUSDT,F_213_blind,2021-09-20T00:00:00+00:00,2021-09-20T04:00:00+00:00,8e-06,8e-06,1000,3.1941,,stop,1
SHIBUSDT,F_213_blind,2021-09-20T20:00:00+00:00,2021-09-21T00:00:00+00:00,7e-06,7e-06,1000,6.6244,,stop,1
SHIBUSDT,F_213_blind,2021-09-22T08:00:00+00:00,2021-09-22T20:00:00+00:00,7e-06,7e-06,1000,17.5133,,stop,3
SHIBUSDT,F_213_blind,2021-09-22T20:00:00+00:00,2021-09-23T00:00:00+00:00,7e-06,7e-06,1000,14.6247,,stop,1
SHIBUSDT,F_213_blind,2021-09-23T12:00:00+00:00,2021-09-23T16:00:00+00:00,7e-06,8e-06,1000,37.0084,,stop,1
SHIBUSDT,F_213_blind,2021-09-24T16:00:00+00:00,2021-09-24T20:00:00+00:00,7e-06,7e-06,1000,20.2679,,stop,1
SHIBUSDT,F_213_blind,2021-09-25T00:00:00+00:00,2021-09-25T04:00:00+00:00,7e-06,7e-06,1000,8.7592,,stop,1
SHIBUSDT,F_213_blind,2021-09-26T12:00:00+00:00,2021-09-26T16:00:00+00:00,7e-06,7e-06,1000,3.7733,,stop,1
SHIBUSDT,F_213_blind,2021-09-27T04:00:00+00:00,2021-09-27T08:00:00+00:00,7e-06,7e-06,1000,5.1402,,stop,1
SHIBUSDT,F_213_blind,2021-09-27T12:00:00+00:00,2021-09-27T16:00:00+00:00,7e-06,7e-06,1000,3.1942,,stop,1
SHIBUSDT,F_213_blind,2021-09-28T08:00:00+00:00,2021-09-28T12:00:00+00:00,7e-06,7e-06,1000,9.5484,,stop,1
SHIBUSDT,F_213_blind,2021-09-29T04:00:00+00:00,2021-09-29T08:00:00+00:00,7e-06,7e-06,1000,3.1941,,stop,1
SHIBUSDT,F_213_blind,2021-09-30T00:00:00+00:00,2021-09-30T04:00:00+00:00,7e-06,7e-06,1000,13.6414,,stop,1
SHIBUSDT,F_213_blind,2021-09-30T08:00:00+00:00,2021-09-30T20:00:00+00:00,7e-06,7e-06,1000,42.9266,,stop,3
SHIBUSDT,F_213_blind,2021-09-30T20:00:00+00:00,2021-10-01T04:00:00+00:00,7e-06,7e-06,1000,3.1942,,stop,2
SHIBUSDT,F_213_blind,2021-10-01T12:00:00+00:00,2021-10-01T16:00:00+00:00,8e-06,8e-06,1000,3.1941,,stop,1
SHIBUSDT,F_213_blind,2021-10-01T20:00:00+00:00,2021-10-02T00:00:00+00:00,8e-06,8e-06,1000,17.5041,,stop,1
SHIBUSDT,F_213_blind,2021-10-02T20:00:00+00:00,2021-10-03T00:00:00+00:00,8e-06,8e-06,1000,30.3675,,stop,1
SHIBUSDT,F_213_blind,2021-10-03T04:00:00+00:00,2021-10-03T08:00:00+00:00,8e-06,8e-06,1000,13.9162,,stop,1
SHIBUSDT,F_213_blind,2021-10-03T20:00:00+00:00,2021-10-04T00:00:00+00:00,9e-06,9e-06,1000,11.8297,,stop,1
SHIBUSDT,F_213_blind,2021-10-04T08:00:00+00:00,2021-10-04T12:00:00+00:00,9e-06,9e-06,1000,67.0369,,stop,1
SHIBUSDT,F_213_blind,2021-10-04T16:00:00+00:00,2021-10-04T20:00:00+00:00,1e-05,1.3e-05,1000,228.3065,,stop,1
