symbol,ATOMUSDT,DOGEUSDT,ETHUSDT,FILUSDT,GRAMUSDT,IMXUSDT,PEPEUSDT,RENDERUSDT,SHIBUSDT,SOLUSDT,TONUSDT,VETUSDT,XLMUSDT
ATOMUSDT,1.0,0.305,0.352,0.353,0.18,0.306,0.236,0.349,0.329,0.302,0.174,0.37,0.239
DOGEUSDT,0.305,1.0,0.394,0.214,0.201,0.305,0.442,0.374,0.431,0.377,0.19,0.406,0.356
ETHUSDT,0.352,0.394,1.0,0.298,0.179,0.289,0.301,0.405,0.413,0.405,0.159,0.351,0.299
FILUSDT,0.353,0.214,0.298,1.0,0.15,0.265,0.166,0.461,0.207,0.297,0.145,0.237,0.212
GRAMUSDT,0.18,0.201,0.179,0.15,1.0,0.17,0.192,0.261,0.251,0.161,0.959,0.278,0.157
IMXUSDT,0.306,0.305,0.289,0.265,0.17,1.0,0.279,0.244,0.259,0.278,0.165,0.241,0.243
PEPEUSDT,0.236,0.442,0.301,0.166,0.192,0.279,1.0,0.358,0.397,0.3,0.177,0.382,0.308
RENDERUSDT,0.349,0.374,0.405,0.461,0.261,0.244,0.358,1.0,0.352,0.393,0.248,0.389,0.377
SHIBUSDT,0.329,0.431,0.413,0.207,0.251,0.259,0.397,0.352,1.0,0.342,0.223,0.372,0.247
SOLUSDT,0.302,0.377,0.405,0.297,0.161,0.278,0.3,0.393,0.342,1.0,0.15,0.337,0.316
TONUSDT,0.174,0.19,0.159,0.145,0.959,0.165,0.177,0.248,0.223,0.15,1.0,0.268,0.156
VETUSDT,0.37,0.406,0.351,0.237,0.278,0.241,0.382,0.389,0.372,0.337,0.268,1.0,0.321
XLMUSDT,0.239,0.356,0.299,0.212,0.157,0.243,0.308,0.377,0.247,0.316,0.156,0.321,1.0
