symbol,NOVA_EPS,NOVA_FVG_MIN,NOVA_MSS_WINDOW,net,trades,win_pct,pf
GRAMUSDT,2.0,0.1,8,-7.5691741121694776,10,50.0,0.678453758979771
GRAMUSDT,2.0,0.1,12,-18.124555102740995,17,47.06,0.5850392251133864
GRAMUSDT,2.0,0.1,20,-34.899267140616594,44,50.0,0.6831509354531083
GRAMUSDT,2.0,0.2,8,-7.5691741121694776,10,50.0,0.678453758979771
GRAMUSDT,2.0,0.2,12,-21.31870510274094,16,43.75,0.5119093219742136
GRAMUSDT,2.0,0.2,20,-49.22609455703587,40,45.0,0.5530782366045385
GRAMUSDT,2.0,0.3,8,-10.763324112169457,9,44.44,0.542763007183816
GRAMUSDT,2.0,0.3,12,-24.512855102740915,15,40.0,0.4387794188350396
GRAMUSDT,2.0,0.3,20,-58.80854455703591,37,40.54,0.46607955246787974
GRAMUSDT,2.8,0.1,8,-6.974954696932709,8,50.0,0.6468655351967834
GRAMUSDT,2.8,0.1,12,-27.20896478033658,16,43.75,0.4510781821520424
GRAMUSDT,2.8,0.1,20,-42.975472980320404,38,47.37,0.592434656722396
GRAMUSDT,2.8,0.2,8,-6.974954696932709,8,50.0,0.6468655351967834
GRAMUSDT,2.8,0.2,12,-30.403114780336516,15,40.0,0.38663844184460794
GRAMUSDT,2.8,0.2,20,-54.10815039673973,35,42.86,0.48685598176750927
GRAMUSDT,2.8,0.3,8,-10.169104696932688,7,42.86,0.4851491513975857
GRAMUSDT,2.8,0.3,12,-33.5972647803365,14,35.71,0.32219870153717256
GRAMUSDT,2.8,0.3,20,-63.69060039673977,32,37.5,0.39597915708476733
GRAMUSDT,3.5,0.1,8,-1.2592826960602688,7,57.14,0.9102811897670136
GRAMUSDT,3.5,0.1,12,-10.803083972155882,12,50.0,0.6395124883210882
GRAMUSDT,3.5,0.1,20,-21.612085649905048,30,50.0,0.7098991971626498
GRAMUSDT,3.5,0.2,8,-1.2592826960602688,7,57.14,0.9102811897670136
GRAMUSDT,3.5,0.2,12,-13.997233972155819,11,45.45,0.5329270736009073
GRAMUSDT,3.5,0.2,20,-29.550613066324253,28,46.43,0.6033396908680942
GRAMUSDT,3.5,0.3,8,-4.45343269606025,6,50.0,0.6827108923252575
GRAMUSDT,3.5,0.3,12,-17.1913839721558,10,40.0,0.42634165888072495
GRAMUSDT,3.5,0.3,20,-39.13306306632429,25,40.0,0.47471367655461727
