symbol,NOVA_EPS,NOVA_FVG_MIN,NOVA_MSS_WINDOW,net,trades,win_pct,pf
RENDERUSDT,2.0,0.1,8,10.908363289571044,10,80.0,1.4102045808293364
RENDERUSDT,2.0,0.1,12,-27.54270113366529,22,63.64,0.6768330737656312
RENDERUSDT,2.0,0.1,20,-0.8013163645131858,52,71.15,0.9945253966753819
RENDERUSDT,2.0,0.2,8,10.908363289571044,10,80.0,1.4102045808293364
RENDERUSDT,2.0,0.2,12,-34.95001667202803,20,60.0,0.589920777743407
RENDERUSDT,2.0,0.2,20,-18.4749801896008,48,68.75,0.8767333378985823
RENDERUSDT,2.0,0.3,8,7.714213289570997,9,77.78,1.2900898645264136
RENDERUSDT,2.0,0.3,12,-38.14416667202808,19,57.89,0.5524428400341741
RENDERUSDT,2.0,0.3,20,-27.486310108009995,47,68.09,0.8166089670609785
RENDERUSDT,2.8,0.1,8,-7.427595060676614,8,75.0,0.7206882978175262
RENDERUSDT,2.8,0.1,12,-38.39325458896401,18,61.11,0.4778481360005665
RENDERUSDT,2.8,0.1,20,-43.61036233317893,41,63.41,0.7050839447955046
RENDERUSDT,2.8,0.2,8,-7.427595060676614,8,75.0,0.7206882978175262
RENDERUSDT,2.8,0.2,12,-41.58740458896399,17,58.82,0.4344073963641515
RENDERUSDT,2.8,0.2,20,-43.077051552600835,38,63.16,0.69438540077791
RENDERUSDT,2.8,0.3,8,-10.621745060676663,7,71.43,0.6005735815146034
RENDERUSDT,2.8,0.3,12,-44.781554588964035,16,56.25,0.3909666567277355
RENDERUSDT,2.8,0.3,20,-52.08838147101003,37,62.16,0.630453588311363
RENDERUSDT,3.5,0.1,8,-10.621745060676549,7,71.43,0.6005735815146076
RENDERUSDT,3.5,0.1,12,-41.03555170492279,13,53.85,0.352696434691281
RENDERUSDT,3.5,0.1,20,-51.66446901561276,30,60.0,0.553391058976646
RENDERUSDT,3.5,0.2,8,-10.621745060676549,7,71.43,0.6005735815146076
RENDERUSDT,3.5,0.2,12,-44.22970170492277,12,50.0,0.3023112297353842
RENDERUSDT,3.5,0.2,20,-61.56116832042179,28,57.14,0.48350422429898765
RENDERUSDT,3.5,0.3,8,-13.815895060676596,6,66.67,0.48045886521168485
RENDERUSDT,3.5,0.3,12,-47.42385170492281,11,45.45,0.25192602477948645
RENDERUSDT,3.5,0.3,20,-64.75531832042184,27,55.56,0.45670543170024264
