symbol,NOVA_EPS,NOVA_FVG_MIN,NOVA_MSS_WINDOW,net,trades,win_pct,pf
XLMUSDT,2.0,0.1,8,-2.8400879795167913,17,64.71,0.9266433079958555
XLMUSDT,2.0,0.1,12,-24.52183104683865,26,53.85,0.6857223541291403
XLMUSDT,2.0,0.1,20,-74.57329428810537,60,51.67,0.629103462996935
XLMUSDT,2.0,0.2,8,-2.8400879795167913,17,64.71,0.9266433079958555
XLMUSDT,2.0,0.2,12,-24.52183104683865,26,53.85,0.6857223541291403
XLMUSDT,2.0,0.2,20,-80.96159428810535,58,50.0,0.5973307168690414
XLMUSDT,2.0,0.3,8,-2.8400879795167913,17,64.71,0.9266433079958555
XLMUSDT,2.0,0.3,12,-24.52183104683865,26,53.85,0.6857223541291403
XLMUSDT,2.0,0.3,20,-80.96159428810535,58,50.0,0.5973307168690414
XLMUSDT,2.8,0.1,8,11.229521829061394,12,75.0,1.613741672241076
XLMUSDT,2.8,0.1,12,-9.608144371565563,22,59.09,0.8337114706514068
XLMUSDT,2.8,0.1,20,-13.388135226204374,46,60.87,0.8955328645615638
XLMUSDT,2.8,0.2,8,11.229521829061394,12,75.0,1.613741672241076
XLMUSDT,2.8,0.2,12,-9.608144371565563,22,59.09,0.8337114706514068
XLMUSDT,2.8,0.2,20,-19.77643522620435,44,59.09,0.84568519047958
XLMUSDT,2.8,0.3,8,11.229521829061394,12,75.0,1.613741672241076
XLMUSDT,2.8,0.3,12,-9.608144371565563,22,59.09,0.8337114706514068
XLMUSDT,2.8,0.3,20,-19.77643522620435,44,59.09,0.84568519047958
XLMUSDT,3.5,0.1,8,4.8026308115983145,10,70.0,1.2624844325818667
XLMUSDT,3.5,0.1,12,-1.1212204953826586,16,62.5,0.9717377327048988
XLMUSDT,3.5,0.1,20,-29.15270829435936,30,56.67,0.6827656580594911
XLMUSDT,3.5,0.2,8,4.8026308115983145,10,70.0,1.2624844325818667
XLMUSDT,3.5,0.2,12,-1.1212204953826586,16,62.5,0.9717377327048988
XLMUSDT,3.5,0.2,20,-29.152708294359407,30,56.67,0.6827656580594905
XLMUSDT,3.5,0.3,8,4.8026308115983145,10,70.0,1.2624844325818667
XLMUSDT,3.5,0.3,12,-1.1212204953826586,16,62.5,0.9717377327048988
XLMUSDT,3.5,0.3,20,-29.152708294359407,30,56.67,0.6827656580594905
