symbol,NOVA_RSI2_OS,NOVA_SMA_TREND,NOVA_SMA_PULL,net,trades,win_pct,pf
FILUSDT,5,100,3,9.97662050821824,120,87.5,2.3271514034029535
FILUSDT,5,100,5,9.97662050821824,120,87.5,2.3271514034029535
FILUSDT,5,100,10,9.97662050821824,120,87.5,2.3271514034029535
FILUSDT,5,200,3,14.324803272832488,152,89.47,2.705257521777318
FILUSDT,5,200,5,14.324803272832488,152,89.47,2.705257521777318
FILUSDT,5,200,10,14.324803272832488,152,89.47,2.705257521777318
FILUSDT,10,100,3,16.438292368253954,299,86.62,1.756407359602944
FILUSDT,10,100,5,16.438292368253954,299,86.62,1.756407359602944
FILUSDT,10,100,10,16.318049924442896,298,86.58,1.7508744084059586
FILUSDT,10,200,3,21.468565807451178,345,86.96,1.8672887104649056
FILUSDT,10,200,5,21.468565807451178,345,86.96,1.8672887104649056
FILUSDT,10,200,10,21.34832336364012,344,86.92,1.8624311473201964
FILUSDT,15,100,3,34.13984872945367,491,87.98,2.1647634404673193
FILUSDT,15,100,5,34.13984872945367,491,87.98,2.1647634404673193
FILUSDT,15,100,10,31.35717622506545,478,87.66,2.070905274110888
FILUSDT,15,200,3,39.89781566750074,561,88.24,2.201164821430847
FILUSDT,15,200,5,39.89781566750074,561,88.24,2.201164821430847
FILUSDT,15,200,10,37.33773245032559,549,87.98,2.1250915917264
