symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
GRAMUSDT,F_001_rsi2_snap,2025-01-04T02:00:00+00:00,2025-01-04T04:00:00+00:00,5.777501,5.795955,20.0,0.0639,,stop,2
GRAMUSDT,F_001_rsi2_snap,2025-01-05T01:00:00+00:00,2025-01-05T08:00:00+00:00,5.709413,5.627088,20.0,-0.2884,,stop,7
GRAMUSDT,F_001_rsi2_snap,2025-01-05T09:00:00+00:00,2025-01-05T13:00:00+00:00,5.682378,5.700528,20.0,0.0639,,stop,4
GRAMUSDT,F_001_rsi2_snap,2025-01-06T09:00:00+00:00,2025-01-06T12:00:00+00:00,5.683379,5.701532,20.0,0.0639,,stop,3
GRAMUSDT,F_001_rsi2_snap,2025-01-16T23:00:00+00:00,2025-01-17T00:00:00+00:00,5.465095,5.482552,20.0,0.0639,,stop,1
GRAMUSDT,F_001_rsi2_snap,2025-02-15T07:00:00+00:00,2025-02-15T14:00:00+00:00,3.828971,3.760505,20.0,-0.3576,,stop,7
GRAMUSDT,F_001_rsi2_snap,2025-02-15T09:00:00+00:00,2025-02-15T14:00:00+00:00,3.801936,3.735502,20.0,-0.3495,,stop,5
GRAMUSDT,F_001_rsi2_snap,2025-03-16T12:00:00+00:00,2025-03-16T13:00:00+00:00,3.376384,3.409828,20.0,0.1981,,stop,1
GRAMUSDT,F_001_rsi2_snap,2025-03-20T11:00:00+00:00,2025-03-20T12:00:00+00:00,3.589661,3.618389,20.0,0.1601,,stop,1
GRAMUSDT,F_001_rsi2_snap,2025-03-21T10:00:00+00:00,2025-03-21T11:00:00+00:00,3.617697,3.632981,20.0,0.0845,,stop,1
GRAMUSDT,F_001_rsi2_snap,2025-03-21T13:00:00+00:00,2025-03-21T15:00:00+00:00,3.55061,3.561951,20.0,0.0639,,stop,2
GRAMUSDT,F_001_rsi2_snap,2025-03-24T21:00:00+00:00,2025-03-24T22:00:00+00:00,3.682781,3.695773,20.0,0.0706,,stop,1
GRAMUSDT,F_001_rsi2_snap,2025-03-28T06:00:00+00:00,2025-03-28T07:00:00+00:00,3.952131,4.037508,20.0,0.4321,,stop,1
GRAMUSDT,F_001_rsi2_snap,2025-03-28T16:00:00+00:00,2025-03-29T02:00:00+00:00,3.903067,3.750899,20.0,-0.7797,,stop,10
GRAMUSDT,F_001_rsi2_snap,2025-03-28T18:00:00+00:00,2025-03-28T19:00:00+00:00,3.846995,3.859282,20.0,0.0639,,stop,1
GRAMUSDT,F_001_rsi2_snap,2025-03-28T20:00:00+00:00,2025-03-28T21:00:00+00:00,3.809947,3.830328,20.0,0.107,,stop,1
GRAMUSDT,F_001_rsi2_snap,2025-04-01T17:00:00+00:00,2025-04-01T18:00:00+00:00,4.01321,4.026029,20.0,0.0639,,stop,1
GRAMUSDT,F_001_rsi2_snap,2025-04-02T03:00:00+00:00,2025-04-02T04:00:00+00:00,3.976162,3.988863,20.0,0.0639,,stop,1
GRAMUSDT,F_001_rsi2_snap,2025-04-17T23:00:00+00:00,2025-04-18T02:00:00+00:00,2.942821,2.952221,20.0,0.0639,,stop,3
GRAMUSDT,F_001_rsi2_snap,2025-04-19T12:00:00+00:00,2025-04-19T16:00:00+00:00,2.976865,2.986373,20.0,0.0639,,stop,4
