symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
GRAMUSDT,F_008_turtle_soup,2025-01-07T21:00:00+00:00,2025-01-07T22:00:00+00:00,5.376981,5.394156,20.0,0.0639,,stop,1
GRAMUSDT,F_008_turtle_soup,2025-01-09T21:00:00+00:00,2025-01-09T22:00:00+00:00,5.157696,5.174171,20.0,0.0639,,stop,1
GRAMUSDT,F_008_turtle_soup,2025-01-18T09:00:00+00:00,2025-01-18T12:00:00+00:00,5.365967,5.383106,20.0,0.0639,,stop,3
GRAMUSDT,F_008_turtle_soup,2025-01-19T10:00:00+00:00,2025-01-19T11:00:00+00:00,5.113639,4.985721,20.0,-0.5003,,stop,1
GRAMUSDT,F_008_turtle_soup,2025-01-19T23:00:00+00:00,2025-01-20T00:00:00+00:00,4.938412,4.751227,20.0,-0.7581,,stop,1
GRAMUSDT,F_008_turtle_soup,2025-01-25T02:00:00+00:00,2025-01-25T04:00:00+00:00,5.062573,5.078743,20.0,0.0639,,stop,2
GRAMUSDT,F_008_turtle_soup,2025-01-27T08:00:00+00:00,2025-01-27T09:00:00+00:00,4.802235,4.817574,20.0,0.0639,,stop,1
GRAMUSDT,F_008_turtle_soup,2025-02-07T23:00:00+00:00,2025-02-08T00:00:00+00:00,3.68178,3.704744,20.0,0.1247,,stop,1
GRAMUSDT,F_008_turtle_soup,2025-02-16T20:00:00+00:00,2025-02-16T21:00:00+00:00,3.78191,3.79399,20.0,0.0639,,stop,1
GRAMUSDT,F_008_turtle_soup,2025-02-18T18:00:00+00:00,2025-02-18T19:00:00+00:00,3.60468,3.627997,20.0,0.1294,,stop,1
GRAMUSDT,F_008_turtle_soup,2025-02-26T15:00:00+00:00,2025-02-26T16:00:00+00:00,3.553614,3.590448,20.0,0.2073,,stop,1
GRAMUSDT,F_008_turtle_soup,2025-03-04T15:00:00+00:00,2025-03-04T16:00:00+00:00,3.058972,3.068742,20.0,0.0639,,stop,1
GRAMUSDT,F_008_turtle_soup,2025-03-08T23:00:00+00:00,2025-03-09T03:00:00+00:00,2.963848,2.917194,20.0,-0.3148,,stop,4
GRAMUSDT,F_008_turtle_soup,2025-03-10T00:00:00+00:00,2025-03-10T01:00:00+00:00,2.653445,2.683356,20.0,0.2254,,stop,1
GRAMUSDT,F_008_turtle_soup,2025-03-28T19:00:00+00:00,2025-03-28T20:00:00+00:00,3.848997,3.861291,20.0,0.0639,,stop,1
