symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
RENDERUSDT,F_008_turtle_soup,2025-01-03T02:00:00+00:00,2025-01-03T03:00:00+00:00,7.63291,7.700802,20.0,0.1779,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-01-05T15:00:00+00:00,2025-01-05T16:00:00+00:00,8.046447,8.073291,20.0,0.0667,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-01-07T21:00:00+00:00,2025-01-07T22:00:00+00:00,8.203651,8.255688,20.0,0.1269,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-01-09T21:00:00+00:00,2025-01-09T22:00:00+00:00,7.050153,7.072673,20.0,0.0639,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-01-11T05:00:00+00:00,2025-01-11T06:00:00+00:00,7.137266,7.160064,20.0,0.0639,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-01-18T09:00:00+00:00,2025-01-18T12:00:00+00:00,7.518762,7.543045,20.0,0.0646,,stop,3
RENDERUSDT,F_008_turtle_soup,2025-01-19T10:00:00+00:00,2025-01-19T11:00:00+00:00,7.133261,6.873029,20.0,-0.7296,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-01-20T17:00:00+00:00,2025-01-20T17:00:00+00:00,6.987071,6.577081,20.0,-1.1736,,stop,0
RENDERUSDT,F_008_turtle_soup,2025-01-21T05:00:00+00:00,2025-01-21T06:00:00+00:00,6.599568,6.620648,20.0,0.0639,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-01-23T00:00:00+00:00,2025-01-23T09:00:00+00:00,7.061168,6.80588,20.0,-0.7231,,stop,9
RENDERUSDT,F_008_turtle_soup,2025-01-28T10:00:00+00:00,2025-01-28T16:00:00+00:00,6.06187,6.081233,20.0,0.0639,,stop,6
RENDERUSDT,F_008_turtle_soup,2025-01-29T20:00:00+00:00,2025-01-29T21:00:00+00:00,5.600271,5.825746,20.0,0.8052,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-01-31T22:00:00+00:00,2025-01-31T23:00:00+00:00,5.837579,5.862605,20.0,0.0857,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-02-07T23:00:00+00:00,2025-02-08T00:00:00+00:00,4.055265,4.133306,20.0,0.3849,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-02-12T15:00:00+00:00,2025-02-12T16:00:00+00:00,4.360662,4.425691,20.0,0.2983,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-02-16T15:00:00+00:00,2025-02-16T16:00:00+00:00,4.525876,4.540332,20.0,0.0639,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-02-17T06:00:00+00:00,2025-02-17T07:00:00+00:00,4.447775,4.461981,20.0,0.0639,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-02-23T00:00:00+00:00,2025-02-23T01:00:00+00:00,4.272547,4.286194,20.0,0.0639,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-02-25T11:00:00+00:00,2025-02-25T12:00:00+00:00,3.457489,3.541551,20.0,0.4863,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-02-26T15:00:00+00:00,2025-02-26T16:00:00+00:00,3.746865,3.843915,20.0,0.518,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-03-03T08:00:00+00:00,2025-03-03T09:00:00+00:00,4.212469,4.225924,20.0,0.0639,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-03-04T03:00:00+00:00,2025-03-04T04:00:00+00:00,3.570636,3.616393,20.0,0.2563,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-03-04T16:00:00+00:00,2025-03-04T16:00:00+00:00,3.459492,3.266668,20.0,-1.1148,,stop,0
RENDERUSDT,F_008_turtle_soup,2025-03-07T23:00:00+00:00,2025-03-09T06:00:00+00:00,3.631715,3.424115,20.0,-1.1433,,stop,31
RENDERUSDT,F_008_turtle_soup,2025-03-13T07:00:00+00:00,2025-03-13T08:00:00+00:00,2.982873,2.997085,20.0,0.0953,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-03-13T22:00:00+00:00,2025-03-13T23:00:00+00:00,2.893757,2.954785,20.0,0.4218,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-03-21T14:00:00+00:00,2025-03-21T15:00:00+00:00,3.205161,3.215399,20.0,0.0639,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-03-25T00:00:00+00:00,2025-03-25T01:00:00+00:00,3.792924,3.815378,20.0,0.1184,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-03-26T20:00:00+00:00,2025-03-26T21:00:00+00:00,3.978165,3.993787,20.0,0.0785,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-03-28T01:00:00+00:00,2025-03-28T02:00:00+00:00,3.93611,3.949932,20.0,0.0702,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-04-06T12:00:00+00:00,2025-04-06T12:00:00+00:00,3.065981,2.997507,20.0,-0.4467,,stop,0
RENDERUSDT,F_008_turtle_soup,2025-04-07T00:00:00+00:00,2025-04-07T02:00:00+00:00,2.787619,2.870961,20.0,0.5979,,stop,2
RENDERUSDT,F_008_turtle_soup,2025-04-09T02:00:00+00:00,2025-04-09T03:00:00+00:00,2.886748,2.900405,20.0,0.0946,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-04-22T07:00:00+00:00,2025-04-22T08:00:00+00:00,4.361663,4.376521,20.0,0.0681,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-04-23T16:00:00+00:00,2025-04-23T18:00:00+00:00,4.607983,4.6247,20.0,0.0726,,stop,2
RENDERUSDT,F_008_turtle_soup,2025-04-26T14:00:00+00:00,2025-04-26T16:00:00+00:00,4.381689,4.43567,20.0,0.2464,,stop,2
RENDERUSDT,F_008_turtle_soup,2025-04-27T14:00:00+00:00,2025-04-27T15:00:00+00:00,4.388698,4.402716,20.0,0.0639,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-04-29T14:00:00+00:00,2025-04-29T15:00:00+00:00,4.477814,4.499116,20.0,0.0951,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-05-14T04:00:00+00:00,2025-05-14T05:00:00+00:00,5.255824,5.30085,20.0,0.1713,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-05-15T07:00:00+00:00,2025-05-15T07:00:00+00:00,4.940414,4.77263,20.0,-0.6792,,stop,0
RENDERUSDT,F_008_turtle_soup,2025-05-15T22:00:00+00:00,2025-05-15T23:00:00+00:00,4.768191,4.808885,20.0,0.1707,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-05-16T00:00:00+00:00,2025-05-16T01:00:00+00:00,4.773197,4.845807,20.0,0.3042,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-05-18T21:00:00+00:00,2025-05-18T22:00:00+00:00,4.496838,4.564399,20.0,0.3005,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-05-19T06:00:00+00:00,2025-05-19T07:00:00+00:00,4.400714,4.419379,20.0,0.0848,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-05-20T12:00:00+00:00,2025-05-20T18:00:00+00:00,4.589959,4.61274,20.0,0.0993,,stop,6
RENDERUSDT,F_008_turtle_soup,2025-05-25T10:00:00+00:00,2025-05-25T13:00:00+00:00,4.558919,4.587822,20.0,0.1268,,stop,3
RENDERUSDT,F_008_turtle_soup,2025-05-27T20:00:00+00:00,2025-05-27T21:00:00+00:00,4.73715,4.752281,20.0,0.0639,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-05-29T09:00:00+00:00,2025-05-29T16:00:00+00:00,4.430753,4.29559,20.0,-0.6101,,stop,7
RENDERUSDT,F_008_turtle_soup,2025-05-31T00:00:00+00:00,2025-05-31T01:00:00+00:00,3.811949,3.642636,20.0,-0.8883,,stop,1
RENDERUSDT,F_008_turtle_soup,2025-06-02T11:00:00+00:00,2025-06-02T13:00:00+00:00,3.81996,3.837305,20.0,0.0908,,stop,2
RENDERUSDT,F_008_turtle_soup,2025-06-04T15:00:00+00:00,2025-06-04T16:00:00+00:00,3.90507,3.927008,20.0,0.1124,,stop,1
