symbol,NOVA_LOOKBACK,NOVA_WICK_RATIO,net,trades,win_pct,pf
BTCUSDT,10,0.5,-8.203025531188036,197,64.47,0.5552085564174473
BTCUSDT,10,0.6,-5.378423088596621,115,65.22,0.540148542765761
BTCUSDT,10,0.7,-3.576627610706422,64,62.5,0.46526409990535567
BTCUSDT,20,0.5,-5.550247441948972,142,69.01,0.57618913708008
BTCUSDT,20,0.6,-5.054404625908979,88,65.91,0.47710390629270866
BTCUSDT,20,0.7,-2.8266258143203964,51,64.71,0.4852635702282231
BTCUSDT,55,0.5,-1.4571841967862857,68,75.0,0.7346141461899129
BTCUSDT,55,0.6,-1.041311471317507,40,75.0,0.7050262643564479
BTCUSDT,55,0.7,-0.5223438689576775,23,73.91,0.714694212139444
ETHUSDT,10,0.5,-6.982006907888899,151,68.21,0.5640595533185785
ETHUSDT,10,0.6,-5.845707406332043,91,62.64,0.45947496763427453
ETHUSDT,10,0.7,-1.0982791590405085,49,73.47,0.7376344968146292
ETHUSDT,20,0.5,-5.127730173788957,97,68.04,0.5385319422826123
ETHUSDT,20,0.6,-2.9521694010794133,60,66.67,0.5492173842246113
ETHUSDT,20,0.7,-0.167861991405734,32,78.12,0.9315459889310592
ETHUSDT,55,0.5,-4.72840714025264,50,62.0,0.3616952438051011
ETHUSDT,55,0.6,-2.9723332655859513,31,58.06,0.3405700340629779
ETHUSDT,55,0.7,-0.5937100301686971,16,68.75,0.6387472892264072
SOLUSDT,10,0.5,12.232317438391282,200,85.5,1.800009705820999
SOLUSDT,10,0.6,6.695693819305987,123,84.55,1.6975323713955457
SOLUSDT,10,0.7,8.062515432689917,68,89.71,3.9639988925465564
SOLUSDT,20,0.5,9.95051567256125,142,85.92,1.9839467302272955
SOLUSDT,20,0.6,5.655009441743933,88,85.23,1.91840223992613
SOLUSDT,20,0.7,5.223258362304467,48,87.5,3.297058944185971
SOLUSDT,55,0.5,6.752484946539258,72,91.67,3.3012541943882465
SOLUSDT,55,0.6,2.958758598503498,43,90.7,2.50102925851007
SOLUSDT,55,0.7,1.8410095139831317,26,92.31,3.332949268066358
XLMUSDT,10,0.5,7.052659364464136,162,83.33,1.8235206821365848
XLMUSDT,10,0.6,6.047077037866653,99,85.86,2.380821805562637
XLMUSDT,10,0.7,3.695955124270502,52,92.31,3.4248130500880674
XLMUSDT,20,0.5,6.381430084577556,116,87.07,2.28344039648641
XLMUSDT,20,0.6,5.226998907480776,73,90.41,3.32831153809184
XLMUSDT,20,0.7,3.1206835103717845,42,95.24,4.782286713813366
XLMUSDT,55,0.5,2.7602239358848077,63,84.13,1.7677294055500885
XLMUSDT,55,0.6,2.657635662028258,42,88.1,2.555584592365283
XLMUSDT,55,0.7,2.1093851524742906,27,92.59,3.556587173932351
LINKUSDT,10,0.5,0.8219369295337511,177,79.66,1.0443302595999033
LINKUSDT,10,0.6,2.4792636243829116,112,81.25,1.2262582496802703
LINKUSDT,10,0.7,0.0168270673088875,59,76.27,1.0021857244491648
LINKUSDT,20,0.5,2.976428066703602,125,84.0,1.254409148066254
LINKUSDT,20,0.6,2.626141453462562,82,84.15,1.337872082089128
LINKUSDT,20,0.7,-0.13658878061597246,46,78.26,0.977364313171403
LINKUSDT,55,0.5,-0.045939109645747156,70,81.43,0.9941484816738146
LINKUSDT,55,0.6,-0.484553650785124,44,79.55,0.9128372977641264
LINKUSDT,55,0.7,-1.3699404921863114,27,74.07,0.6857999481882195
GRAMUSDT,10,0.5,-0.7842328250162613,46,76.09,0.8435455606747524
GRAMUSDT,10,0.6,0.9513934591662252,34,82.35,1.4013320989569296
GRAMUSDT,10,0.7,0.23146686033698136,20,80.0,1.1266218089336435
GRAMUSDT,20,0.5,1.6175687148759945,32,84.38,1.7838289372783873
GRAMUSDT,20,0.6,1.364090670131768,24,87.5,1.9140817594147514
GRAMUSDT,20,0.7,0.43941111660543486,17,82.35,1.2944508714617167
GRAMUSDT,55,0.5,0.49261405324142,17,82.35,1.367956001870476
GRAMUSDT,55,0.6,0.0388363743433994,12,83.33,1.03545139592187
GRAMUSDT,55,0.7,-0.2780298060437379,9,77.78,0.7462032720927136
RENDERUSDT,10,0.5,6.851130367978689,62,88.71,2.51685484617218
RENDERUSDT,10,0.6,5.0578250872393875,38,86.84,2.620704593919667
RENDERUSDT,10,0.7,2.8935015370221118,17,88.24,3.5669239256097036
RENDERUSDT,20,0.5,6.1050970646381355,46,91.3,3.6291068050688575
RENDERUSDT,20,0.6,4.071235237820119,26,88.46,3.2984548879531683
RENDERUSDT,20,0.7,2.5460830532362833,12,91.67,6.068560055240338
RENDERUSDT,55,0.5,3.8784304400795473,32,90.62,3.1073726664436685
RENDERUSDT,55,0.6,2.3964924059163426,18,88.89,2.858344996980548
RENDERUSDT,55,0.7,0.7009348394174512,7,85.71,2.3953709498524716
FILUSDT,10,0.5,9.234038136177386,172,84.88,1.7948923967206487
FILUSDT,10,0.6,6.543449375602933,123,83.74,1.687026510937471
FILUSDT,10,0.7,3.543612702192789,70,84.29,1.6601331118799225
FILUSDT,20,0.5,3.589164428758761,108,83.33,1.4212897794542942
FILUSDT,20,0.6,2.404037502858225,76,82.89,1.357526183526047
FILUSDT,20,0.7,1.6062465897119984,48,83.33,1.373479050292771
FILUSDT,55,0.5,1.9915163249396277,57,85.96,1.4545319024658865
FILUSDT,55,0.6,1.6127900744312198,43,86.05,1.4583362547998164
FILUSDT,55,0.7,-0.12084404233545665,26,80.77,0.9572737189476752
