symbol,NOVA_Z_P,NOVA_Z_TH,NOVA_WICK_RATIO,net,trades,win_pct,pf
LINKUSDT,20,-1.5,0.5,1.6010230104375356,64,84.38,1.291923068130459
LINKUSDT,20,-1.5,0.6,2.275429165710117,50,86.0,1.6348916769166177
LINKUSDT,20,-2.0,0.5,0.2535303609557343,12,83.33,1.2011985098669142
LINKUSDT,20,-2.0,0.6,0.2145548861336826,6,83.33,1.2787768636164156
LINKUSDT,20,-2.5,0.5,0.45904232840535486,2,100.0,inf
LINKUSDT,20,-2.5,0.6,0.45904232840535486,2,100.0,inf
LINKUSDT,30,-1.5,0.5,0.8265456057155705,62,82.26,1.1490260947318156
LINKUSDT,30,-1.5,0.6,2.0167090045637983,52,84.62,1.5405613953375106
LINKUSDT,30,-2.0,0.5,-0.5692418324823562,17,70.59,0.7475958601650358
LINKUSDT,30,-2.0,0.6,-0.5443343073044082,12,66.67,0.6915617704857469
LINKUSDT,30,-2.5,0.5,0.46010199500254567,3,100.0,inf
LINKUSDT,30,-2.5,0.6,0.3962189950025465,2,100.0,inf
LINKUSDT,50,-1.5,0.5,0.485461083639363,61,81.97,1.086595891144841
LINKUSDT,50,-1.5,0.6,0.42190313706637156,52,82.69,1.092128143074913
LINKUSDT,50,-2.0,0.5,0.966959433237803,17,88.24,2.0940540013125926
LINKUSDT,50,-2.0,0.6,0.7753104332378059,14,85.71,1.8772151680686038
LINKUSDT,50,-2.5,0.5,0.2966691798687393,2,100.0,inf
LINKUSDT,50,-2.5,0.6,0.2966691798687393,2,100.0,inf
