symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
XLMUSDT,F_015_zscore_regime,2025-01-05T11:00:00+00:00,2025-01-05T12:00:00+00:00,0.437368,0.438765,20.0,0.0639,,stop,1
XLMUSDT,F_015_zscore_regime,2025-01-07T21:00:00+00:00,2025-01-07T22:00:00+00:00,0.420446,0.425405,20.0,0.2359,,stop,1
XLMUSDT,F_015_zscore_regime,2025-01-07T23:00:00+00:00,2025-01-08T01:00:00+00:00,0.425853,0.431991,20.0,0.2883,,stop,2
XLMUSDT,F_015_zscore_regime,2025-01-18T07:00:00+00:00,2025-01-18T14:00:00+00:00,0.465104,0.473205,20.0,0.3483,,stop,7
XLMUSDT,F_015_zscore_regime,2025-01-18T12:00:00+00:00,2025-01-18T14:00:00+00:00,0.463802,0.473205,20.0,0.4055,,stop,2
XLMUSDT,F_015_zscore_regime,2025-02-16T15:00:00+00:00,2025-02-16T16:00:00+00:00,0.344147,0.345246,20.0,0.0639,,stop,1
XLMUSDT,F_015_zscore_regime,2025-02-17T09:00:00+00:00,2025-02-17T11:00:00+00:00,0.340242,0.343378,20.0,0.1843,,stop,2
XLMUSDT,F_015_zscore_regime,2025-02-17T20:00:00+00:00,2025-02-17T21:00:00+00:00,0.334634,0.335703,20.0,0.0639,,stop,1
XLMUSDT,F_015_zscore_regime,2025-03-21T12:00:00+00:00,2025-03-21T15:00:00+00:00,0.278462,0.279351,20.0,0.0639,,stop,3
XLMUSDT,F_015_zscore_regime,2025-03-26T20:00:00+00:00,2025-03-26T21:00:00+00:00,0.286071,0.28715,20.0,0.0754,,stop,1
XLMUSDT,F_015_zscore_regime,2025-03-27T00:00:00+00:00,2025-03-27T01:00:00+00:00,0.285871,0.288693,20.0,0.1974,,stop,1
XLMUSDT,F_015_zscore_regime,2025-04-16T02:00:00+00:00,2025-04-16T03:00:00+00:00,0.236807,0.237564,20.0,0.0639,,stop,1
XLMUSDT,F_015_zscore_regime,2025-04-29T06:00:00+00:00,2025-04-29T07:00:00+00:00,0.280264,0.281568,20.0,0.0931,,stop,1
XLMUSDT,F_015_zscore_regime,2025-04-30T00:00:00+00:00,2025-04-30T01:00:00+00:00,0.278061,0.278949,20.0,0.0639,,stop,1
XLMUSDT,F_015_zscore_regime,2025-05-15T09:00:00+00:00,2025-05-15T13:00:00+00:00,0.299989,0.291239,20.0,-0.5834,,stop,4
XLMUSDT,F_015_zscore_regime,2025-06-12T13:00:00+00:00,2025-06-12T19:00:00+00:00,0.274957,0.270762,20.0,-0.3052,,stop,6
XLMUSDT,F_015_zscore_regime,2025-08-10T09:00:00+00:00,2025-08-10T15:00:00+00:00,0.441774,0.443185,20.0,0.0639,,stop,6
XLMUSDT,F_015_zscore_regime,2025-09-14T16:00:00+00:00,2025-09-14T17:00:00+00:00,0.387904,0.389143,20.0,0.0639,,stop,1
XLMUSDT,F_015_zscore_regime,2025-09-14T18:00:00+00:00,2025-09-14T22:00:00+00:00,0.391108,0.392357,20.0,0.0639,,stop,4
XLMUSDT,F_015_zscore_regime,2025-10-04T17:00:00+00:00,2025-10-04T21:00:00+00:00,0.390307,0.391553,20.0,0.0639,,stop,4
XLMUSDT,F_015_zscore_regime,2025-11-11T23:00:00+00:00,2025-11-12T06:00:00+00:00,0.284069,0.285256,20.0,0.0836,,stop,7
XLMUSDT,F_015_zscore_regime,2025-12-04T20:00:00+00:00,2025-12-04T21:00:00+00:00,0.252428,0.254059,20.0,0.1293,,stop,1
XLMUSDT,F_015_zscore_regime,2026-01-08T08:00:00+00:00,2026-01-08T09:00:00+00:00,0.230499,0.231236,20.0,0.0639,,stop,1
XLMUSDT,F_015_zscore_regime,2026-01-08T15:00:00+00:00,2026-01-08T16:00:00+00:00,0.228296,0.231912,20.0,0.3168,,stop,1
XLMUSDT,F_015_zscore_regime,2026-02-27T18:00:00+00:00,2026-02-28T01:00:00+00:00,0.158906,0.159414,20.0,0.0639,,stop,7
XLMUSDT,F_015_zscore_regime,2026-03-18T14:00:00+00:00,2026-03-18T15:00:00+00:00,0.16932,0.165347,20.0,-0.4692,,stop,1
XLMUSDT,F_015_zscore_regime,2026-03-18T16:00:00+00:00,2026-03-18T17:00:00+00:00,0.166817,0.167349,20.0,0.0639,,stop,1
XLMUSDT,F_015_zscore_regime,2026-03-18T18:00:00+00:00,2026-03-18T19:00:00+00:00,0.168919,0.170037,20.0,0.1324,,stop,1
XLMUSDT,F_015_zscore_regime,2026-03-27T13:00:00+00:00,2026-03-27T14:00:00+00:00,0.16982,0.170363,20.0,0.0639,,stop,1
XLMUSDT,F_015_zscore_regime,2026-03-27T20:00:00+00:00,2026-03-28T04:00:00+00:00,0.168419,0.164547,20.0,-0.4597,,stop,8
XLMUSDT,F_015_zscore_regime,2026-04-23T21:00:00+00:00,2026-04-23T22:00:00+00:00,0.175828,0.17639,20.0,0.0639,,stop,1
XLMUSDT,F_015_zscore_regime,2026-05-12T20:00:00+00:00,2026-05-13T02:00:00+00:00,0.163112,0.163758,20.0,0.0793,,stop,6
XLMUSDT,F_015_zscore_regime,2026-06-02T07:00:00+00:00,2026-06-02T11:00:00+00:00,0.232902,0.235804,20.0,0.2492,,stop,4
XLMUSDT,F_015_zscore_regime,2026-06-02T17:00:00+00:00,2026-06-02T18:00:00+00:00,0.22299,0.224827,20.0,0.1648,,stop,1
XLMUSDT,F_015_zscore_regime,2026-06-02T20:00:00+00:00,2026-06-02T21:00:00+00:00,0.219185,0.224228,20.0,0.4602,,stop,1
XLMUSDT,F_015_zscore_regime,2026-07-05T11:00:00+00:00,2026-07-05T13:00:00+00:00,0.199459,0.200096,20.0,0.0639,,stop,2
XLMUSDT,F_015_zscore_regime,2026-07-07T06:00:00+00:00,2026-07-07T07:00:00+00:00,0.196255,0.196882,20.0,0.0639,,stop,1
XLMUSDT,F_015_zscore_regime,2026-08-25T17:00:00+00:00,2026-08-25T20:00:00+00:00,0.191048,0.185763,20.0,-0.5532,,stop,3
XLMUSDT,F_015_zscore_regime,2026-08-25T22:00:00+00:00,2026-08-25T23:00:00+00:00,0.18454,0.185129,20.0,0.0639,,stop,1
XLMUSDT,F_015_zscore_regime,2026-08-26T01:00:00+00:00,2026-08-26T02:00:00+00:00,0.183138,0.183792,20.0,0.0714,,stop,1
XLMUSDT,F_015_zscore_regime,2026-08-26T03:00:00+00:00,2026-08-26T13:00:00+00:00,0.185541,0.180149,20.0,-0.5812,,stop,10
