symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ETHUSDT,F_165_score_entry,2025-01-02T01:00:00+00:00,2025-01-02T02:00:00+00:00,3394.316883,3405.15884,20.0,0.0639,,stop,1
ETHUSDT,F_165_score_entry,2025-01-02T05:00:00+00:00,2025-01-02T09:00:00+00:00,3422.132997,3433.063803,20.0,0.0639,,stop,4
ETHUSDT,F_165_score_entry,2025-01-03T14:00:00+00:00,2025-01-03T15:00:00+00:00,3486.386418,3529.216734,20.0,0.2457,,stop,1
ETHUSDT,F_165_score_entry,2025-01-03T17:00:00+00:00,2025-01-03T19:00:00+00:00,3588.939564,3605.571656,20.0,0.0927,,stop,2
ETHUSDT,F_165_score_entry,2025-01-04T13:00:00+00:00,2025-01-04T14:00:00+00:00,3640.256189,3651.883713,20.0,0.0639,,stop,1
ETHUSDT,F_165_score_entry,2025-01-14T10:00:00+00:00,2025-01-14T12:00:00+00:00,3248.11707,3176.877468,20.0,-0.4387,,stop,2
ETHUSDT,F_165_score_entry,2025-01-15T20:00:00+00:00,2025-01-15T21:00:00+00:00,3439.455487,3462.295657,20.0,0.1328,,stop,1
ETHUSDT,F_165_score_entry,2025-01-17T21:00:00+00:00,2025-01-18T02:00:00+00:00,3519.36924,3445.278833,20.0,-0.421,,stop,5
ETHUSDT,F_165_score_entry,2025-01-23T23:00:00+00:00,2025-01-24T00:00:00+00:00,3326.679068,3337.30498,20.0,0.0639,,stop,1
ETHUSDT,F_165_score_entry,2025-01-24T06:00:00+00:00,2025-01-24T14:00:00+00:00,3414.402961,3425.309076,20.0,0.0639,,stop,8
ETHUSDT,F_165_score_entry,2025-01-26T05:00:00+00:00,2025-01-26T09:00:00+00:00,3356.627951,3316.814765,20.0,-0.2372,,stop,4
ETHUSDT,F_165_score_entry,2025-01-30T14:00:00+00:00,2025-01-30T15:00:00+00:00,3267.382082,3277.81859,20.0,0.0639,,stop,1
ETHUSDT,F_165_score_entry,2025-02-09T04:00:00+00:00,2025-02-09T13:00:00+00:00,2682.012089,2630.122764,20.0,-0.3869,,stop,9
ETHUSDT,F_165_score_entry,2025-02-11T01:00:00+00:00,2025-02-11T02:00:00+00:00,2709.11728,2717.770607,20.0,0.0639,,stop,1
ETHUSDT,F_165_score_entry,2025-02-12T23:00:00+00:00,2025-02-13T00:00:00+00:00,2749.16928,2757.950539,20.0,0.0639,,stop,1
ETHUSDT,F_165_score_entry,2025-02-14T18:00:00+00:00,2025-02-14T19:00:00+00:00,2777.566148,2786.438111,20.0,0.0639,,stop,1
ETHUSDT,F_165_score_entry,2025-02-17T09:00:00+00:00,2025-02-17T10:00:00+00:00,2718.118967,2732.828958,20.0,0.1082,,stop,1
ETHUSDT,F_165_score_entry,2025-02-21T14:00:00+00:00,2025-02-21T14:00:00+00:00,2840.007216,2791.38084,20.0,-0.3424,,stop,0
ETHUSDT,F_165_score_entry,2025-02-22T16:00:00+00:00,2025-02-22T17:00:00+00:00,2779.278371,2788.255589,20.0,0.0646,,stop,1
ETHUSDT,F_165_score_entry,2025-02-23T08:00:00+00:00,2025-02-23T11:00:00+00:00,2828.87276,2786.197417,20.0,-0.3017,,stop,3
ETHUSDT,F_165_score_entry,2025-03-02T10:00:00+00:00,2025-03-02T11:00:00+00:00,2245.124873,2253.385106,20.0,0.0736,,stop,1
ETHUSDT,F_165_score_entry,2025-03-17T19:00:00+00:00,2025-03-18T01:00:00+00:00,1951.093128,1911.606234,20.0,-0.4048,,stop,6
ETHUSDT,F_165_score_entry,2025-03-19T01:00:00+00:00,2025-03-19T11:00:00+00:00,1947.888968,1986.112461,20.0,0.3925,,stop,10
ETHUSDT,F_165_score_entry,2025-03-19T16:00:00+00:00,2025-03-19T18:00:00+00:00,2051.6637,2006.507559,20.0,-0.4402,,stop,2
ETHUSDT,F_165_score_entry,2025-03-24T05:00:00+00:00,2025-03-24T06:00:00+00:00,2042.932364,2049.457796,20.0,0.0639,,stop,1
ETHUSDT,F_165_score_entry,2025-03-24T07:00:00+00:00,2025-03-24T08:00:00+00:00,2069.316619,2075.926327,20.0,0.0639,,stop,1
ETHUSDT,F_165_score_entry,2025-03-24T09:00:00+00:00,2025-03-24T11:00:00+00:00,2093.177598,2099.863521,20.0,0.0639,,stop,2
ETHUSDT,F_165_score_entry,2025-04-01T07:00:00+00:00,2025-04-01T09:00:00+00:00,1860.084971,1888.577613,20.0,0.3064,,stop,2
ETHUSDT,F_165_score_entry,2025-04-12T13:00:00+00:00,2025-04-12T14:00:00+00:00,1609.319399,1643.533034,20.0,0.4252,,stop,1
ETHUSDT,F_165_score_entry,2025-04-14T11:00:00+00:00,2025-04-14T12:00:00+00:00,1681.022492,1686.39193,20.0,0.0639,,stop,1
ETHUSDT,F_165_score_entry,2025-04-21T02:00:00+00:00,2025-04-21T03:00:00+00:00,1630.757232,1640.024293,20.0,0.1137,,stop,1
ETHUSDT,F_165_score_entry,2025-04-22T22:00:00+00:00,2025-04-22T23:00:00+00:00,1756.48046,1762.090922,20.0,0.0639,,stop,1
ETHUSDT,F_165_score_entry,2025-04-27T01:00:00+00:00,2025-04-27T01:00:00+00:00,1844.434652,1813.452666,20.0,-0.336,,stop,0
ETHUSDT,F_165_score_entry,2025-04-29T09:00:00+00:00,2025-04-29T11:00:00+00:00,1834.892263,1840.753184,20.0,0.0639,,stop,2
ETHUSDT,F_165_score_entry,2025-05-06T23:00:00+00:00,2025-05-07T00:00:00+00:00,1813.45443,1819.246875,20.0,0.0639,,stop,1
ETHUSDT,F_165_score_entry,2025-05-08T11:00:00+00:00,2025-05-08T13:00:00+00:00,1963.5493,1970.740183,20.0,0.0732,,stop,2
ETHUSDT,F_165_score_entry,2025-05-08T20:00:00+00:00,2025-05-08T21:00:00+00:00,2120.583179,2195.033023,20.0,0.7022,,stop,1
ETHUSDT,F_165_score_entry,2025-05-09T08:00:00+00:00,2025-05-09T09:00:00+00:00,2367.163317,2485.541973,20.0,1.0002,,stop,1
ETHUSDT,F_165_score_entry,2025-05-10T08:00:00+00:00,2025-05-10T09:00:00+00:00,2403.130013,2430.607521,20.0,0.2287,,stop,1
ETHUSDT,F_165_score_entry,2025-05-10T23:00:00+00:00,2025-05-11T00:00:00+00:00,2580.560373,2591.42676,20.0,0.0842,,stop,1
ETHUSDT,F_165_score_entry,2025-05-13T14:00:00+00:00,2025-05-13T16:00:00+00:00,2552.974558,2565.382921,20.0,0.0972,,stop,2
ETHUSDT,F_165_score_entry,2025-05-13T17:00:00+00:00,2025-05-13T18:00:00+00:00,2600.87675,2613.354217,20.0,0.0959,,stop,1
ETHUSDT,F_165_score_entry,2025-05-13T19:00:00+00:00,2025-05-13T20:00:00+00:00,2673.420935,2732.751998,20.0,0.4439,,stop,1
ETHUSDT,F_165_score_entry,2025-05-18T14:00:00+00:00,2025-05-18T15:00:00+00:00,2545.494847,2561.336309,20.0,0.1245,,stop,1
ETHUSDT,F_165_score_entry,2025-05-18T16:00:00+00:00,2025-05-18T17:00:00+00:00,2582.3527,2533.69889,20.0,-0.3768,,stop,1
ETHUSDT,F_165_score_entry,2025-05-21T06:00:00+00:00,2025-05-21T07:00:00+00:00,2596.991706,2607.324166,20.0,0.0796,,stop,1
ETHUSDT,F_165_score_entry,2025-05-22T04:00:00+00:00,2025-05-22T06:00:00+00:00,2632.658012,2641.067117,20.0,0.0639,,stop,2
ETHUSDT,F_165_score_entry,2025-05-25T23:00:00+00:00,2025-05-26T01:00:00+00:00,2552.473908,2566.110514,20.0,0.1069,,stop,2
ETHUSDT,F_165_score_entry,2025-05-27T09:00:00+00:00,2025-05-27T10:00:00+00:00,2638.615747,2647.043881,20.0,0.0639,,stop,1
ETHUSDT,F_165_score_entry,2025-05-27T18:00:00+00:00,2025-05-27T19:00:00+00:00,2699.254475,2707.876299,20.0,0.0639,,stop,1
ETHUSDT,F_165_score_entry,2025-05-29T01:00:00+00:00,2025-05-29T03:00:00+00:00,2725.03795,2782.1481,20.0,0.4192,,stop,2
ETHUSDT,F_165_score_entry,2025-06-03T00:00:00+00:00,2025-06-03T01:00:00+00:00,2610.809646,2619.148964,20.0,0.0639,,stop,1
ETHUSDT,F_165_score_entry,2025-06-03T02:00:00+00:00,2025-06-03T03:00:00+00:00,2649.549943,2592.553807,20.0,-0.4302,,stop,1
ETHUSDT,F_165_score_entry,2025-06-07T23:00:00+00:00,2025-06-08T01:00:00+00:00,2538.69602,2510.680744,20.0,-0.2207,,stop,2
