symbol,NOVA_SCORE_TH,NOVA_FLOW_MOM,NOVA_VOL_MOM,net,trades,win_pct,pf
SOLUSDT,70,2.5,2.0,19.89609651191616,248,85.08,2.0255893757920496
SOLUSDT,70,2.5,2.5,17.972827692231732,223,84.3,2.019201978517609
SOLUSDT,70,2.5,3.0,15.485960617925778,200,83.5,1.9452734754592187
SOLUSDT,70,3.0,2.0,18.894009008128048,238,85.29,2.0296936681355633
SOLUSDT,70,3.0,2.5,17.098506188443615,215,84.65,2.0310428966997636
SOLUSDT,70,3.0,3.0,15.209149667812797,196,84.18,1.991987119046574
SOLUSDT,70,4.0,2.0,17.101281399801206,212,85.38,2.089222477085314
SOLUSDT,70,4.0,2.5,15.523565449287565,197,84.77,2.020434798954731
SOLUSDT,70,4.0,3.0,14.20462946528378,183,84.15,1.9918890600187977
SOLUSDT,72,2.5,2.0,19.89609651191616,248,85.08,2.0255893757920496
SOLUSDT,72,2.5,2.5,17.972827692231732,223,84.3,2.019201978517609
SOLUSDT,72,2.5,3.0,15.485960617925778,200,83.5,1.9452734754592187
SOLUSDT,72,3.0,2.0,18.894009008128048,238,85.29,2.0296936681355633
SOLUSDT,72,3.0,2.5,17.098506188443615,215,84.65,2.0310428966997636
SOLUSDT,72,3.0,3.0,15.209149667812797,196,84.18,1.991987119046574
SOLUSDT,72,4.0,2.0,17.101281399801206,212,85.38,2.089222477085314
SOLUSDT,72,4.0,2.5,15.523565449287565,197,84.77,2.020434798954731
SOLUSDT,72,4.0,3.0,14.20462946528378,183,84.15,1.9918890600187977
SOLUSDT,75,2.5,2.0,19.89609651191616,248,85.08,2.0255893757920496
SOLUSDT,75,2.5,2.5,17.972827692231732,223,84.3,2.019201978517609
SOLUSDT,75,2.5,3.0,15.485960617925778,200,83.5,1.9452734754592187
SOLUSDT,75,3.0,2.0,18.894009008128048,238,85.29,2.0296936681355633
SOLUSDT,75,3.0,2.5,17.098506188443615,215,84.65,2.0310428966997636
SOLUSDT,75,3.0,3.0,15.209149667812797,196,84.18,1.991987119046574
SOLUSDT,75,4.0,2.0,17.101281399801206,212,85.38,2.089222477085314
SOLUSDT,75,4.0,2.5,15.523565449287565,197,84.77,2.020434798954731
SOLUSDT,75,4.0,3.0,14.20462946528378,183,84.15,1.9918890600187977
