symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
FILUSDT,F_192_ext_entry,2025-01-01T16:00:00+00:00,2025-01-01T17:00:00+00:00,5.065577,5.10626,20.0,0.1606,,stop,1
FILUSDT,F_192_ext_entry,2025-01-01T19:00:00+00:00,2025-01-01T20:00:00+00:00,5.1607,5.177184,20.0,0.0639,,stop,1
FILUSDT,F_192_ext_entry,2025-01-02T01:00:00+00:00,2025-01-02T02:00:00+00:00,5.22178,5.238459,20.0,0.0639,,stop,1
FILUSDT,F_192_ext_entry,2025-01-02T10:00:00+00:00,2025-01-02T11:00:00+00:00,5.285863,5.302747,20.0,0.0639,,stop,1
FILUSDT,F_192_ext_entry,2025-01-03T04:00:00+00:00,2025-01-03T07:00:00+00:00,5.429049,5.270046,20.0,-0.5857,,stop,3
FILUSDT,F_192_ext_entry,2025-01-03T13:00:00+00:00,2025-01-03T14:00:00+00:00,5.48412,5.517746,20.0,0.1226,,stop,1
FILUSDT,F_192_ext_entry,2025-01-05T19:00:00+00:00,2025-01-05T20:00:00+00:00,5.71542,5.836723,20.0,0.4245,,stop,1
FILUSDT,F_192_ext_entry,2025-01-05T23:00:00+00:00,2025-01-06T02:00:00+00:00,5.965745,6.077217,20.0,0.3737,,stop,3
FILUSDT,F_192_ext_entry,2025-01-10T18:00:00+00:00,2025-01-11T21:00:00+00:00,5.246812,5.263571,20.0,0.0639,,stop,27
FILUSDT,F_192_ext_entry,2025-01-11T22:00:00+00:00,2025-01-11T23:00:00+00:00,5.300882,5.19726,20.0,-0.391,,stop,1
FILUSDT,F_192_ext_entry,2025-01-14T10:00:00+00:00,2025-01-14T14:00:00+00:00,5.124653,5.216029,20.0,0.3566,,stop,4
FILUSDT,F_192_ext_entry,2025-01-15T08:00:00+00:00,2025-01-15T09:00:00+00:00,5.271844,5.313823,20.0,0.1593,,stop,1
FILUSDT,F_192_ext_entry,2025-01-15T14:00:00+00:00,2025-01-15T15:00:00+00:00,5.358958,5.455525,20.0,0.3604,,stop,1
FILUSDT,F_192_ext_entry,2025-01-16T00:00:00+00:00,2025-01-16T01:00:00+00:00,5.66135,5.679433,20.0,0.0639,,stop,1
FILUSDT,F_192_ext_entry,2025-01-17T05:00:00+00:00,2025-01-17T06:00:00+00:00,5.886643,5.944496,20.0,0.1966,,stop,1
FILUSDT,F_192_ext_entry,2025-01-21T18:00:00+00:00,2025-01-21T19:00:00+00:00,5.297878,5.331362,20.0,0.1264,,stop,1
FILUSDT,F_192_ext_entry,2025-01-24T11:00:00+00:00,2025-01-24T14:00:00+00:00,5.172716,5.189238,20.0,0.0639,,stop,3
FILUSDT,F_192_ext_entry,2025-01-26T17:00:00+00:00,2025-01-26T18:00:00+00:00,5.081598,5.122226,20.0,0.1599,,stop,1
FILUSDT,F_192_ext_entry,2025-01-30T14:00:00+00:00,2025-01-30T15:00:00+00:00,4.735148,4.802898,20.0,0.2862,,stop,1
FILUSDT,F_192_ext_entry,2025-01-30T23:00:00+00:00,2025-01-31T00:00:00+00:00,4.872326,4.887889,20.0,0.0639,,stop,1
FILUSDT,F_192_ext_entry,2025-02-03T22:00:00+00:00,2025-02-03T23:00:00+00:00,3.539596,3.567496,20.0,0.1576,,stop,1
FILUSDT,F_192_ext_entry,2025-02-07T14:00:00+00:00,2025-02-07T15:00:00+00:00,3.331325,3.374901,20.0,0.2616,,stop,1
FILUSDT,F_192_ext_entry,2025-02-08T18:00:00+00:00,2025-02-08T19:00:00+00:00,3.28126,3.296095,20.0,0.0904,,stop,1
FILUSDT,F_192_ext_entry,2025-02-09T04:00:00+00:00,2025-02-09T13:00:00+00:00,3.379388,3.292245,20.0,-0.5157,,stop,9
FILUSDT,F_192_ext_entry,2025-02-10T09:00:00+00:00,2025-02-10T10:00:00+00:00,3.400415,3.411276,20.0,0.0639,,stop,1
FILUSDT,F_192_ext_entry,2025-02-10T14:00:00+00:00,2025-02-11T01:00:00+00:00,3.456488,3.467528,20.0,0.0639,,stop,11
FILUSDT,F_192_ext_entry,2025-02-11T05:00:00+00:00,2025-02-11T06:00:00+00:00,3.483523,3.517601,20.0,0.1957,,stop,1
FILUSDT,F_192_ext_entry,2025-02-12T18:00:00+00:00,2025-02-12T20:00:00+00:00,3.40442,3.43278,20.0,0.1666,,stop,2
FILUSDT,F_192_ext_entry,2025-02-14T04:00:00+00:00,2025-02-14T09:00:00+00:00,3.457489,3.469522,20.0,0.0696,,stop,5
FILUSDT,F_192_ext_entry,2025-02-14T10:00:00+00:00,2025-02-14T11:00:00+00:00,3.50455,3.515744,20.0,0.0639,,stop,1
FILUSDT,F_192_ext_entry,2025-02-14T18:00:00+00:00,2025-02-14T19:00:00+00:00,3.597671,3.609162,20.0,0.0639,,stop,1
FILUSDT,F_192_ext_entry,2025-02-17T15:00:00+00:00,2025-02-17T15:00:00+00:00,3.501546,3.407539,20.0,-0.5369,,stop,0
FILUSDT,F_192_ext_entry,2025-02-20T01:00:00+00:00,2025-02-20T02:00:00+00:00,3.377385,3.393772,20.0,0.097,,stop,1
FILUSDT,F_192_ext_entry,2025-02-20T04:00:00+00:00,2025-02-20T05:00:00+00:00,3.452482,3.490658,20.0,0.2211,,stop,1
FILUSDT,F_192_ext_entry,2025-02-22T19:00:00+00:00,2025-02-23T01:00:00+00:00,3.448477,3.459492,20.0,0.0639,,stop,6
FILUSDT,F_192_ext_entry,2025-02-25T20:00:00+00:00,2025-02-25T21:00:00+00:00,3.101026,3.151371,20.0,0.3247,,stop,1
FILUSDT,F_192_ext_entry,2025-02-26T03:00:00+00:00,2025-02-26T04:00:00+00:00,3.20416,3.214395,20.0,0.0639,,stop,1
FILUSDT,F_192_ext_entry,2025-02-27T08:00:00+00:00,2025-02-27T09:00:00+00:00,3.269245,3.279687,20.0,0.0639,,stop,1
FILUSDT,F_192_ext_entry,2025-03-02T16:00:00+00:00,2025-03-02T17:00:00+00:00,3.306293,3.537559,20.0,1.3989,,stop,1
FILUSDT,F_192_ext_entry,2025-03-05T20:00:00+00:00,2025-03-05T21:00:00+00:00,3.12706,3.174323,20.0,0.3023,,stop,1
