symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
LINKUSDT,F_192_ext_entry,2025-01-01T16:00:00+00:00,2025-01-01T17:00:00+00:00,20.586728,20.661645,20.0,0.0728,,stop,1
LINKUSDT,F_192_ext_entry,2025-01-01T20:00:00+00:00,2025-01-01T21:00:00+00:00,21.517937,21.804138,20.0,0.266,,stop,1
LINKUSDT,F_192_ext_entry,2025-01-02T01:00:00+00:00,2025-01-02T02:00:00+00:00,22.12873,22.199412,20.0,0.0639,,stop,1
LINKUSDT,F_192_ext_entry,2025-01-02T11:00:00+00:00,2025-01-02T13:00:00+00:00,22.769562,22.842291,20.0,0.0639,,stop,2
LINKUSDT,F_192_ext_entry,2025-01-03T12:00:00+00:00,2025-01-03T13:00:00+00:00,22.699471,22.844424,20.0,0.1277,,stop,1
LINKUSDT,F_192_ext_entry,2025-01-03T15:00:00+00:00,2025-01-03T16:00:00+00:00,23.039913,23.440695,20.0,0.3479,,stop,1
LINKUSDT,F_192_ext_entry,2025-01-06T04:00:00+00:00,2025-01-06T05:00:00+00:00,24.091278,24.168229,20.0,0.0639,,stop,1
LINKUSDT,F_192_ext_entry,2025-01-11T21:00:00+00:00,2025-01-11T22:00:00+00:00,20.476585,20.646573,20.0,0.166,,stop,1
LINKUSDT,F_192_ext_entry,2025-01-15T08:00:00+00:00,2025-01-15T09:00:00+00:00,20.756949,20.945943,20.0,0.1821,,stop,1
LINKUSDT,F_192_ext_entry,2025-01-15T14:00:00+00:00,2025-01-15T15:00:00+00:00,21.297651,21.57462,20.0,0.2601,,stop,1
LINKUSDT,F_192_ext_entry,2025-01-16T00:00:00+00:00,2025-01-16T08:00:00+00:00,22.12873,21.376619,20.0,-0.6798,,stop,8
LINKUSDT,F_192_ext_entry,2025-01-17T06:00:00+00:00,2025-01-17T07:00:00+00:00,24.081265,24.170038,20.0,0.0737,,stop,1
LINKUSDT,F_192_ext_entry,2025-01-17T10:00:00+00:00,2025-01-17T11:00:00+00:00,24.341603,24.419354,20.0,0.0639,,stop,1
LINKUSDT,F_192_ext_entry,2025-01-17T17:00:00+00:00,2025-01-17T21:00:00+00:00,24.682045,25.047316,20.0,0.296,,stop,4
LINKUSDT,F_192_ext_entry,2025-01-18T01:00:00+00:00,2025-01-18T02:00:00+00:00,25.483085,25.585356,20.0,0.0803,,stop,1
LINKUSDT,F_192_ext_entry,2025-01-19T17:00:00+00:00,2025-01-19T18:00:00+00:00,26.194008,26.653937,20.0,0.3512,,stop,1
LINKUSDT,F_192_ext_entry,2025-01-21T19:00:00+00:00,2025-01-22T01:00:00+00:00,27.045113,27.131499,20.0,0.0639,,stop,6
LINKUSDT,F_192_ext_entry,2025-01-23T15:00:00+00:00,2025-01-23T16:00:00+00:00,25.703371,25.844498,20.0,0.1098,,stop,1
LINKUSDT,F_192_ext_entry,2025-01-26T04:00:00+00:00,2025-01-26T05:00:00+00:00,25.603241,25.835658,20.0,0.1816,,stop,1
LINKUSDT,F_192_ext_entry,2025-01-26T18:00:00+00:00,2025-01-26T19:00:00+00:00,25.983735,26.204881,20.0,0.1702,,stop,1
LINKUSDT,F_192_ext_entry,2025-01-31T12:00:00+00:00,2025-01-31T13:00:00+00:00,25.703371,25.844498,20.0,0.1098,,stop,1
LINKUSDT,F_192_ext_entry,2025-02-07T14:00:00+00:00,2025-02-07T15:00:00+00:00,19.615467,19.818315,20.0,0.2068,,stop,1
LINKUSDT,F_192_ext_entry,2025-02-10T14:00:00+00:00,2025-02-11T01:00:00+00:00,19.064752,19.126723,20.0,0.065,,stop,11
LINKUSDT,F_192_ext_entry,2025-02-11T04:00:00+00:00,2025-02-11T05:00:00+00:00,19.345116,19.588797,20.0,0.2519,,stop,1
LINKUSDT,F_192_ext_entry,2025-02-12T23:00:00+00:00,2025-02-13T00:00:00+00:00,19.234973,19.296412,20.0,0.0639,,stop,1
LINKUSDT,F_192_ext_entry,2025-02-14T04:00:00+00:00,2025-02-14T10:00:00+00:00,18.974635,19.199616,20.0,0.2371,,stop,6
LINKUSDT,F_192_ext_entry,2025-02-17T15:00:00+00:00,2025-02-17T16:00:00+00:00,19.695571,19.758482,20.0,0.0639,,stop,1
LINKUSDT,F_192_ext_entry,2025-02-20T03:00:00+00:00,2025-02-20T04:00:00+00:00,18.253699,18.319394,20.0,0.072,,stop,1
LINKUSDT,F_192_ext_entry,2025-02-21T13:00:00+00:00,2025-02-21T14:00:00+00:00,18.82444,19.010015,20.0,0.1972,,stop,1
LINKUSDT,F_192_ext_entry,2025-02-22T18:00:00+00:00,2025-02-22T19:00:00+00:00,17.983348,18.04079,20.0,0.0639,,stop,1
LINKUSDT,F_192_ext_entry,2025-02-23T08:00:00+00:00,2025-02-23T11:00:00+00:00,18.143556,17.840333,20.0,-0.3342,,stop,3
LINKUSDT,F_192_ext_entry,2025-03-01T05:00:00+00:00,2025-03-01T07:00:00+00:00,15.009487,14.519159,20.0,-0.6534,,stop,2
LINKUSDT,F_192_ext_entry,2025-03-01T22:00:00+00:00,2025-03-01T23:00:00+00:00,15.059552,15.107654,20.0,0.0639,,stop,1
LINKUSDT,F_192_ext_entry,2025-03-02T16:00:00+00:00,2025-03-02T17:00:00+00:00,15.289851,16.884486,20.0,2.0859,,stop,1
LINKUSDT,F_192_ext_entry,2025-03-04T22:00:00+00:00,2025-03-04T23:00:00+00:00,14.979448,15.027295,20.0,0.0639,,stop,1
LINKUSDT,F_192_ext_entry,2025-03-05T08:00:00+00:00,2025-03-05T09:00:00+00:00,15.470085,15.966417,20.0,0.6417,,stop,1
LINKUSDT,F_192_ext_entry,2025-03-06T02:00:00+00:00,2025-03-06T03:00:00+00:00,16.901944,17.273667,20.0,0.4399,,stop,1
LINKUSDT,F_192_ext_entry,2025-03-06T11:00:00+00:00,2025-03-06T12:00:00+00:00,17.532763,17.588765,20.0,0.0639,,stop,1
LINKUSDT,F_192_ext_entry,2025-03-11T19:00:00+00:00,2025-03-11T20:00:00+00:00,13.537576,13.614958,20.0,0.1143,,stop,1
LINKUSDT,F_192_ext_entry,2025-03-12T13:00:00+00:00,2025-03-12T14:00:00+00:00,13.747849,13.132184,20.0,-0.8957,,stop,1
LINKUSDT,F_192_ext_entry,2025-03-17T19:00:00+00:00,2025-03-17T20:00:00+00:00,14.128343,14.173471,20.0,0.0639,,stop,1
LINKUSDT,F_192_ext_entry,2025-03-19T11:00:00+00:00,2025-03-19T12:00:00+00:00,14.168395,14.469565,20.0,0.4251,,stop,1
LINKUSDT,F_192_ext_entry,2025-03-19T22:00:00+00:00,2025-03-19T23:00:00+00:00,14.829253,14.900704,20.0,0.0964,,stop,1
