symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
BTCUSDT,F_001_rsi2_snap,2025-01-27T00:00:00+00:00,2025-01-27T00:00:00+00:00,102753.416013,100770.419658,20.0,-0.386,,stop,0
BTCUSDT,F_001_rsi2_snap,2025-01-27T04:00:00+00:00,2025-01-27T04:00:00+00:00,101527.454332,99402.171872,20.0,-0.4187,,stop,0
BTCUSDT,F_001_rsi2_snap,2025-01-27T08:00:00+00:00,2025-01-27T12:00:00+00:00,99176.772413,99493.557901,20.0,0.0639,,stop,1
BTCUSDT,F_001_rsi2_snap,2025-02-02T00:00:00+00:00,2025-02-02T04:00:00+00:00,100766.486358,101122.057007,20.0,0.0706,,stop,1
BTCUSDT,F_001_rsi2_snap,2025-04-20T12:00:00+00:00,2025-04-20T16:00:00+00:00,84239.188766,84508.261371,20.0,0.0639,,stop,1
BTCUSDT,F_001_rsi2_snap,2025-05-03T12:00:00+00:00,2025-05-03T16:00:00+00:00,96066.734613,96373.586173,20.0,0.0639,,stop,1
BTCUSDT,F_001_rsi2_snap,2025-05-05T04:00:00+00:00,2025-05-05T08:00:00+00:00,94153.710911,94512.782528,20.0,0.0763,,stop,1
BTCUSDT,F_001_rsi2_snap,2025-05-12T20:00:00+00:00,2025-05-13T00:00:00+00:00,101992.407987,102911.458621,20.0,0.1802,,stop,1
BTCUSDT,F_001_rsi2_snap,2025-05-15T08:00:00+00:00,2025-05-15T12:00:00+00:00,101912.303987,102237.827173,20.0,0.0639,,stop,1
BTCUSDT,F_001_rsi2_snap,2025-05-17T16:00:00+00:00,2025-05-17T20:00:00+00:00,103073.341376,103402.573089,20.0,0.0639,,stop,1
BTCUSDT,F_001_rsi2_snap,2025-05-23T12:00:00+00:00,2025-05-23T16:00:00+00:00,109218.159268,109630.059906,20.0,0.0754,,stop,1
BTCUSDT,F_001_rsi2_snap,2025-05-23T20:00:00+00:00,2025-05-24T12:00:00+00:00,108855.338213,109203.038492,20.0,0.0639,,stop,4
BTCUSDT,F_001_rsi2_snap,2025-05-28T16:00:00+00:00,2025-05-28T20:00:00+00:00,107246.549503,107589.111069,20.0,0.0639,,stop,1
BTCUSDT,F_001_rsi2_snap,2025-06-12T08:00:00+00:00,2025-06-12T20:00:00+00:00,107773.453589,108117.698166,20.0,0.0639,,stop,3
BTCUSDT,F_001_rsi2_snap,2025-07-01T12:00:00+00:00,2025-07-01T16:00:00+00:00,106744.377527,107085.33508,20.0,0.0639,,stop,1
