symbol,NOVA_RSI2_OS,NOVA_SMA_TREND,NOVA_SMA_PULL,net,trades,win_pct,pf
GRAMUSDT,5,100,3,0.4222085899906683,5,80.0,1.4677293241928524
GRAMUSDT,5,100,5,0.4222085899906683,5,80.0,1.4677293241928524
GRAMUSDT,5,100,10,0.4222085899906683,5,80.0,1.4677293241928524
GRAMUSDT,5,200,3,-0.3981139614459945,6,66.67,0.7902501774198113
GRAMUSDT,5,200,5,-0.3981139614459945,6,66.67,0.7902501774198113
GRAMUSDT,5,200,10,-0.3981139614459945,6,66.67,0.7902501774198113
GRAMUSDT,10,100,3,4.047222792464284,17,94.12,5.660740805773726
GRAMUSDT,10,100,5,4.047222792464284,17,94.12,5.660740805773726
GRAMUSDT,10,100,10,4.047222792464284,17,94.12,5.660740805773726
GRAMUSDT,10,200,3,3.273495195747752,18,88.89,2.7564218760292274
GRAMUSDT,10,200,5,3.273495195747752,18,88.89,2.7564218760292274
GRAMUSDT,10,200,10,3.273495195747752,18,88.89,2.7564218760292274
GRAMUSDT,15,100,3,3.4405459478811435,28,92.86,3.5867413251898843
GRAMUSDT,15,100,5,3.4405459478811435,28,92.86,3.5867413251898843
GRAMUSDT,15,100,10,3.858256559956009,28,92.86,3.900793024714445
GRAMUSDT,15,200,3,2.8733747591690904,25,92.0,2.5138626230365597
GRAMUSDT,15,200,5,2.8733747591690904,25,92.0,2.5138626230365597
GRAMUSDT,15,200,10,3.291085371243956,25,92.0,2.7339371123971907
