symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
RENDERUSDT,F_001_rsi2_snap,2025-01-07T08:00:00+00:00,2025-01-07T12:00:00+00:00,8.662246,8.730636,20.0,0.1579,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-01-07T16:00:00+00:00,2025-01-07T20:00:00+00:00,8.3959,8.52906,20.0,0.3172,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-03-27T00:00:00+00:00,2025-03-27T04:00:00+00:00,3.927099,4.033516,20.0,0.542,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-03-28T08:00:00+00:00,2025-03-28T12:00:00+00:00,3.749869,3.766539,20.0,0.0889,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-03-28T16:00:00+00:00,2025-03-29T00:00:00+00:00,3.683783,3.755102,20.0,0.3872,,stop,2
RENDERUSDT,F_001_rsi2_snap,2025-03-29T12:00:00+00:00,2025-03-29T16:00:00+00:00,3.567632,3.654314,20.0,0.4859,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-03-29T20:00:00+00:00,2025-03-30T08:00:00+00:00,3.546605,3.557933,20.0,0.0639,,stop,3
RENDERUSDT,F_001_rsi2_snap,2025-03-30T04:00:00+00:00,2025-03-30T08:00:00+00:00,3.511559,3.554524,20.0,0.2447,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-04-02T04:00:00+00:00,2025-04-02T08:00:00+00:00,3.547606,3.558937,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-04-02T12:00:00+00:00,2025-04-02T16:00:00+00:00,3.503549,3.744125,20.0,1.3733,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-04-13T16:00:00+00:00,2025-04-13T20:00:00+00:00,3.83598,3.944703,20.0,0.5669,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-04-14T00:00:00+00:00,2025-04-14T04:00:00+00:00,3.782911,3.943705,20.0,0.8501,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-04-15T16:00:00+00:00,2025-04-15T20:00:00+00:00,3.866019,3.908778,20.0,0.2212,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-04-16T00:00:00+00:00,2025-04-16T16:00:00+00:00,3.728841,3.783043,20.0,0.2907,,stop,4
RENDERUSDT,F_001_rsi2_snap,2025-04-16T08:00:00+00:00,2025-04-16T12:00:00+00:00,3.625707,3.687244,20.0,0.3394,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-04-18T16:00:00+00:00,2025-04-18T20:00:00+00:00,3.923093,3.958673,20.0,0.1814,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-04-21T20:00:00+00:00,2025-04-22T00:00:00+00:00,4.355655,4.377518,20.0,0.1004,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-04-24T00:00:00+00:00,2025-04-24T04:00:00+00:00,4.485824,4.511076,20.0,0.1126,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-04-26T00:00:00+00:00,2025-04-26T04:00:00+00:00,4.421741,4.61629,20.0,0.88,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-04-27T12:00:00+00:00,2025-04-27T16:00:00+00:00,4.39771,4.411757,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-04-27T20:00:00+00:00,2025-04-28T00:00:00+00:00,4.361663,4.375595,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-05-02T08:00:00+00:00,2025-05-02T12:00:00+00:00,4.533886,4.632257,20.0,0.4339,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-05-03T16:00:00+00:00,2025-05-04T12:00:00+00:00,4.649036,4.373058,20.0,-1.1872,,stop,5
RENDERUSDT,F_001_rsi2_snap,2025-05-04T04:00:00+00:00,2025-05-04T08:00:00+00:00,4.532885,4.547364,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-05-04T12:00:00+00:00,2025-05-05T08:00:00+00:00,4.415733,4.482571,20.0,0.3027,,stop,5
RENDERUSDT,F_001_rsi2_snap,2025-05-04T20:00:00+00:00,2025-05-05T00:00:00+00:00,4.301585,4.376794,20.0,0.3497,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-05-06T12:00:00+00:00,2025-05-06T16:00:00+00:00,4.201455,4.305943,20.0,0.4974,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-05-07T16:00:00+00:00,2025-05-07T20:00:00+00:00,4.131364,4.158243,20.0,0.1301,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-05-12T20:00:00+00:00,2025-05-13T00:00:00+00:00,5.053561,5.208046,20.0,0.6114,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-05-14T16:00:00+00:00,2025-05-14T20:00:00+00:00,5.148685,5.16513,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-05-15T00:00:00+00:00,2025-05-15T04:00:00+00:00,5.104627,5.146176,20.0,0.1628,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-05-15T08:00:00+00:00,2025-05-15T12:00:00+00:00,4.810245,4.900692,20.0,0.3761,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-05-16T00:00:00+00:00,2025-05-16T04:00:00+00:00,4.773197,4.912667,20.0,0.5844,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-05-16T20:00:00+00:00,2025-05-18T16:00:00+00:00,4.772196,4.829841,20.0,0.2416,,stop,11
RENDERUSDT,F_001_rsi2_snap,2025-05-17T04:00:00+00:00,2025-05-17T08:00:00+00:00,4.572937,4.610303,20.0,0.1634,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-05-17T12:00:00+00:00,2025-05-17T16:00:00+00:00,4.547905,4.564898,20.0,0.0747,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-05-23T12:00:00+00:00,2025-05-23T16:00:00+00:00,4.977462,5.0873,20.0,0.4413,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-05-23T20:00:00+00:00,2025-05-25T08:00:00+00:00,4.91438,4.508369,20.0,-1.6523,,stop,9
RENDERUSDT,F_001_rsi2_snap,2025-05-26T20:00:00+00:00,2025-05-27T00:00:00+00:00,4.70611,4.776952,20.0,0.3011,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-05-27T20:00:00+00:00,2025-05-28T00:00:00+00:00,4.73715,4.752281,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-07-12T16:00:00+00:00,2025-07-12T20:00:00+00:00,3.495538,3.591446,20.0,0.5487,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-07-14T16:00:00+00:00,2025-07-14T20:00:00+00:00,3.751871,3.802003,20.0,0.2672,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-07-15T04:00:00+00:00,2025-07-15T08:00:00+00:00,3.677775,3.735144,20.0,0.312,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-07-18T16:00:00+00:00,2025-07-18T20:00:00+00:00,4.09732,4.134304,20.0,0.1805,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-07-19T00:00:00+00:00,2025-07-19T04:00:00+00:00,4.050258,4.094388,20.0,0.2179,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-07-23T16:00:00+00:00,2025-07-24T04:00:00+00:00,4.310596,3.938184,20.0,-1.7279,,stop,3
RENDERUSDT,F_001_rsi2_snap,2025-07-24T00:00:00+00:00,2025-07-24T04:00:00+00:00,4.161403,4.220123,20.0,0.2822,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-07-24T08:00:00+00:00,2025-07-24T12:00:00+00:00,3.984173,4.071436,20.0,0.4381,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-07-25T04:00:00+00:00,2025-07-25T08:00:00+00:00,3.965148,4.030522,20.0,0.3297,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-07-28T16:00:00+00:00,2025-07-28T20:00:00+00:00,4.176422,4.195121,20.0,0.0895,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-07-29T00:00:00+00:00,2025-07-29T04:00:00+00:00,4.072287,4.085295,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-07-29T16:00:00+00:00,2025-07-29T20:00:00+00:00,3.953132,3.965759,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-07-30T12:00:00+00:00,2025-07-30T16:00:00+00:00,3.753874,3.845911,20.0,0.4904,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-07-31T20:00:00+00:00,2025-08-01T00:00:00+00:00,3.832976,3.84522,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-08-14T08:00:00+00:00,2025-08-14T12:00:00+00:00,4.056266,3.814444,20.0,-1.1923,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-09-12T12:00:00+00:00,2025-09-12T16:00:00+00:00,3.922092,3.980627,20.0,0.2985,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-09-14T12:00:00+00:00,2025-09-14T16:00:00+00:00,3.918087,3.930602,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-09-15T12:00:00+00:00,2025-09-16T04:00:00+00:00,3.786917,3.799013,20.0,0.0639,,stop,4
RENDERUSDT,F_001_rsi2_snap,2025-09-19T08:00:00+00:00,2025-09-19T12:00:00+00:00,4.002196,4.03651,20.0,0.1715,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-09-19T16:00:00+00:00,2025-09-19T20:00:00+00:00,3.931104,3.950929,20.0,0.1009,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-09-20T00:00:00+00:00,2025-09-20T04:00:00+00:00,3.916084,3.928593,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-09-21T16:00:00+00:00,2025-09-21T20:00:00+00:00,3.949127,3.961741,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-09-22T04:00:00+00:00,2025-09-22T04:00:00+00:00,3.872027,3.715476,20.0,-0.8086,,stop,0
RENDERUSDT,F_001_rsi2_snap,2026-01-07T04:00:00+00:00,2026-01-07T08:00:00+00:00,2.338036,2.345504,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2026-01-08T12:00:00+00:00,2026-01-08T16:00:00+00:00,2.137776,2.341076,20.0,1.902,,stop,1
RENDERUSDT,F_001_rsi2_snap,2026-01-12T12:00:00+00:00,2026-01-12T16:00:00+00:00,2.428152,2.435908,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2026-01-12T20:00:00+00:00,2026-01-13T00:00:00+00:00,2.417138,2.430958,20.0,0.1143,,stop,1
RENDERUSDT,F_001_rsi2_snap,2026-01-13T04:00:00+00:00,2026-01-13T08:00:00+00:00,2.340038,2.380992,20.0,0.35,,stop,1
RENDERUSDT,F_001_rsi2_snap,2026-01-15T00:00:00+00:00,2026-01-15T04:00:00+00:00,2.259934,2.285193,20.0,0.2235,,stop,1
