symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
BTCUSDT,F_008_turtle_soup,2025-01-09T16:00:00+00:00,2025-01-09T20:00:00+00:00,94366.537226,94667.958101,20.0,0.0639,,stop,1
BTCUSDT,F_008_turtle_soup,2025-01-20T04:00:00+00:00,2025-01-20T08:00:00+00:00,102024.399522,109357.979172,20.0,1.4376,,stop,1
BTCUSDT,F_008_turtle_soup,2025-01-23T08:00:00+00:00,2025-01-23T16:00:00+00:00,102843.803364,105828.263487,20.0,0.5804,,stop,2
BTCUSDT,F_008_turtle_soup,2025-02-01T00:00:00+00:00,2025-02-02T00:00:00+00:00,102562.718428,99397.463525,20.0,-0.6172,,stop,6
BTCUSDT,F_008_turtle_soup,2025-02-02T16:00:00+00:00,2025-02-02T16:00:00+00:00,99476.020931,96709.92295,20.0,-0.5561,,stop,0
BTCUSDT,F_008_turtle_soup,2025-02-10T00:00:00+00:00,2025-02-10T04:00:00+00:00,96588.151575,96896.668619,20.0,0.0639,,stop,1
BTCUSDT,F_008_turtle_soup,2025-02-16T20:00:00+00:00,2025-02-17T12:00:00+00:00,97184.646011,95568.456725,20.0,-0.3326,,stop,4
BTCUSDT,F_008_turtle_soup,2025-02-27T00:00:00+00:00,2025-02-27T04:00:00+00:00,84359.615117,85287.15913,20.0,0.2199,,stop,1
BTCUSDT,F_008_turtle_soup,2025-03-11T04:00:00+00:00,2025-03-11T08:00:00+00:00,79625.668977,80445.68257,20.0,0.206,,stop,1
BTCUSDT,F_008_turtle_soup,2025-03-27T16:00:00+00:00,2025-03-27T20:00:00+00:00,87087.136291,87365.305667,20.0,0.0639,,stop,1
BTCUSDT,F_008_turtle_soup,2025-03-28T12:00:00+00:00,2025-03-28T16:00:00+00:00,85366.081825,85638.753895,20.0,0.0639,,stop,1
BTCUSDT,F_008_turtle_soup,2025-03-29T20:00:00+00:00,2025-03-30T04:00:00+00:00,82865.98592,83228.18546,20.0,0.0874,,stop,2
BTCUSDT,F_008_turtle_soup,2025-04-16T04:00:00+00:00,2025-04-16T12:00:00+00:00,83804.464358,84072.148388,20.0,0.0639,,stop,2
BTCUSDT,F_008_turtle_soup,2025-04-28T04:00:00+00:00,2025-04-28T08:00:00+00:00,93971.934909,94487.40648,20.0,0.1097,,stop,1
BTCUSDT,F_008_turtle_soup,2025-05-15T16:00:00+00:00,2025-05-15T20:00:00+00:00,103385.586768,103849.134991,20.0,0.0897,,stop,1
BTCUSDT,F_008_turtle_soup,2025-05-30T04:00:00+00:00,2025-05-30T20:00:00+00:00,106162.161629,103491.256439,20.0,-0.5032,,stop,4
BTCUSDT,F_008_turtle_soup,2025-06-04T16:00:00+00:00,2025-06-05T16:00:00+00:00,105435.147738,105771.923415,20.0,0.0639,,stop,6
BTCUSDT,F_008_turtle_soup,2025-06-27T16:00:00+00:00,2025-06-29T12:00:00+00:00,107447.750725,108126.284858,20.0,0.1263,,stop,11
BTCUSDT,F_008_turtle_soup,2025-07-02T04:00:00+00:00,2025-07-02T12:00:00+00:00,106332.75311,107633.835692,20.0,0.2447,,stop,2
BTCUSDT,F_008_turtle_soup,2025-08-01T12:00:00+00:00,2025-08-01T16:00:00+00:00,115455.537332,115824.319637,20.0,0.0639,,stop,1
BTCUSDT,F_008_turtle_soup,2025-08-29T12:00:00+00:00,2025-08-29T16:00:00+00:00,110241.938453,111283.000131,20.0,0.1889,,stop,1
BTCUSDT,F_008_turtle_soup,2025-08-30T00:00:00+00:00,2025-08-30T16:00:00+00:00,108518.29062,108864.914318,20.0,0.0639,,stop,4
BTCUSDT,F_008_turtle_soup,2025-09-15T04:00:00+00:00,2025-09-15T08:00:00+00:00,115595.539098,116512.919649,20.0,0.1587,,stop,1
BTCUSDT,F_008_turtle_soup,2025-09-25T16:00:00+00:00,2025-09-25T16:00:00+00:00,111725.825001,109625.135389,20.0,-0.376,,stop,0
BTCUSDT,F_008_turtle_soup,2025-10-17T12:00:00+00:00,2025-10-17T16:00:00+00:00,105821.098823,106499.805754,20.0,0.1283,,stop,1
BTCUSDT,F_008_turtle_soup,2025-10-30T08:00:00+00:00,2025-10-30T12:00:00+00:00,111511.496736,108108.114675,20.0,-0.6104,,stop,1
BTCUSDT,F_008_turtle_soup,2025-11-03T00:00:00+00:00,2025-11-03T00:00:00+00:00,110684.392897,108960.211668,20.0,-0.3115,,stop,0
BTCUSDT,F_008_turtle_soup,2025-11-03T12:00:00+00:00,2025-11-03T12:00:00+00:00,107927.543646,105918.688687,20.0,-0.3723,,stop,0
BTCUSDT,F_008_turtle_soup,2025-11-04T12:00:00+00:00,2025-11-04T16:00:00+00:00,104720.710175,101392.06463,20.0,-0.6357,,stop,1
BTCUSDT,F_008_turtle_soup,2025-11-05T00:00:00+00:00,2025-11-05T04:00:00+00:00,101629.176399,101953.795233,20.0,0.0639,,stop,1
BTCUSDT,F_008_turtle_soup,2025-11-07T16:00:00+00:00,2025-11-07T20:00:00+00:00,100928.987335,103178.227506,20.0,0.4457,,stop,1
BTCUSDT,F_008_turtle_soup,2025-11-14T16:00:00+00:00,2025-11-14T20:00:00+00:00,96921.974982,97231.558308,20.0,0.0639,,stop,1
BTCUSDT,F_008_turtle_soup,2025-11-17T00:00:00+00:00,2025-11-17T04:00:00+00:00,94383.989885,95359.413403,20.0,0.2067,,stop,1
BTCUSDT,F_008_turtle_soup,2025-12-01T08:00:00+00:00,2025-12-01T12:00:00+00:00,86662.81539,86939.629422,20.0,0.0639,,stop,1
BTCUSDT,F_008_turtle_soup,2025-12-07T16:00:00+00:00,2025-12-07T20:00:00+00:00,89670.940876,91567.39943,20.0,0.423,,stop,1
BTCUSDT,F_008_turtle_soup,2025-12-29T16:00:00+00:00,2025-12-30T12:00:00+00:00,87805.619106,88086.083424,20.0,0.0639,,stop,5
BTCUSDT,F_008_turtle_soup,2026-01-08T16:00:00+00:00,2026-01-08T20:00:00+00:00,90899.586041,91189.932954,20.0,0.0639,,stop,1
BTCUSDT,F_008_turtle_soup,2026-01-12T00:00:00+00:00,2026-01-12T04:00:00+00:00,91131.977758,92325.754326,20.0,0.262,,stop,1
BTCUSDT,F_008_turtle_soup,2026-01-20T12:00:00+00:00,2026-01-20T16:00:00+00:00,91337.574687,89578.745019,20.0,-0.3851,,stop,1
BTCUSDT,F_008_turtle_soup,2026-01-21T20:00:00+00:00,2026-01-23T20:00:00+00:00,90473.022228,90924.184718,20.0,0.0997,,stop,12
BTCUSDT,F_008_turtle_soup,2026-02-11T12:00:00+00:00,2026-02-11T16:00:00+00:00,67140.198939,68689.859474,20.0,0.4616,,stop,1
BTCUSDT,F_008_turtle_soup,2026-03-19T00:00:00+00:00,2026-03-19T04:00:00+00:00,71339.170515,71567.038527,20.0,0.0639,,stop,1
BTCUSDT,F_008_turtle_soup,2026-03-22T04:00:00+00:00,2026-03-22T20:00:00+00:00,69430.142,67570.82701,20.0,-0.5356,,stop,4
BTCUSDT,F_008_turtle_soup,2026-04-16T16:00:00+00:00,2026-04-16T20:00:00+00:00,74794.30636,75162.050725,20.0,0.0983,,stop,1
BTCUSDT,F_008_turtle_soup,2026-04-27T20:00:00+00:00,2026-04-28T00:00:00+00:00,76978.171699,77224.051526,20.0,0.0639,,stop,1
BTCUSDT,F_008_turtle_soup,2026-04-28T08:00:00+00:00,2026-04-29T08:00:00+00:00,76979.223064,77225.106249,20.0,0.0639,,stop,6
BTCUSDT,F_008_turtle_soup,2026-05-07T20:00:00+00:00,2026-05-08T16:00:00+00:00,80250.960801,80507.294407,20.0,0.0639,,stop,5
BTCUSDT,F_008_turtle_soup,2026-05-18T08:00:00+00:00,2026-05-18T12:00:00+00:00,77173.885797,77420.390764,20.0,0.0639,,stop,1
BTCUSDT,F_008_turtle_soup,2026-05-23T04:00:00+00:00,2026-05-23T04:00:00+00:00,75733.545786,74206.028092,20.0,-0.4034,,stop,0
BTCUSDT,F_008_turtle_soup,2026-05-27T08:00:00+00:00,2026-05-27T20:00:00+00:00,76075.930308,74553.407576,20.0,-0.4003,,stop,3
BTCUSDT,F_008_turtle_soup,2026-05-28T08:00:00+00:00,2026-05-29T00:00:00+00:00,73593.5474,73828.616229,20.0,0.0639,,stop,4
BTCUSDT,F_008_turtle_soup,2026-05-29T16:00:00+00:00,2026-05-29T20:00:00+00:00,73904.200725,74268.397207,20.0,0.0986,,stop,1
BTCUSDT,F_008_turtle_soup,2026-06-01T04:00:00+00:00,2026-06-01T04:00:00+00:00,73864.959778,72874.759272,20.0,-0.2681,,stop,0
BTCUSDT,F_008_turtle_soup,2026-06-02T20:00:00+00:00,2026-06-03T00:00:00+00:00,67402.649682,67699.269908,20.0,0.088,,stop,1
BTCUSDT,F_008_turtle_soup,2026-06-04T04:00:00+00:00,2026-06-04T08:00:00+00:00,64447.162537,64653.016441,20.0,0.0639,,stop,1
BTCUSDT,F_008_turtle_soup,2026-06-05T08:00:00+00:00,2026-06-05T16:00:00+00:00,63198.040787,59862.829238,20.0,-1.0555,,stop,2
BTCUSDT,F_008_turtle_soup,2026-06-18T00:00:00+00:00,2026-06-18T04:00:00+00:00,64593.26222,64799.582789,20.0,0.0639,,stop,1
BTCUSDT,F_008_turtle_soup,2026-06-18T08:00:00+00:00,2026-06-18T12:00:00+00:00,64594.313585,62665.579432,20.0,-0.5972,,stop,1
BTCUSDT,F_008_turtle_soup,2026-06-29T00:00:00+00:00,2026-06-29T04:00:00+00:00,59654.460113,60034.387706,20.0,0.1274,,stop,1
BTCUSDT,F_008_turtle_soup,2026-07-01T04:00:00+00:00,2026-07-01T08:00:00+00:00,59274.076256,59463.406547,20.0,0.0639,,stop,1
BTCUSDT,F_008_turtle_soup,2026-07-06T16:00:00+00:00,2026-07-06T20:00:00+00:00,63628.589774,63831.829034,20.0,0.0639,,stop,1
BTCUSDT,F_008_turtle_soup,2026-07-13T08:00:00+00:00,2026-07-13T12:00:00+00:00,63067.411189,63268.85796,20.0,0.0639,,stop,1
BTCUSDT,F_008_turtle_soup,2026-07-16T12:00:00+00:00,2026-07-16T16:00:00+00:00,64340.053476,64682.01193,20.0,0.1063,,stop,1
BTCUSDT,F_008_turtle_soup,2026-07-17T16:00:00+00:00,2026-07-17T20:00:00+00:00,63534.4876,64252.842185,20.0,0.2261,,stop,1
BTCUSDT,F_008_turtle_soup,2026-07-20T12:00:00+00:00,2026-07-20T16:00:00+00:00,65086.5026,65450.270294,20.0,0.1118,,stop,1
BTCUSDT,F_008_turtle_soup,2026-07-28T16:00:00+00:00,2026-07-29T04:00:00+00:00,64011.566998,64216.029545,20.0,0.0639,,stop,3
BTCUSDT,F_008_turtle_soup,2026-08-14T16:00:00+00:00,2026-08-14T20:00:00+00:00,63072.828222,63274.292296,20.0,0.0639,,stop,1
