symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ETHUSDT,F_008_turtle_soup,2025-01-18T12:00:00+00:00,2025-01-18T16:00:00+00:00,3315.935119,3336.302481,20.0,0.1228,,stop,1
ETHUSDT,F_008_turtle_soup,2025-01-23T08:00:00+00:00,2025-01-23T16:00:00+00:00,3237.683524,3279.821306,20.0,0.2603,,stop,2
ETHUSDT,F_008_turtle_soup,2025-02-10T00:00:00+00:00,2025-02-10T04:00:00+00:00,2630.595334,2653.019705,20.0,0.1705,,stop,1
ETHUSDT,F_008_turtle_soup,2025-02-17T08:00:00+00:00,2025-02-17T12:00:00+00:00,2685.076067,2769.155428,20.0,0.6263,,stop,1
ETHUSDT,F_008_turtle_soup,2025-02-24T08:00:00+00:00,2025-02-24T20:00:00+00:00,2725.558626,2612.9702,20.0,-0.8262,,stop,3
ETHUSDT,F_008_turtle_soup,2025-02-28T00:00:00+00:00,2025-02-28T00:00:00+00:00,2310.720036,2159.276466,20.0,-1.3108,,stop,0
ETHUSDT,F_008_turtle_soup,2025-03-30T20:00:00+00:00,2025-03-31T00:00:00+00:00,1816.578486,1822.38091,20.0,0.0639,,stop,1
ETHUSDT,F_008_turtle_soup,2025-05-03T20:00:00+00:00,2025-05-04T00:00:00+00:00,1840.599673,1846.478824,20.0,0.0639,,stop,1
ETHUSDT,F_008_turtle_soup,2025-05-06T16:00:00+00:00,2025-05-06T20:00:00+00:00,1772.391117,1795.024391,20.0,0.2554,,stop,1
ETHUSDT,F_008_turtle_soup,2025-05-15T16:00:00+00:00,2025-05-15T20:00:00+00:00,2567.102901,2598.125169,20.0,0.2417,,stop,1
ETHUSDT,F_008_turtle_soup,2025-05-25T12:00:00+00:00,2025-05-25T16:00:00+00:00,2501.157283,2516.574395,20.0,0.1233,,stop,1
ETHUSDT,F_008_turtle_soup,2025-06-01T16:00:00+00:00,2025-06-01T20:00:00+00:00,2526.510199,2539.388917,20.0,0.1019,,stop,1
ETHUSDT,F_008_turtle_soup,2025-06-17T20:00:00+00:00,2025-06-18T08:00:00+00:00,2531.646868,2539.733328,20.0,0.0639,,stop,3
ETHUSDT,F_008_turtle_soup,2025-06-23T00:00:00+00:00,2025-06-23T04:00:00+00:00,2230.59601,2255.675469,20.0,0.2249,,stop,1
ETHUSDT,F_008_turtle_soup,2025-06-27T04:00:00+00:00,2025-06-27T08:00:00+00:00,2450.161074,2457.987256,20.0,0.0639,,stop,1
ETHUSDT,F_008_turtle_soup,2025-07-02T00:00:00+00:00,2025-07-02T04:00:00+00:00,2408.136513,2427.304469,20.0,0.1592,,stop,1
ETHUSDT,F_008_turtle_soup,2025-07-22T12:00:00+00:00,2025-07-22T16:00:00+00:00,3710.11689,3721.96756,20.0,0.0639,,stop,1
ETHUSDT,F_008_turtle_soup,2025-07-24T00:00:00+00:00,2025-07-24T04:00:00+00:00,3633.006777,3653.224007,20.0,0.1113,,stop,1
ETHUSDT,F_008_turtle_soup,2025-07-29T20:00:00+00:00,2025-07-30T00:00:00+00:00,3770.785657,3789.234044,20.0,0.0978,,stop,1
ETHUSDT,F_008_turtle_soup,2025-08-01T04:00:00+00:00,2025-08-01T16:00:00+00:00,3709.796474,3555.799346,20.0,-0.8302,,stop,3
ETHUSDT,F_008_turtle_soup,2025-08-25T12:00:00+00:00,2025-08-25T16:00:00+00:00,4606.060104,4680.175836,20.0,0.3218,,stop,1
ETHUSDT,F_008_turtle_soup,2025-09-01T20:00:00+00:00,2025-09-01T20:00:00+00:00,4373.728465,4229.254706,20.0,-0.6606,,stop,0
ETHUSDT,F_008_turtle_soup,2025-09-17T20:00:00+00:00,2025-09-18T00:00:00+00:00,4523.492906,4607.079584,20.0,0.3696,,stop,1
ETHUSDT,F_008_turtle_soup,2025-09-24T08:00:00+00:00,2025-09-24T12:00:00+00:00,4180.507604,4193.860772,20.0,0.0639,,stop,1
ETHUSDT,F_008_turtle_soup,2025-09-25T16:00:00+00:00,2025-09-25T16:00:00+00:00,4008.474251,3864.017347,20.0,-0.7208,,stop,0
ETHUSDT,F_008_turtle_soup,2025-10-08T08:00:00+00:00,2025-10-08T12:00:00+00:00,4469.282524,4491.989113,20.0,0.1016,,stop,1
ETHUSDT,F_008_turtle_soup,2025-10-09T20:00:00+00:00,2025-10-10T00:00:00+00:00,4343.669439,4368.547496,20.0,0.1145,,stop,1
ETHUSDT,F_008_turtle_soup,2025-10-17T00:00:00+00:00,2025-10-17T04:00:00+00:00,3899.56285,3942.158163,20.0,0.2185,,stop,1
ETHUSDT,F_008_turtle_soup,2025-10-17T12:00:00+00:00,2025-10-17T16:00:00+00:00,3783.442089,3798.852224,20.0,0.0815,,stop,1
ETHUSDT,F_008_turtle_soup,2025-10-23T00:00:00+00:00,2025-10-23T04:00:00+00:00,3810.477189,3823.281404,20.0,0.0672,,stop,1
ETHUSDT,F_008_turtle_soup,2025-10-30T08:00:00+00:00,2025-10-30T12:00:00+00:00,3945.552559,3775.191279,20.0,-0.8636,,stop,1
ETHUSDT,F_008_turtle_soup,2025-11-05T00:00:00+00:00,2025-11-05T04:00:00+00:00,3291.323165,3342.090331,20.0,0.3085,,stop,1
ETHUSDT,F_008_turtle_soup,2025-11-07T16:00:00+00:00,2025-11-07T20:00:00+00:00,3301.806776,3442.758588,20.0,0.8538,,stop,1
ETHUSDT,F_008_turtle_soup,2025-11-17T00:00:00+00:00,2025-11-17T04:00:00+00:00,3099.313877,3173.744426,20.0,0.4803,,stop,1
ETHUSDT,F_008_turtle_soup,2025-12-01T08:00:00+00:00,2025-12-01T12:00:00+00:00,2843.902273,2852.986123,20.0,0.0639,,stop,1
ETHUSDT,F_008_turtle_soup,2025-12-24T16:00:00+00:00,2025-12-24T20:00:00+00:00,2929.343202,2944.648194,20.0,0.1045,,stop,1
ETHUSDT,F_008_turtle_soup,2026-01-12T16:00:00+00:00,2026-01-12T20:00:00+00:00,3134.239221,3144.250451,20.0,0.0639,,stop,1
ETHUSDT,F_008_turtle_soup,2026-01-21T20:00:00+00:00,2026-01-22T12:00:00+00:00,3059.522215,2914.479888,20.0,-0.9481,,stop,4
ETHUSDT,F_008_turtle_soup,2026-01-23T16:00:00+00:00,2026-01-23T20:00:00+00:00,2956.498458,3012.922694,20.0,0.3817,,stop,1
ETHUSDT,F_008_turtle_soup,2026-01-26T00:00:00+00:00,2026-01-26T04:00:00+00:00,2820.56197,2892.675619,20.0,0.5113,,stop,1
ETHUSDT,F_008_turtle_soup,2026-01-30T20:00:00+00:00,2026-01-31T12:00:00+00:00,2745.955107,2592.571805,20.0,-1.1172,,stop,4
ETHUSDT,F_008_turtle_soup,2026-02-04T20:00:00+00:00,2026-02-05T12:00:00+00:00,2191.104738,2008.441794,20.0,-1.6673,,stop,4
ETHUSDT,F_008_turtle_soup,2026-02-11T12:00:00+00:00,2026-02-11T16:00:00+00:00,1956.189745,2011.578895,20.0,0.5663,,stop,1
ETHUSDT,F_008_turtle_soup,2026-02-24T16:00:00+00:00,2026-02-24T20:00:00+00:00,1849.991867,1859.229096,20.0,0.0999,,stop,1
ETHUSDT,F_008_turtle_soup,2026-02-28T00:00:00+00:00,2026-02-28T20:00:00+00:00,1932.348792,1950.936449,20.0,0.1924,,stop,5
ETHUSDT,F_008_turtle_soup,2026-03-06T20:00:00+00:00,2026-03-07T04:00:00+00:00,1986.328875,1992.673507,20.0,0.0639,,stop,2
ETHUSDT,F_008_turtle_soup,2026-03-08T08:00:00+00:00,2026-03-08T12:00:00+00:00,1957.761786,1975.644479,20.0,0.1827,,stop,1
ETHUSDT,F_008_turtle_soup,2026-03-19T00:00:00+00:00,2026-03-19T04:00:00+00:00,2206.254407,2229.031511,20.0,0.2065,,stop,1
ETHUSDT,F_008_turtle_soup,2026-04-16T16:00:00+00:00,2026-04-16T20:00:00+00:00,2342.050713,2354.171673,20.0,0.1035,,stop,1
ETHUSDT,F_008_turtle_soup,2026-04-28T16:00:00+00:00,2026-04-28T20:00:00+00:00,2282.723688,2297.947679,20.0,0.1334,,stop,1
ETHUSDT,F_008_turtle_soup,2026-05-07T20:00:00+00:00,2026-05-08T20:00:00+00:00,2298.964774,2313.566009,20.0,0.127,,stop,6
ETHUSDT,F_008_turtle_soup,2026-05-18T20:00:00+00:00,2026-05-19T00:00:00+00:00,2127.832591,2135.60476,20.0,0.0731,,stop,1
