symbol,NOVA_SCORE_TH,NOVA_FLOW_MOM,NOVA_VOL_MOM,net,trades,win_pct,pf
FILUSDT,70,2.5,2.0,18.488920334320902,59,93.22,6.486292666132544
FILUSDT,70,2.5,2.5,19.134380455720695,56,94.64,8.48073253165459
FILUSDT,70,2.5,3.0,18.315777256134204,54,94.44,8.160693343564109
FILUSDT,70,3.0,2.0,17.9034100353177,57,92.98,6.312551809377194
FILUSDT,70,3.0,2.5,18.65172606265384,55,94.55,8.292035101491297
FILUSDT,70,3.0,3.0,17.782672378450297,53,94.34,7.95227191019173
FILUSDT,70,4.0,2.0,17.191287214812643,48,93.75,7.721065352832855
FILUSDT,70,4.0,2.5,17.127404214812643,47,93.62,7.696089804895697
FILUSDT,70,4.0,3.0,16.530416337128734,45,93.33,7.462692823586159
FILUSDT,72,2.5,2.0,18.488920334320902,59,93.22,6.486292666132544
FILUSDT,72,2.5,2.5,19.134380455720695,56,94.64,8.48073253165459
FILUSDT,72,2.5,3.0,18.315777256134204,54,94.44,8.160693343564109
FILUSDT,72,3.0,2.0,17.9034100353177,57,92.98,6.312551809377194
FILUSDT,72,3.0,2.5,18.65172606265384,55,94.55,8.292035101491297
FILUSDT,72,3.0,3.0,17.782672378450297,53,94.34,7.95227191019173
FILUSDT,72,4.0,2.0,17.191287214812643,48,93.75,7.721065352832855
FILUSDT,72,4.0,2.5,17.127404214812643,47,93.62,7.696089804895697
FILUSDT,72,4.0,3.0,16.530416337128734,45,93.33,7.462692823586159
FILUSDT,75,2.5,2.0,18.488920334320902,59,93.22,6.486292666132544
FILUSDT,75,2.5,2.5,19.134380455720695,56,94.64,8.48073253165459
FILUSDT,75,2.5,3.0,18.315777256134204,54,94.44,8.160693343564109
FILUSDT,75,3.0,2.0,17.9034100353177,57,92.98,6.312551809377194
FILUSDT,75,3.0,2.5,18.65172606265384,55,94.55,8.292035101491297
FILUSDT,75,3.0,3.0,17.782672378450297,53,94.34,7.95227191019173
FILUSDT,75,4.0,2.0,17.191287214812643,48,93.75,7.721065352832855
FILUSDT,75,4.0,2.5,17.127404214812643,47,93.62,7.696089804895697
FILUSDT,75,4.0,3.0,16.530416337128734,45,93.33,7.462692823586159
