symbol,NOVA_SCORE_TH,NOVA_FLOW_MOM,NOVA_VOL_MOM,net,trades,win_pct,pf
LINKUSDT,70,2.5,2.0,21.68756749403142,72,97.22,9.15603714509898
LINKUSDT,70,2.5,2.5,19.271556010691345,69,97.1,8.247448415333398
LINKUSDT,70,2.5,3.0,17.622136104861692,61,96.72,9.375693574268249
LINKUSDT,70,3.0,2.0,21.38203614175004,70,97.14,9.04113605907884
LINKUSDT,70,3.0,2.5,18.966024658409964,67,97.01,8.13254732931326
LINKUSDT,70,3.0,3.0,17.622136104861692,61,96.72,9.375693574268249
LINKUSDT,70,4.0,2.0,21.10233828043677,63,98.41,17.917046567041957
LINKUSDT,70,4.0,2.5,18.686326797096697,60,98.33,15.980210078733796
LINKUSDT,70,4.0,3.0,17.163925803860284,55,98.18,14.759751561102721
LINKUSDT,72,2.5,2.0,21.68756749403142,72,97.22,9.15603714509898
LINKUSDT,72,2.5,2.5,19.271556010691345,69,97.1,8.247448415333398
LINKUSDT,72,2.5,3.0,17.622136104861692,61,96.72,9.375693574268249
LINKUSDT,72,3.0,2.0,21.38203614175004,70,97.14,9.04113605907884
LINKUSDT,72,3.0,2.5,18.966024658409964,67,97.01,8.13254732931326
LINKUSDT,72,3.0,3.0,17.622136104861692,61,96.72,9.375693574268249
LINKUSDT,72,4.0,2.0,21.10233828043677,63,98.41,17.917046567041957
LINKUSDT,72,4.0,2.5,18.686326797096697,60,98.33,15.980210078733796
LINKUSDT,72,4.0,3.0,17.163925803860284,55,98.18,14.759751561102721
LINKUSDT,75,2.5,2.0,21.68756749403142,72,97.22,9.15603714509898
LINKUSDT,75,2.5,2.5,19.271556010691345,69,97.1,8.247448415333398
LINKUSDT,75,2.5,3.0,17.622136104861692,61,96.72,9.375693574268249
LINKUSDT,75,3.0,2.0,21.38203614175004,70,97.14,9.04113605907884
LINKUSDT,75,3.0,2.5,18.966024658409964,67,97.01,8.13254732931326
LINKUSDT,75,3.0,3.0,17.622136104861692,61,96.72,9.375693574268249
LINKUSDT,75,4.0,2.0,21.10233828043677,63,98.41,17.917046567041957
LINKUSDT,75,4.0,2.5,18.686326797096697,60,98.33,15.980210078733796
LINKUSDT,75,4.0,3.0,17.163925803860284,55,98.18,14.759751561102721
