symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
SOLUSDT,F_192_ext_entry,2025-01-03T12:00:00+00:00,2025-01-03T16:00:00+00:00,214.798876,218.240957,20.0,0.3205,,stop,1
SOLUSDT,F_192_ext_entry,2025-01-06T16:00:00+00:00,2025-01-06T20:00:00+00:00,221.908106,222.616914,20.0,0.0639,,stop,1
SOLUSDT,F_192_ext_entry,2025-01-15T16:00:00+00:00,2025-01-15T20:00:00+00:00,196.775476,201.925275,20.0,0.5234,,stop,1
SOLUSDT,F_192_ext_entry,2025-01-16T00:00:00+00:00,2025-01-16T12:00:00+00:00,206.127618,212.532963,20.0,0.6215,,stop,3
SOLUSDT,F_192_ext_entry,2025-01-17T12:00:00+00:00,2025-01-17T16:00:00+00:00,219.054401,221.6438,20.0,0.2364,,stop,1
SOLUSDT,F_192_ext_entry,2025-01-18T08:00:00+00:00,2025-01-18T12:00:00+00:00,233.192757,244.485755,20.0,0.9686,,stop,1
SOLUSDT,F_192_ext_entry,2025-01-19T08:00:00+00:00,2025-01-19T12:00:00+00:00,271.872976,295.209065,20.0,1.7167,,stop,1
SOLUSDT,F_192_ext_entry,2025-02-09T04:00:00+00:00,2025-02-09T20:00:00+00:00,207.219035,195.784184,20.0,-1.1036,,stop,4
SOLUSDT,F_192_ext_entry,2025-03-02T16:00:00+00:00,2025-03-02T20:00:00+00:00,157.674711,179.472502,20.0,2.7649,,stop,1
SOLUSDT,F_192_ext_entry,2025-03-14T16:00:00+00:00,2025-03-14T20:00:00+00:00,132.301769,134.427249,20.0,0.3213,,stop,1
SOLUSDT,F_192_ext_entry,2025-03-20T00:00:00+00:00,2025-03-20T04:00:00+00:00,135.505929,135.938755,20.0,0.0639,,stop,1
SOLUSDT,F_192_ext_entry,2025-04-12T08:00:00+00:00,2025-04-12T12:00:00+00:00,124.421538,125.10611,20.0,0.11,,stop,1
SOLUSDT,F_192_ext_entry,2025-04-19T04:00:00+00:00,2025-04-19T08:00:00+00:00,139.000466,139.444454,20.0,0.0639,,stop,1
SOLUSDT,F_192_ext_entry,2025-04-22T16:00:00+00:00,2025-04-22T20:00:00+00:00,145.498903,147.399963,20.0,0.2613,,stop,1
SOLUSDT,F_192_ext_entry,2025-04-23T00:00:00+00:00,2025-04-23T04:00:00+00:00,148.973414,149.449257,20.0,0.0639,,stop,1
SOLUSDT,F_192_ext_entry,2025-04-23T08:00:00+00:00,2025-04-23T12:00:00+00:00,151.777054,153.417306,20.0,0.2161,,stop,1
SOLUSDT,F_192_ext_entry,2025-04-25T08:00:00+00:00,2025-04-25T16:00:00+00:00,155.051305,156.670463,20.0,0.2089,,stop,2
SOLUSDT,F_192_ext_entry,2025-05-08T04:00:00+00:00,2025-05-08T08:00:00+00:00,151.076144,151.558704,20.0,0.0639,,stop,1
SOLUSDT,F_192_ext_entry,2025-05-08T12:00:00+00:00,2025-05-08T16:00:00+00:00,154.770941,162.837492,20.0,1.0424,,stop,1
SOLUSDT,F_192_ext_entry,2025-05-09T00:00:00+00:00,2025-05-09T08:00:00+00:00,164.673798,166.559663,20.0,0.229,,stop,2
SOLUSDT,F_192_ext_entry,2025-05-11T00:00:00+00:00,2025-05-11T04:00:00+00:00,178.121257,179.881641,20.0,0.1977,,stop,1
SOLUSDT,F_192_ext_entry,2025-05-13T20:00:00+00:00,2025-05-14T00:00:00+00:00,182.286665,184.442049,20.0,0.2365,,stop,1
SOLUSDT,F_192_ext_entry,2025-05-18T16:00:00+00:00,2025-05-18T16:00:00+00:00,176.489138,169.19604,20.0,-0.8265,,stop,0
SOLUSDT,F_192_ext_entry,2025-05-22T04:00:00+00:00,2025-05-22T08:00:00+00:00,177.059879,178.200458,20.0,0.1288,,stop,1
SOLUSDT,F_192_ext_entry,2025-05-23T04:00:00+00:00,2025-05-23T12:00:00+00:00,185.250513,187.316004,20.0,0.223,,stop,2
SOLUSDT,F_192_ext_entry,2025-06-08T20:00:00+00:00,2025-06-09T00:00:00+00:00,154.670811,155.164853,20.0,0.0639,,stop,1
SOLUSDT,F_192_ext_entry,2025-06-09T12:00:00+00:00,2025-06-09T20:00:00+00:00,155.822306,156.492275,20.0,0.086,,stop,2
SOLUSDT,F_192_ext_entry,2025-06-10T20:00:00+00:00,2025-06-11T00:00:00+00:00,163.822693,165.322265,20.0,0.1831,,stop,1
SOLUSDT,F_192_ext_entry,2025-06-28T20:00:00+00:00,2025-06-29T00:00:00+00:00,150.865871,151.347759,20.0,0.0639,,stop,1
SOLUSDT,F_192_ext_entry,2025-07-09T20:00:00+00:00,2025-07-10T00:00:00+00:00,157.464438,157.967403,20.0,0.0639,,stop,1
SOLUSDT,F_192_ext_entry,2025-07-18T04:00:00+00:00,2025-07-18T08:00:00+00:00,181.025027,184.282385,20.0,0.3599,,stop,1
SOLUSDT,F_192_ext_entry,2025-07-21T04:00:00+00:00,2025-07-21T08:00:00+00:00,186.952723,190.678931,20.0,0.3986,,stop,1
SOLUSDT,F_192_ext_entry,2025-07-21T16:00:00+00:00,2025-07-22T00:00:00+00:00,197.045827,197.675221,20.0,0.0639,,stop,2
SOLUSDT,F_192_ext_entry,2025-07-23T00:00:00+00:00,2025-07-23T12:00:00+00:00,205.96741,192.917719,20.0,-1.2672,,stop,3
SOLUSDT,F_192_ext_entry,2025-07-28T04:00:00+00:00,2025-07-28T08:00:00+00:00,193.591342,194.61615,20.0,0.1059,,stop,1
SOLUSDT,F_192_ext_entry,2025-08-05T12:00:00+00:00,2025-08-05T12:00:00+00:00,171.112157,164.619302,20.0,-0.7589,,stop,0
SOLUSDT,F_192_ext_entry,2025-08-07T12:00:00+00:00,2025-08-08T00:00:00+00:00,173.054679,175.141612,20.0,0.2412,,stop,3
SOLUSDT,F_192_ext_entry,2025-08-08T08:00:00+00:00,2025-08-08T12:00:00+00:00,177.360269,177.926784,20.0,0.0639,,stop,1
SOLUSDT,F_192_ext_entry,2025-08-09T08:00:00+00:00,2025-08-09T12:00:00+00:00,180.854806,182.965156,20.0,0.2334,,stop,1
SOLUSDT,F_192_ext_entry,2025-08-10T04:00:00+00:00,2025-08-10T04:00:00+00:00,185.220474,177.485157,20.0,-0.8353,,stop,0
SOLUSDT,F_192_ext_entry,2025-08-12T20:00:00+00:00,2025-08-13T00:00:00+00:00,190.897845,193.353306,20.0,0.2573,,stop,1
SOLUSDT,F_192_ext_entry,2025-08-13T04:00:00+00:00,2025-08-13T08:00:00+00:00,197.997062,199.679998,20.0,0.17,,stop,1
SOLUSDT,F_192_ext_entry,2025-08-14T04:00:00+00:00,2025-08-14T08:00:00+00:00,208.210322,209.168008,20.0,0.092,,stop,1
SOLUSDT,F_192_ext_entry,2025-08-22T16:00:00+00:00,2025-08-22T20:00:00+00:00,193.731524,199.310775,20.0,0.576,,stop,1
