symbol,NOVA_RSI2_OS,NOVA_SMA_TREND,NOVA_SMA_PULL,net,trades,win_pct,pf
BTCUSDT,5,100,3,-62.49363261737126,1744,31.48,0.36449920431391486
BTCUSDT,5,100,5,-62.52238799378246,1745,31.46,0.36439265050111297
BTCUSDT,5,100,10,-62.52238799378246,1745,31.46,0.36439265050111297
BTCUSDT,5,200,3,-82.78328892401565,2275,30.24,0.35463243387393517
BTCUSDT,5,200,5,-82.84261682235277,2277,30.22,0.3544684877870255
BTCUSDT,5,200,10,-82.84261682235277,2277,30.22,0.3544684877870255
BTCUSDT,10,100,3,-144.47369963002626,3903,30.16,0.3487904393042623
BTCUSDT,10,100,5,-144.37468900643748,3906,30.18,0.3493210627529652
BTCUSDT,10,100,10,-144.34223102860562,3904,30.17,0.3491847648908575
BTCUSDT,10,200,3,-175.21870841660828,4750,29.62,0.3460936192362812
BTCUSDT,10,200,5,-175.22709753910237,4756,29.63,0.34639442370599344
BTCUSDT,10,200,10,-175.19463956127052,4754,29.62,0.3462805751993737
BTCUSDT,15,100,3,-232.24038887866783,6090,29.2,0.3352476604482872
BTCUSDT,15,100,5,-232.6183213041026,6102,29.17,0.33512422444270135
BTCUSDT,15,100,10,-230.12196623394482,6023,29.09,0.3340094966221005
BTCUSDT,15,200,3,-264.8011675116835,7052,29.23,0.33986247079944293
BTCUSDT,15,200,5,-265.3067615005215,7069,29.2,0.33974618673017565
BTCUSDT,15,200,10,-263.1912405860502,6997,29.11,0.3385653234007965
