symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
ETHUSDT,F_001_rsi2_snap,2025-01-01T03:30:00+00:00,2025-01-01T04:10:00+00:00,3358.870863,3345.157926,20.0,-0.0817,,stop,8
ETHUSDT,F_001_rsi2_snap,2025-01-01T23:25:00+00:00,2025-01-02T00:30:00+00:00,3359.351487,3387.854073,20.0,0.1697,,stop,13
ETHUSDT,F_001_rsi2_snap,2025-01-02T01:35:00+00:00,2025-01-02T02:15:00+00:00,3382.611686,3393.416255,20.0,0.0639,,stop,8
ETHUSDT,F_001_rsi2_snap,2025-01-02T15:25:00+00:00,2025-01-02T16:25:00+00:00,3468.553265,3479.632344,20.0,0.0639,,stop,12
ETHUSDT,F_001_rsi2_snap,2025-01-02T16:55:00+00:00,2025-01-02T17:30:00+00:00,3475.21191,3450.021045,20.0,-0.145,,stop,7
ETHUSDT,F_001_rsi2_snap,2025-01-03T02:55:00+00:00,2025-01-03T05:00:00+00:00,3465.269001,3449.761331,20.0,-0.0895,,stop,25
ETHUSDT,F_001_rsi2_snap,2025-01-03T04:25:00+00:00,2025-01-03T04:35:00+00:00,3467.00125,3454.591578,20.0,-0.0716,,stop,2
ETHUSDT,F_001_rsi2_snap,2025-01-03T04:35:00+00:00,2025-01-03T04:35:00+00:00,3465.919846,3454.270592,20.0,-0.0672,,stop,0
ETHUSDT,F_001_rsi2_snap,2025-01-03T04:40:00+00:00,2025-01-03T05:00:00+00:00,3463.106193,3451.37642,20.0,-0.0677,,stop,4
ETHUSDT,F_001_rsi2_snap,2025-01-03T17:20:00+00:00,2025-01-03T18:15:00+00:00,3580.859073,3592.296874,20.0,0.0639,,stop,11
ETHUSDT,F_001_rsi2_snap,2025-01-03T20:15:00+00:00,2025-01-03T21:00:00+00:00,3613.581557,3593.78213,20.0,-0.1096,,stop,9
ETHUSDT,F_001_rsi2_snap,2025-01-03T21:00:00+00:00,2025-01-03T21:30:00+00:00,3605.250741,3616.766453,20.0,0.0639,,stop,6
ETHUSDT,F_001_rsi2_snap,2025-01-03T22:50:00+00:00,2025-01-03T23:30:00+00:00,3617.666861,3601.684291,20.0,-0.0884,,stop,8
ETHUSDT,F_001_rsi2_snap,2025-01-03T23:30:00+00:00,2025-01-04T00:40:00+00:00,3612.039555,3599.248727,20.0,-0.0708,,stop,14
ETHUSDT,F_001_rsi2_snap,2025-01-04T18:50:00+00:00,2025-01-04T19:20:00+00:00,3628.701187,3640.291803,20.0,0.0639,,stop,6
ETHUSDT,F_001_rsi2_snap,2025-01-04T22:30:00+00:00,2025-01-04T22:50:00+00:00,3652.512101,3664.178773,20.0,0.0639,,stop,4
ETHUSDT,F_001_rsi2_snap,2025-01-06T07:05:00+00:00,2025-01-06T07:15:00+00:00,3663.806765,3647.103644,20.0,-0.0912,,stop,2
ETHUSDT,F_001_rsi2_snap,2025-01-09T02:00:00+00:00,2025-01-09T02:05:00+00:00,3350.309748,3332.12235,20.0,-0.1086,,stop,1
ETHUSDT,F_001_rsi2_snap,2025-01-09T02:10:00+00:00,2025-01-09T02:15:00+00:00,3322.263335,3332.875142,20.0,0.0639,,stop,1
ETHUSDT,F_001_rsi2_snap,2025-01-09T16:30:00+00:00,2025-01-09T16:55:00+00:00,3302.778037,3313.327605,20.0,0.0639,,stop,5
ETHUSDT,F_001_rsi2_snap,2025-01-10T09:50:00+00:00,2025-01-10T11:00:00+00:00,3303.699233,3314.251744,20.0,0.0639,,stop,14
ETHUSDT,F_001_rsi2_snap,2025-01-10T12:25:00+00:00,2025-01-10T13:00:00+00:00,3300.414969,3310.956989,20.0,0.0639,,stop,7
ETHUSDT,F_001_rsi2_snap,2025-01-10T18:40:00+00:00,2025-01-10T20:30:00+00:00,3294.507299,3262.394951,20.0,-0.1949,,stop,22
ETHUSDT,F_001_rsi2_snap,2025-01-10T20:20:00+00:00,2025-01-10T20:30:00+00:00,3284.804702,3263.653572,20.0,-0.1288,,stop,2
ETHUSDT,F_001_rsi2_snap,2025-01-10T20:30:00+00:00,2025-01-10T20:40:00+00:00,3277.585329,3256.895853,20.0,-0.1262,,stop,2
ETHUSDT,F_001_rsi2_snap,2025-01-11T13:40:00+00:00,2025-01-11T14:40:00+00:00,3265.699898,3276.131033,20.0,0.0639,,stop,12
ETHUSDT,F_001_rsi2_snap,2025-01-11T17:15:00+00:00,2025-01-11T18:20:00+00:00,3268.823954,3279.265068,20.0,0.0639,,stop,13
ETHUSDT,F_001_rsi2_snap,2025-01-11T22:15:00+00:00,2025-01-11T22:20:00+00:00,3306.683107,3290.340097,20.0,-0.0988,,stop,1
ETHUSDT,F_001_rsi2_snap,2025-01-11T22:30:00+00:00,2025-01-11T23:00:00+00:00,3296.930445,3281.264962,20.0,-0.095,,stop,6
