symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
RENDERUSDT,F_001_rsi2_snap,2025-01-01T14:35:00+00:00,2025-01-01T14:40:00+00:00,6.779802,6.801458,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-01-02T00:10:00+00:00,2025-01-02T00:20:00+00:00,7.176317,7.199239,20.0,0.0639,,stop,2
RENDERUSDT,F_001_rsi2_snap,2025-01-02T01:35:00+00:00,2025-01-02T01:45:00+00:00,7.234392,7.2575,20.0,0.0639,,stop,2
RENDERUSDT,F_001_rsi2_snap,2025-01-02T11:10:00+00:00,2025-01-02T12:10:00+00:00,7.772091,7.796916,20.0,0.0639,,stop,12
RENDERUSDT,F_001_rsi2_snap,2025-01-02T11:20:00+00:00,2025-01-02T11:25:00+00:00,7.706005,7.730619,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-01-02T13:55:00+00:00,2025-01-02T14:00:00+00:00,7.642923,7.581768,20.0,-0.16,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-01-03T10:05:00+00:00,2025-01-03T10:10:00+00:00,7.621896,7.646241,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-01-03T17:35:00+00:00,2025-01-03T17:40:00+00:00,8.019412,8.045027,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-01-03T20:05:00+00:00,2025-01-03T20:25:00+00:00,8.013404,8.039,20.0,0.0639,,stop,4
RENDERUSDT,F_001_rsi2_snap,2025-01-06T00:15:00+00:00,2025-01-06T00:30:00+00:00,8.251713,8.278071,20.0,0.0639,,stop,3
RENDERUSDT,F_001_rsi2_snap,2025-01-06T10:45:00+00:00,2025-01-06T10:50:00+00:00,8.563118,8.601543,20.0,0.0897,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-01-06T20:45:00+00:00,2025-01-06T21:00:00+00:00,8.884535,8.818913,20.0,-0.1477,,stop,3
RENDERUSDT,F_001_rsi2_snap,2025-01-09T00:05:00+00:00,2025-01-09T00:10:00+00:00,7.536785,7.560859,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-01-09T01:50:00+00:00,2025-01-09T02:05:00+00:00,7.518762,7.542778,20.0,0.0639,,stop,3
RENDERUSDT,F_001_rsi2_snap,2025-01-09T02:00:00+00:00,2025-01-09T02:05:00+00:00,7.511753,7.535746,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-01-09T16:35:00+00:00,2025-01-09T16:40:00+00:00,7.259425,7.282613,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-01-09T17:25:00+00:00,2025-01-09T17:30:00+00:00,7.253417,7.276586,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-01-10T03:20:00+00:00,2025-01-10T03:35:00+00:00,7.229386,7.252478,20.0,0.0639,,stop,3
RENDERUSDT,F_001_rsi2_snap,2025-01-10T08:35:00+00:00,2025-01-10T08:55:00+00:00,7.531779,7.555836,20.0,0.0639,,stop,4
RENDERUSDT,F_001_rsi2_snap,2025-01-10T08:45:00+00:00,2025-01-10T08:50:00+00:00,7.506746,7.530724,20.0,0.0639,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-01-10T11:30:00+00:00,2025-01-10T11:50:00+00:00,7.50975,7.533737,20.0,0.0639,,stop,4
RENDERUSDT,F_001_rsi2_snap,2025-01-10T11:40:00+00:00,2025-01-10T11:50:00+00:00,7.474705,7.511151,20.0,0.0975,,stop,2
RENDERUSDT,F_001_rsi2_snap,2025-01-10T22:00:00+00:00,2025-01-10T22:05:00+00:00,7.322507,7.266762,20.0,-0.1523,,stop,1
RENDERUSDT,F_001_rsi2_snap,2025-01-11T22:30:00+00:00,2025-01-11T23:15:00+00:00,7.436655,7.347805,20.0,-0.239,,stop,9
